ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
59820,Elf-san wa Yaserarenai.: Hami Niku no Shima/Calorie Lovers,https://myanimelist.net/anime/59820/Elf-san_wa_Yaserarenai__Hami_Niku_no_Shima_Calorie_Lovers,ONA,,2024,Oga,https://myanimelist.net/character/174905/Oga,174905,Supporting,26
57891,Hitoribocchi no Isekai Kouryaku,https://myanimelist.net/anime/57891/Hitoribocchi_no_Isekai_Kouryaku,TV,Fall,2024,"Kisai, Mio",https://myanimelist.net/character/255238/Mio_Kisai,255238,Supporting,0
57845,Elf-san wa Yaserarenai.,https://myanimelist.net/anime/57845/Elf-san_wa_Yaserarenai,TV,Summer,2024,Oga,https://myanimelist.net/character/174905/Oga,174905,Supporting,26
56348,Dungeon no Naka no Hito,https://myanimelist.net/anime/56348/Dungeon_no_Naka_no_Hito,TV,Summer,2024,Tree Spirit Monster,https://myanimelist.net/character/266244/Tree_Spirit_Monster,266244,Supporting,0
55791,[Oshi no Ko] 2nd Season,https://myanimelist.net/anime/55791/Oshi_no_Ko_2nd_Season,TV,Summer,2024,"Sumi, Yuki",https://myanimelist.net/character/229629/Yuki_Sumi,229629,Supporting,10
55690,Boku no Kokoro no Yabai Yatsu 2nd Season,https://myanimelist.net/anime/55690/Boku_no_Kokoro_no_Yabai_Yatsu_2nd_Season,TV,Winter,2024,"Yoshida, Serina",https://myanimelist.net/character/195898/Serina_Yoshida,195898,Supporting,10
53730,"Sokushi Cheat ga Saikyou sugite, Isekai no Yatsura ga Marude Aite ni Naranai n desu ga.",https://myanimelist.net/anime/53730/Sokushi_Cheat_ga_Saikyou_sugite_Isekai_no_Yatsura_ga_Marude_Aite_ni_Naranai_n_desu_ga,TV,Winter,2024,Erika,https://myanimelist.net/character/241238/Erika,241238,Supporting,1
56948,Boku no Kokoro no Yabai Yatsu: Twi-Yaba,https://myanimelist.net/anime/56948/Boku_no_Kokoro_no_Yabai_Yatsu__Twi-Yaba,ONA,,2023,"Yoshida, Serina",https://myanimelist.net/character/195898/Serina_Yoshida,195898,Supporting,10
54595,Kage no Jitsuryokusha ni Naritakute! 2nd Season,https://myanimelist.net/anime/54595/Kage_no_Jitsuryokusha_ni_Naritakute_2nd_Season,TV,Fall,2023,"Midgar, Alexia",https://myanimelist.net/character/194194/Alexia_Midgar,194194,Supporting,369
50184,Seiken Gakuin no Makentsukai,https://myanimelist.net/anime/50184/Seiken_Gakuin_no_Makentsukai,TV,Fall,2023,"Phillet, Elfiné",https://myanimelist.net/character/202858/Elfiné_Phillet,202858,Main,27
51020,Helck,https://myanimelist.net/anime/51020/Helck,TV,Summer,2023,Elihu Princess,https://myanimelist.net/character/155108/Elihu_Princess,155108,Supporting,0
53438,Higeki no Genkyou to Naru Saikyou Gedou Last Boss Joou wa Tami no Tame ni Tsukushimasu.,https://myanimelist.net/anime/53438/Higeki_no_Genkyou_to_Naru_Saikyou_Gedou_Last_Boss_Joou_wa_Tami_no_Tame_ni_Tsukushimasu,TV,Summer,2023,Stale's Mother,https://myanimelist.net/character/251485/Stale_039_s_Mother,251485,Supporting,0
51458,Lv1 Maou to One Room Yuusha,https://myanimelist.net/anime/51458/Lv1_Maou_to_One_Room_Yuusha,TV,Summer,2023,Anego,https://myanimelist.net/character/233132/Anego,233132,Supporting,2
52034,[Oshi no Ko],https://myanimelist.net/anime/52034/Oshi_no_Ko,TV,Spring,2023,"Sumi, Yuki",https://myanimelist.net/character/229629/Yuki_Sumi,229629,Supporting,10
50796,Kimi wa Houkago Insomnia,https://myanimelist.net/anime/50796/Kimi_wa_Houkago_Insomnia,TV,Spring,2023,"Anamizu, Kanami",https://myanimelist.net/character/190253/Kanami_Anamizu,190253,Supporting,7
52578,Boku no Kokoro no Yabai Yatsu,https://myanimelist.net/anime/52578/Boku_no_Kokoro_no_Yabai_Yatsu,TV,Spring,2023,"Yoshida, Serina",https://myanimelist.net/character/195898/Serina_Yoshida,195898,Supporting,10
