ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
51297,Ragna Crimson,https://myanimelist.net/anime/51297/Ragna_Crimson,TV,Fall,2023,Borgius,https://myanimelist.net/character/173154/Borgius,173154,Supporting,0
48316,Kage no Jitsuryokusha ni Naritakute!,https://myanimelist.net/anime/48316/Kage_no_Jitsuryokusha_ni_Naritakute,TV,Fall,2022,"Nelson, Jack",https://myanimelist.net/character/221871/Jack_Nelson,221871,Supporting,1
47163,"Tensei Kenja no Isekai Life: Dai-2 no Shokugyou wo Ete, Sekai Saikyou ni Narimashita",https://myanimelist.net/anime/47163/Tensei_Kenja_no_Isekai_Life__Dai-2_no_Shokugyou_wo_Ete_Sekai_Saikyou_ni_Narimashita,TV,Summer,2022,Gelios,https://myanimelist.net/character/213582/Gelios,213582,Supporting,0
40590,Utawarerumono: Futari no Hakuoro,https://myanimelist.net/anime/40590/Utawarerumono__Futari_no_Hakuoro,TV,Summer,2022,Dekoponpo,https://myanimelist.net/character/135874/Dekoponpo,135874,Supporting,1
45783,Saiyuuki Reload: Zeroin,https://myanimelist.net/anime/45783/Saiyuuki_Reload__Zeroin,TV,Winter,2022,Jikaku,https://myanimelist.net/character/261955/Jikaku,261955,Supporting,0
41109,Log Horizon: Entaku Houkai,https://myanimelist.net/anime/41109/Log_Horizon__Entaku_Houkai,TV,Winter,2021,"Akaneya, Ichimonjinosuke",https://myanimelist.net/character/89283/Ichimonjinosuke_Akaneya,89283,Supporting,0
37379,Chihayafuru 3,https://myanimelist.net/anime/37379/Chihayafuru_3,TV,Fall,2019,"Harada, Hideo",https://myanimelist.net/character/50351/Hideo_Harada,50351,Supporting,71
39940,Shokugeki no Souma: Shin no Sara,https://myanimelist.net/anime/39940/Shokugeki_no_Souma__Shin_no_Sara,TV,Fall,2019,Narrator,https://myanimelist.net/character/254015/Narrator,254015,Supporting,1
37525,Babylon,https://myanimelist.net/anime/37525/Babylon,TV,Fall,2019,"Gustave, Luca",https://myanimelist.net/character/183257/Luca_Gustave,183257,Supporting,0
37520,Dororo,https://myanimelist.net/anime/37520/Dororo,TV,Winter,2019,Biwamaru,https://myanimelist.net/character/24843/Biwamaru,24843,Supporting,118
37965,Kaze ga Tsuyoku Fuiteiru,https://myanimelist.net/anime/37965/Kaze_ga_Tsuyoku_Fuiteiru,TV,Fall,2018,"Tazaki, Genichirou",https://myanimelist.net/character/164627/Genichirou_Tazaki,164627,Supporting,1
35788,Shokugeki no Souma: San no Sara,https://myanimelist.net/anime/35788/Shokugeki_no_Souma__San_no_Sara,TV,Fall,2017,Narrator,https://myanimelist.net/character/254015/Narrator,254015,Supporting,1
34599,Made in Abyss,https://myanimelist.net/anime/34599/Made_in_Abyss,TV,Summer,2017,Zapo-jii,https://myanimelist.net/character/155162/Zapo-jii,155162,Supporting,1
32935,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,https://myanimelist.net/anime/32935/Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou,TV,Fall,2016,"Ukai, Ikkei",https://myanimelist.net/character/127042/Ikkei_Ukai,127042,Supporting,7
33524,Sakamoto desu ga? Sakamoto deshita?,https://myanimelist.net/anime/33524/Sakamoto_desu_ga_Sakamoto_deshita,Special,,2016,"Kobayashi, Shigeru",https://myanimelist.net/character/138850/Shigeru_Kobayashi,138850,Supporting,1
32542,Sakamoto desu ga?,https://myanimelist.net/anime/32542/Sakamoto_desu_ga,TV,Spring,2016,"Philippe, Jean-Paul",https://myanimelist.net/character/244899/Jean-Paul_Philippe,244899,Supporting,0
32542,Sakamoto desu ga?,https://myanimelist.net/anime/32542/Sakamoto_desu_ga,TV,Spring,2016,"Kobayashi, Shigeru",https://myanimelist.net/character/138850/Shigeru_Kobayashi,138850,Supporting,1
28891,Haikyuu!! Second Season,https://myanimelist.net/anime/28891/Haikyuu_Second_Season,TV,Fall,2015,"Ukai, Ikkei",https://myanimelist.net/character/127042/Ikkei_Ukai,127042,Supporting,7
30901,Utawarerumono: Itsuwari no Kamen,https://myanimelist.net/anime/30901/Utawarerumono__Itsuwari_no_Kamen,TV,Fall,2015,Dekoponpo,https://myanimelist.net/character/135874/Dekoponpo,135874,Supporting,1
30296,Rakudai Kishi no Cavalry,https://myanimelist.net/anime/30296/Rakudai_Kishi_no_Cavalry,TV,Fall,2015,"Akaza, Mamoru",https://myanimelist.net/character/136109/Mamoru_Akaza,136109,Supporting,1
28171,Shokugeki no Souma,https://myanimelist.net/anime/28171/Shokugeki_no_Souma,TV,Spring,2015,Narrator,https://myanimelist.net/character/254015/Narrator,254015,Supporting,1
28171,Shokugeki no Souma,https://myanimelist.net/anime/28171/Shokugeki_no_Souma,TV,Spring,2015,"Mito, Father",https://myanimelist.net/character/128880/Father_Mito,128880,Supporting,0
28171,Shokugeki no Souma,https://myanimelist.net/anime/28171/Shokugeki_no_Souma,TV,Spring,2015,"Tadokoro, Grandfather",https://myanimelist.net/character/127543/Grandfather_Tadokoro,127543,Supporting,0
22535,Kiseijuu: Sei no Kakuritsu,https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu,TV,Fall,2014,Takizawa,https://myanimelist.net/character/72061/Takizawa,72061,Supporting,1
25835,Shirobako,https://myanimelist.net/anime/25835/Shirobako,TV,Fall,2014,"Marukawa, Masato",https://myanimelist.net/character/115089/Masato_Marukawa,115089,Supporting,2
23321,Log Horizon 2nd Season,https://myanimelist.net/anime/23321/Log_Horizon_2nd_Season,TV,Fall,2014,"Gan, Jered",https://myanimelist.net/character/134333/Jered_Gan,134333,Supporting,0
23321,Log Horizon 2nd Season,https://myanimelist.net/anime/23321/Log_Horizon_2nd_Season,TV,Fall,2014,"Akaneya, Ichimonjinosuke",https://myanimelist.net/character/89283/Ichimonjinosuke_Akaneya,89283,Supporting,0
