ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
38313,Oushitsu Kyoushi Heine Movie,https://myanimelist.net/anime/38313/Oushitsu_Kyoushi_Heine_Movie,Movie,,2019,"von Grannzreich, Bruno",https://myanimelist.net/character/147011/Bruno_von_Grannzreich,147011,Main,42
33654,Hitorijime My Hero,https://myanimelist.net/anime/33654/Hitorijime_My_Hero,TV,Summer,2017,"Yamabe, Tsuyoshi",https://myanimelist.net/character/151257/Tsuyoshi_Yamabe,151257,Supporting,3
34934,Koi to Uso,https://myanimelist.net/anime/34934/Koi_to_Uso,TV,Summer,2017,"Takeda, Daiki",https://myanimelist.net/character/152893/Daiki_Takeda,152893,Supporting,0
34533,Nanbaka: Shusseki Bangou no Tsuita Baka-tachi!,https://myanimelist.net/anime/34533/Nanbaka__Shusseki_Bangou_no_Tsuita_Baka-tachi,Special,,2017,Trois,https://myanimelist.net/character/136876/Trois,136876,Supporting,7
34262,Oushitsu Kyoushi Heine,https://myanimelist.net/anime/34262/Oushitsu_Kyoushi_Heine,TV,Spring,2017,"von Grannzreich, Bruno",https://myanimelist.net/character/147011/Bruno_von_Grannzreich,147011,Main,42
34414,Nanbaka 2,https://myanimelist.net/anime/34414/Nanbaka_2,ONA,,2017,Trois,https://myanimelist.net/character/136876/Trois,136876,Supporting,7
31588,All Out!!,https://myanimelist.net/anime/31588/All_Out,TV,Fall,2016,"Iwashimizu, Sumiaki",https://myanimelist.net/character/133410/Sumiaki_Iwashimizu,133410,Main,36
30016,Nanbaka,https://myanimelist.net/anime/30016/Nanbaka,TV,Fall,2016,Trois,https://myanimelist.net/character/136876/Trois,136876,Supporting,7
30382,Aquarion Logos,https://myanimelist.net/anime/30382/Aquarion_Logos,TV,Summer,2015,"Kenzaki, Subete",https://myanimelist.net/character/127243/Subete_Kenzaki,127243,Supporting,1
29715,Nar Doma,https://myanimelist.net/anime/29715/Nar_Doma,TV,Spring,2015,"Monoi, Shuuhei",https://myanimelist.net/character/127238/Shuuhei_Monoi,127238,Main,0
