ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
48842,Mahoutsukai Reimeiki,https://myanimelist.net/anime/48842/Mahoutsukai_Reimeiki,TV,Spring,2022,Hartful,https://myanimelist.net/character/212124/Hartful,212124,Supporting,2
48569,86 Part 2,https://myanimelist.net/anime/48569/86_Part_2,TV,Fall,2021,"Emma, Anju",https://myanimelist.net/character/185972/Anju_Emma,185972,Supporting,591
41457,86,https://myanimelist.net/anime/41457/86,TV,Spring,2021,"Emma, Anju",https://myanimelist.net/character/185972/Anju_Emma,185972,Supporting,591
40329,Crayon Shin-chan Movie 28: Gekitotsu! Rakuga Kingdom to Hobo Yonin no Yuusha,https://myanimelist.net/anime/40329/Crayon_Shin-chan_Movie_28__Gekitotsu_Rakuga_Kingdom_to_Hobo_Yonin_no_Yuusha,Movie,,2020,"Matsuzaka, Ume",https://myanimelist.net/character/7870/Ume_Matsuzaka,7870,Supporting,8
39326,Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,https://myanimelist.net/anime/39326/Kawaikereba_Hentai_demo_Suki_ni_Natte_Kuremasu_ka,TV,Summer,2019,"Fujimoto, Ayano",https://myanimelist.net/character/172200/Ayano_Fujimoto,172200,Supporting,33
37086,Kakegurui××,https://myanimelist.net/anime/37086/Kakegurui××,TV,Winter,2019,"Totobami, Terano",https://myanimelist.net/character/151233/Terano_Totobami,151233,Supporting,7
36726,Yuragi-sou no Yuuna-san,https://myanimelist.net/anime/36726/Yuragi-sou_no_Yuuna-san,TV,Summer,2018,"Shintou, Oboro",https://myanimelist.net/character/148160/Oboro_Shintou,148160,Supporting,37
35062,Mahoutsukai no Yome,https://myanimelist.net/anime/35062/Mahoutsukai_no_Yome,TV,Fall,2017,Redcurrant,https://myanimelist.net/character/156959/Redcurrant,156959,Supporting,42
34566,Boruto: Naruto Next Generations,https://myanimelist.net/anime/34566/Boruto__Naruto_Next_Generations,TV,Spring,2017,Ayame,https://myanimelist.net/character/17310/Ayame,17310,Supporting,12
31173,Akagami no Shirayuki-hime 2nd Season,https://myanimelist.net/anime/31173/Akagami_no_Shirayuki-hime_2nd_Season,TV,Winter,2016,Kazuki,https://myanimelist.net/character/70833/Kazuki,70833,Supporting,5
30503,Noragami Aragoto,https://myanimelist.net/anime/30503/Noragami_Aragoto,TV,Fall,2015,Tsuyu,https://myanimelist.net/character/97297/Tsuyu,97297,Supporting,13
30206,Amagi Brilliant Park: Nonbirishiteiru Hima ga Nai!,https://myanimelist.net/anime/30206/Amagi_Brilliant_Park__Nonbirishiteiru_Hima_ga_Nai,Special,,2015,Macaron,https://myanimelist.net/character/105603/Macaron,105603,Supporting,33
24751,Akuma no Riddle: Shousha wa Dare? Nukiuchi Test,https://myanimelist.net/anime/24751/Akuma_no_Riddle__Shousha_wa_Dare_Nukiuchi_Test,Special,,2014,"Namatame, Chitaru",https://myanimelist.net/character/96963/Chitaru_Namatame,96963,Supporting,47
28447,Shingeki no Bahamut: Genesis - Roundup,https://myanimelist.net/anime/28447/Shingeki_no_Bahamut__Genesis_-_Roundup,TV Special,,2014,"d'Arc, Jeanne",https://myanimelist.net/character/113015/Jeanne_d_039_Arc,113015,Supporting,39
22147,Amagi Brilliant Park,https://myanimelist.net/anime/22147/Amagi_Brilliant_Park,TV,Fall,2014,Macaron,https://myanimelist.net/character/105603/Macaron,105603,Supporting,33
21843,Shingeki no Bahamut: Genesis,https://myanimelist.net/anime/21843/Shingeki_no_Bahamut__Genesis,TV,Fall,2014,"d'Arc, Jeanne",https://myanimelist.net/character/113015/Jeanne_d_039_Arc,113015,Supporting,39
19429,Akuma no Riddle,https://myanimelist.net/anime/19429/Akuma_no_Riddle,TV,Spring,2014,"Namatame, Chitaru",https://myanimelist.net/character/96963/Chitaru_Namatame,96963,Supporting,47
20507,Noragami,https://myanimelist.net/anime/20507/Noragami,TV,Winter,2014,Tsuyu,https://myanimelist.net/character/97297/Tsuyu,97297,Supporting,13
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare,Movie,,2013,Tsukuyo,https://myanimelist.net/character/18823/Tsukuyo,18823,Supporting,2966
17831,Inu to Hasami wa Tsukaiyou,https://myanimelist.net/anime/17831/Inu_to_Hasami_wa_Tsukaiyou,TV,Summer,2013,"Hiiragi, Suzuna",https://myanimelist.net/character/80959/Suzuna_Hiiragi,80959,Supporting,30
12979,Naruto SD: Rock Lee no Seishun Full-Power Ninden,https://myanimelist.net/anime/12979/Naruto_SD__Rock_Lee_no_Seishun_Full-Power_Ninden,TV,Spring,2012,Ayame,https://myanimelist.net/character/17310/Ayame,17310,Supporting,12
1735,Naruto: Shippuuden,https://myanimelist.net/anime/1735/Naruto__Shippuuden,TV,Winter,2007,Shiseru,https://myanimelist.net/character/77005/Shiseru,77005,Supporting,2
517,School Rumble: Ichi Gakki Hoshuu,https://myanimelist.net/anime/517/School_Rumble__Ichi_Gakki_Hoshuu,OVA,,2005,"Takano, Akira",https://myanimelist.net/character/204/Akira_Takano,204,Main,78
345,Eikoku Koi Monogatari Emma,https://myanimelist.net/anime/345/Eikoku_Koi_Monogatari_Emma,TV,Spring,2005,Emma,https://myanimelist.net/character/6751/Emma,6751,Main,214
1817,DearS: Kin no Tama desu no?,https://myanimelist.net/anime/1817/DearS__Kin_no_Tama_desu_no,Special,,2005,"Izumi, Neneko",https://myanimelist.net/character/5286/Neneko_Izumi,5286,Supporting,13
24,School Rumble,https://myanimelist.net/anime/24/School_Rumble,TV,Fall,2004,"Takano, Akira",https://myanimelist.net/character/204/Akira_Takano,204,Main,78
63,DearS,https://myanimelist.net/anime/63/DearS,TV,Summer,2004,"Izumi, Neneko",https://myanimelist.net/character/5286/Neneko_Izumi,5286,Main,13
966,Crayon Shin-chan,https://myanimelist.net/anime/966/Crayon_Shin-chan,TV,Spring,1992,"Matsuzaka, Ume",https://myanimelist.net/character/7870/Ume_Matsuzaka,7870,Supporting,8
