ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
56704,Kengan Ashura Season 2 Part 2,https://myanimelist.net/anime/56704/Kengan_Ashura_Season_2_Part_2,ONA,,2024,"Kaneda, Suekichi",https://myanimelist.net/character/182819/Suekichi_Kaneda,182819,Supporting,10
57160,Sand Land: The Series,https://myanimelist.net/anime/57160/Sand_Land__The_Series,ONA,,2024,Gargoyle,https://myanimelist.net/character/245779/Gargoyle,245779,Supporting,0
57160,Sand Land: The Series,https://myanimelist.net/anime/57160/Sand_Land__The_Series,ONA,,2024,Pike,https://myanimelist.net/character/230718/Pike,230718,Supporting,0
55358,Bucchigiri?!,https://myanimelist.net/anime/55358/Bucchigiri,TV,Winter,2024,"Sakigake, Komao",https://myanimelist.net/character/238098/Komao_Sakigake,238098,Supporting,1
55813,Mashle: Shinkakusha Kouho Senbatsu Shiken-hen,https://myanimelist.net/anime/55813/Mashle__Shinkakusha_Kouho_Senbatsu_Shiken-hen,TV,Winter,2024,"War, Cell",https://myanimelist.net/character/188922/Cell_War,188922,Supporting,6
56146,Good Night World,https://myanimelist.net/anime/56146/Good_Night_World,ONA,,2023,"Arima, Taichirou",https://myanimelist.net/character/233110/Taichirou_Arima,233110,Main,15
54918,Tokyo Revengers: Tenjiku-hen,https://myanimelist.net/anime/54918/Tokyo_Revengers__Tenjiku-hen,TV,Fall,2023,"Hanagaki, Takemichi",https://myanimelist.net/character/171969/Takemichi_Hanagaki,171969,Main,2152
51369,Kengan Ashura Season 2,https://myanimelist.net/anime/51369/Kengan_Ashura_Season_2,ONA,,2023,"Kaneda, Suekichi",https://myanimelist.net/character/182819/Suekichi_Kaneda,182819,Supporting,10
51009,Jujutsu Kaisen 2nd Season,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season,TV,Summer,2023,"Haibara, Yuu",https://myanimelist.net/character/232695/Yuu_Haibara,232695,Supporting,13
52211,Mashle,https://myanimelist.net/anime/52211/Mashle,TV,Spring,2023,"War, Cell",https://myanimelist.net/character/188922/Cell_War,188922,Supporting,6
50608,Tokyo Revengers: Seiya Kessen-hen,https://myanimelist.net/anime/50608/Tokyo_Revengers__Seiya_Kessen-hen,TV,Winter,2023,"Hanagaki, Takemichi",https://myanimelist.net/character/171969/Takemichi_Hanagaki,171969,Main,2152
51064,Kuro no Shoukanshi,https://myanimelist.net/anime/51064/Kuro_no_Shoukanshi,TV,Summer,2022,Gimul,https://myanimelist.net/character/214046/Gimul,214046,Supporting,0
42963,"Kanojo, Okarishimasu 2nd Season",https://myanimelist.net/anime/42963/Kanojo_Okarishimasu_2nd_Season,TV,Summer,2022,"Sasano, Takeshi",https://myanimelist.net/character/184568/Takeshi_Sasano,184568,Supporting,0
49052,Ao Ashi,https://myanimelist.net/anime/49052/Ao_Ashi,TV,Spring,2022,"Nakamura, Taira",https://myanimelist.net/character/206498/Taira_Nakamura,206498,Supporting,3
50631,"Komi-san wa, Comyushou desu. 2nd Season",https://myanimelist.net/anime/50631/Komi-san_wa_Comyushou_desu_2nd_Season,TV,Spring,2022,"Maeda, Jukujosuki Hoshio",https://myanimelist.net/character/189624/Jukujosuki_Hoshio_Maeda,189624,Supporting,2
37914,Chikyuugai Shounen Shoujo,https://myanimelist.net/anime/37914/Chikyuugai_Shounen_Shoujo,ONA,,2022,Dakki,https://myanimelist.net/character/205610/Dakki,205610,Supporting,0
44516,Koroshi Ai,https://myanimelist.net/anime/44516/Koroshi_Ai,TV,Winter,2022,Jim,https://myanimelist.net/character/203395/Jim,203395,Supporting,11
46352,Blue Period,https://myanimelist.net/anime/46352/Blue_Period,TV,Fall,2021,"Hashida, Haruka",https://myanimelist.net/character/174467/Haruka_Hashida,174467,Supporting,353
48438,Mahoutsukai no Yome: Nishi no Shounen to Seiran no Kishi,https://myanimelist.net/anime/48438/Mahoutsukai_no_Yome__Nishi_no_Shounen_to_Seiran_no_Kishi,OVA,,2021,Oberon,https://myanimelist.net/character/138881/Oberon,138881,Supporting,67
42249,Tokyo Revengers,https://myanimelist.net/anime/42249/Tokyo_Revengers,TV,Spring,2021,"Hanagaki, Takemichi",https://myanimelist.net/character/171969/Takemichi_Hanagaki,171969,Main,2152
41899,Ore dake Haireru Kakushi Dungeon,https://myanimelist.net/anime/41899/Ore_dake_Haireru_Kakushi_Dungeon,TV,Winter,2021,Vashelle,https://myanimelist.net/character/203274/Vashelle,203274,Supporting,0
40839,"Kanojo, Okarishimasu",https://myanimelist.net/anime/40839/Kanojo_Okarishimasu,TV,Summer,2020,"Sasano, Takeshi",https://myanimelist.net/character/184568/Takeshi_Sasano,184568,Supporting,0
41353,The God of High School,https://myanimelist.net/anime/41353/The_God_of_High_School,TV,Summer,2020,"Jin, Mo-Ri",https://myanimelist.net/character/157935/Mo-Ri_Jin,157935,Main,2057
40221,Kami no Tou,https://myanimelist.net/anime/40221/Kami_no_Tou,TV,Spring,2020,"Edroch, Evan",https://myanimelist.net/character/178113/Evan_Edroch,178113,Supporting,3
40269,Kengan Ashura Part 2,https://myanimelist.net/anime/40269/Kengan_Ashura_Part_2,ONA,,2019,"Kaneda, Suekichi",https://myanimelist.net/character/182819/Suekichi_Kaneda,182819,Supporting,10
36903,Kengan Ashura,https://myanimelist.net/anime/36903/Kengan_Ashura,ONA,,2019,"Kaneda, Suekichi",https://myanimelist.net/character/182819/Suekichi_Kaneda,182819,Supporting,10
37435,Carole & Tuesday,https://myanimelist.net/anime/37435/Carole___Tuesday,TV,Spring,2019,Tao,https://myanimelist.net/character/167947/Tao,167947,Supporting,31
35062,Mahoutsukai no Yome,https://myanimelist.net/anime/35062/Mahoutsukai_no_Yome,TV,Fall,2017,Oberon,https://myanimelist.net/character/138881/Oberon,138881,Supporting,67
34572,Black Clover,https://myanimelist.net/anime/34572/Black_Clover,TV,Fall,2017,"Hapshass, Salim",https://myanimelist.net/character/157459/Salim_Hapshass,157459,Supporting,0
32951,Rokudenashi Majutsu Koushi to Akashic Records,https://myanimelist.net/anime/32951/Rokudenashi_Majutsu_Koushi_to_Akashic_Records,TV,Spring,2017,"Fraul, Kristoff",https://myanimelist.net/character/153998/Kristoff_Fraul,153998,Supporting,0
32729,Orange,https://myanimelist.net/anime/32729/Orange,TV,Summer,2016,"Suwa, Hiroto",https://myanimelist.net/character/66595/Hiroto_Suwa,66595,Main,2322
10370,Metal Fight Beyblade 4D,https://myanimelist.net/anime/10370/Metal_Fight_Beyblade_4D,TV,Spring,2011,Johannes,https://myanimelist.net/character/149993/Johannes,149993,Supporting,3
1535,Death Note,https://myanimelist.net/anime/1535/Death_Note,TV,Fall,2006,"Matsuda, Touta",https://myanimelist.net/character/1906/Touta_Matsuda,1906,Supporting,1062
1668,Bakuten Shoot Beyblade G Revolution,https://myanimelist.net/anime/1668/Bakuten_Shoot_Beyblade_G_Revolution,TV,Winter,2003,"Kon, Rei",https://myanimelist.net/character/1994/Rei_Kon,1994,Main,127
1669,Bakuten Shoot Beyblade 2002,https://myanimelist.net/anime/1669/Bakuten_Shoot_Beyblade_2002,TV,Winter,2002,"Kon, Rei",https://myanimelist.net/character/1994/Rei_Kon,1994,Main,127
874,Digimon Tamers,https://myanimelist.net/anime/874/Digimon_Tamers,TV,Spring,2001,Guilmon,https://myanimelist.net/character/8762/Guilmon,8762,Main,157
288,Bakuten Shoot Beyblade,https://myanimelist.net/anime/288/Bakuten_Shoot_Beyblade,TV,Winter,2001,"Kon, Rei",https://myanimelist.net/character/1994/Rei_Kon,1994,Main,127
1281,Gakkou no Kaidan,https://myanimelist.net/anime/1281/Gakkou_no_Kaidan,TV,Fall,2000,"Kakinoki, Reo",https://myanimelist.net/character/4498/Reo_Kakinoki,4498,Main,26
1313,Digimon Adventure 02,https://myanimelist.net/anime/1313/Digimon_Adventure_02,TV,Spring,2000,"Yagami, Taichi",https://myanimelist.net/character/1907/Taichi_Yagami,1907,Supporting,782
2397,Digimon Adventure: Bokura no War Game!,https://myanimelist.net/anime/2397/Digimon_Adventure__Bokura_no_War_Game,Movie,,2000,"Yagami, Taichi",https://myanimelist.net/character/1907/Taichi_Yagami,1907,Main,782
552,Digimon Adventure,https://myanimelist.net/anime/552/Digimon_Adventure,TV,Spring,1999,"Yagami, Taichi",https://myanimelist.net/character/1907/Taichi_Yagami,1907,Main,782
6,Trigun,https://myanimelist.net/anime/6/Trigun,TV,Spring,1998,Vash the Stampede,https://myanimelist.net/character/162/Vash_the_Stampede,162,Main,17262
538,Shin Tenchi Muyou!,https://myanimelist.net/anime/538/Shin_Tenchi_Muyou,TV,Spring,1997,"Masaki, Tenchi",https://myanimelist.net/character/274/Tenchi_Masaki,274,Main,241
696,Tenchi Muyou!,https://myanimelist.net/anime/696/Tenchi_Muyou,TV,Spring,1995,"Masaki, Tenchi",https://myanimelist.net/character/274/Tenchi_Masaki,274,Main,241
540,Tenchi Muyou! Ryououki 2nd Season,https://myanimelist.net/anime/540/Tenchi_Muyou_Ryououki_2nd_Season,OVA,,1994,"Masaki, Tenchi",https://myanimelist.net/character/274/Tenchi_Masaki,274,Main,241
392,Yuu☆Yuu☆Hakusho,https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho,TV,Fall,1992,Touya,https://myanimelist.net/character/2371/Touya,2371,Supporting,15
392,Yuu☆Yuu☆Hakusho,https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho,TV,Fall,1992,Okubo,https://myanimelist.net/character/8641/Okubo,8641,Supporting,0
392,Yuu☆Yuu☆Hakusho,https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho,TV,Fall,1992,"Kido, Asato",https://myanimelist.net/character/26765/Asato_Kido,26765,Supporting,2
539,Tenchi Muyou! Ryououki,https://myanimelist.net/anime/539/Tenchi_Muyou_Ryououki,OVA,,1992,"Masaki, Tenchi",https://myanimelist.net/character/274/Tenchi_Masaki,274,Main,241
2892,Hakushon Daimaou,https://myanimelist.net/anime/2892/Hakushon_Daimaou,TV,Fall,1969,"Yodayama, Kanichi",https://myanimelist.net/character/44232/Kanichi_Yodayama,44232,Main,2
