ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
59419,Project Sekai Movie: Kowareta Sekai to Utaenai Miku,https://myanimelist.net/anime/59419/Project_Sekai_Movie__Kowareta_Sekai_to_Utaenai_Miku,Movie,,2025,"Shinonome, Ena",https://myanimelist.net/character/205203/Ena_Shinonome,205203,Supporting,232
59136,Tasokare Hotel,https://myanimelist.net/anime/59136/Tasokare_Hotel,TV,Winter,2025,Ayaka,https://myanimelist.net/character/266562/Ayaka,266562,Supporting,0
58502,Zenshuu.,https://myanimelist.net/anime/58502/Zenshuu,TV,Winter,2025,Memmeln,https://myanimelist.net/character/245480/Memmeln,245480,Main,18
56400,"Maou-sama, Retry! R",https://myanimelist.net/anime/56400/Maou-sama_Retry_R,TV,Fall,2024,Mink,https://myanimelist.net/character/173715/Mink,173715,Supporting,0
52481,Gimai Seikatsu,https://myanimelist.net/anime/52481/Gimai_Seikatsu,TV,Summer,2024,"Yomiuri, Shiori",https://myanimelist.net/character/193575/Shiori_Yomiuri,193575,Supporting,111
57647,Uma Musume: Pretty Derby - Shin Jidai no Tobira,https://myanimelist.net/anime/57647/Uma_Musume__Pretty_Derby_-_Shin_Jidai_no_Tobira,Movie,,2024,Agnes Digital,https://myanimelist.net/character/222484/Agnes_Digital,222484,Supporting,1
54789,Boku no Hero Academia 7th Season,https://myanimelist.net/anime/54789/Boku_no_Hero_Academia_7th_Season,TV,Spring,2024,Ordinary Woman,https://myanimelist.net/character/225653/Ordinary_Woman,225653,Supporting,18
35737,Pluto,https://myanimelist.net/anime/35737/Pluto,ONA,,2023,Uran,https://myanimelist.net/character/152864/Uran,152864,Supporting,8
56830,Journey to Bloom,https://myanimelist.net/anime/56830/Journey_to_Bloom,ONA,,2023,"Shinonome, Ena",https://myanimelist.net/character/205203/Ena_Shinonome,205203,Main,232
54842,Sugar Apple Fairy Tale Part 2,https://myanimelist.net/anime/54842/Sugar_Apple_Fairy_Tale_Part_2,TV,Summer,2023,Benjamin,https://myanimelist.net/character/221433/Benjamin,221433,Supporting,7
