ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
49596,Blue Lock,https://myanimelist.net/anime/49596/Blue_Lock,TV,Fall,2022,"Buratsuta, Hirotoshi",https://myanimelist.net/character/189714/Hirotoshi_Buratsuta,189714,Supporting,1
40748,Jujutsu Kaisen,https://myanimelist.net/anime/40748/Jujutsu_Kaisen,TV,Fall,2020,"Okazaki, Tadashi",https://myanimelist.net/character/199614/Tadashi_Okazaki,199614,Supporting,0
40839,"Kanojo, Okarishimasu",https://myanimelist.net/anime/40839/Kanojo_Okarishimasu,TV,Summer,2020,"Kinoshita, Kazuo",https://myanimelist.net/character/184408/Kazuo_Kinoshita,184408,Supporting,0
40858,Psycho-Pass 3: First Inspector,https://myanimelist.net/anime/40858/Psycho-Pass_3__First_Inspector,ONA,,2020,"Sugou, Teppei",https://myanimelist.net/character/115079/Teppei_Sugou,115079,Supporting,15
39491,Psycho-Pass 3,https://myanimelist.net/anime/39491/Psycho-Pass_3,TV,Fall,2019,"Sugou, Teppei",https://myanimelist.net/character/115079/Teppei_Sugou,115079,Supporting,15
38691,Dr. Stone,https://myanimelist.net/anime/38691/Dr_Stone,TV,Summer,2019,Sagan,https://myanimelist.net/character/178457/Sagan,178457,Supporting,0
36633,Date A Live III,https://myanimelist.net/anime/36633/Date_A_Live_III,TV,Winter,2019,"Nakatsugawa, Munechika",https://myanimelist.net/character/86893/Munechika_Nakatsugawa,86893,Supporting,0
31658,Kuroko no Basket Movie 4: Last Game,https://myanimelist.net/anime/31658/Kuroko_no_Basket_Movie_4__Last_Game,Movie,,2017,"Nebuya, Eikichi",https://myanimelist.net/character/66813/Eikichi_Nebuya,66813,Supporting,1
33023,Touken Ranbu: Hanamaru,https://myanimelist.net/anime/33023/Touken_Ranbu__Hanamaru,TV,Fall,2016,"Mitsutada, Shokudaikiri",https://myanimelist.net/character/134409/Shokudaikiri_Mitsutada,134409,Supporting,144
24655,Date A Live Movie: Mayuri Judgment,https://myanimelist.net/anime/24655/Date_A_Live_Movie__Mayuri_Judgment,Movie,,2015,"Nakatsugawa, Munechika",https://myanimelist.net/character/86893/Munechika_Nakatsugawa,86893,Supporting,0
30694,Dragon Ball Super,https://myanimelist.net/anime/30694/Dragon_Ball_Super,TV,Summer,2015,"Son, Gokuu",https://myanimelist.net/character/246/Gokuu_Son,246,Main,29243
24415,Kuroko no Basket 3rd Season,https://myanimelist.net/anime/24415/Kuroko_no_Basket_3rd_Season,TV,Winter,2015,"Nebuya, Eikichi",https://myanimelist.net/character/66813/Eikichi_Nebuya,66813,Supporting,1
23281,Psycho-Pass 2,https://myanimelist.net/anime/23281/Psycho-Pass_2,TV,Fall,2014,"Sugou, Teppei",https://myanimelist.net/character/115079/Teppei_Sugou,115079,Supporting,15
19163,Date A Live II,https://myanimelist.net/anime/19163/Date_A_Live_II,TV,Spring,2014,"Nakatsugawa, Munechika",https://myanimelist.net/character/86893/Munechika_Nakatsugawa,86893,Supporting,0
15583,Date A Live,https://myanimelist.net/anime/15583/Date_A_Live,TV,Spring,2013,"Nakatsugawa, Munechika",https://myanimelist.net/character/86893/Munechika_Nakatsugawa,86893,Supporting,0
12189,Hyouka,https://myanimelist.net/anime/12189/Hyouka,TV,Spring,2012,"Nakajou, Junya",https://myanimelist.net/character/64409/Junya_Nakajou,64409,Supporting,0
9941,Tiger & Bunny,https://myanimelist.net/anime/9941/Tiger___Bunny,TV,Spring,2011,Richard,https://myanimelist.net/character/257811/Richard,257811,Supporting,0
