ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
39247,Kobayashi-san Chi no Maid Dragon S,https://myanimelist.net/anime/39247/Kobayashi-san_Chi_no_Maid_Dragon_S,TV,Summer,2021,Tooru,https://myanimelist.net/character/136727/Tooru,136727,Main,5942
33354,Cardcaptor Sakura: Clear Card-hen,https://myanimelist.net/anime/33354/Cardcaptor_Sakura__Clear_Card-hen,TV,Winter,2018,"Kinomoto, Sakura",https://myanimelist.net/character/2671/Sakura_Kinomoto,2671,Main,5823
35145,Kobayashi-san Chi no OO Dragon,https://myanimelist.net/anime/35145/Kobayashi-san_Chi_no_OO_Dragon,Special,,2017,Tooru,https://myanimelist.net/character/136727/Tooru,136727,Main,5942
33064,Uchuu Senkan Yamato 2202: Ai no Senshi-tachi,https://myanimelist.net/anime/33064/Uchuu_Senkan_Yamato_2202__Ai_no_Senshi-tachi,OVA,,2017,"Harada, Makoto",https://myanimelist.net/character/87633/Makoto_Harada,87633,Supporting,1
33206,Kobayashi-san Chi no Maid Dragon,https://myanimelist.net/anime/33206/Kobayashi-san_Chi_no_Maid_Dragon,TV,Winter,2017,Tooru,https://myanimelist.net/character/136727/Tooru,136727,Main,5942
31318,Comet Lucifer,https://myanimelist.net/anime/31318/Comet_Lucifer,TV,Fall,2015,Mo Ritika Tzetzes Ura,https://myanimelist.net/character/131634/Mo_Ritika_Tzetzes_Ura,131634,Main,5
30296,Rakudai Kishi no Cavalry,https://myanimelist.net/anime/30296/Rakudai_Kishi_no_Cavalry,TV,Fall,2015,"Saikyou, Nene",https://myanimelist.net/character/132303/Nene_Saikyou,132303,Supporting,45
30091,Chaos Dragon: Sekiryuu Seneki,https://myanimelist.net/anime/30091/Chaos_Dragon__Sekiryuu_Seneki,TV,Summer,2015,"Sagura, Mashiro",https://myanimelist.net/character/129169/Mashiro_Sagura,129169,Supporting,0
28617,Punch Line,https://myanimelist.net/anime/28617/Punch_Line,TV,Spring,2015,"Daihatsu, Meika",https://myanimelist.net/character/124024/Meika_Daihatsu,124024,Main,23
24439,Kekkai Sensen,https://myanimelist.net/anime/24439/Kekkai_Sensen,TV,Spring,2015,"Watch, Michella",https://myanimelist.net/character/124949/Michella_Watch,124949,Supporting,12
24919,Aoki Hagane no Arpeggio: Ars Nova Movie 1 - DC,https://myanimelist.net/anime/24919/Aoki_Hagane_no_Arpeggio__Ars_Nova_Movie_1_-_DC,Movie,,2015,I-400,https://myanimelist.net/character/94551/I-400,94551,Supporting,1
25835,Shirobako,https://myanimelist.net/anime/25835/Shirobako,TV,Fall,2014,"Imai, Midori",https://myanimelist.net/character/111955/Midori_Imai,111955,Main,149
25157,Trinity Seven,https://myanimelist.net/anime/25157/Trinity_Seven,TV,Fall,2014,"Sherlock, Selina",https://myanimelist.net/character/68373/Selina_Sherlock,68373,Supporting,16
16904,K: Missing Kings,https://myanimelist.net/anime/16904/K__Missing_Kings,Movie,,2014,"Kushina, Anna",https://myanimelist.net/character/64627/Anna_Kushina,64627,Main,429
24991,No Game No Life Specials,https://myanimelist.net/anime/24991/No_Game_No_Life_Specials,Special,,2014,"Dola, Stephanie",https://myanimelist.net/character/82527/Stephanie_Dola,82527,Main,917
19815,No Game No Life,https://myanimelist.net/anime/19815/No_Game_No_Life,TV,Spring,2014,"Dola, Stephanie",https://myanimelist.net/character/82527/Stephanie_Dola,82527,Main,917
18893,Aoki Hagane no Arpeggio: Ars Nova,https://myanimelist.net/anime/18893/Aoki_Hagane_no_Arpeggio__Ars_Nova,TV,Fall,2013,I-400,https://myanimelist.net/character/94551/I-400,94551,Supporting,1
18115,Magi: The Kingdom of Magic,https://myanimelist.net/anime/18115/Magi__The_Kingdom_of_Magic,TV,Fall,2013,Jinjin,https://myanimelist.net/character/95201/Jinjin,95201,Supporting,0
9479,Coppelion,https://myanimelist.net/anime/9479/Coppelion,TV,Fall,2013,"Fukasaku, Aoi",https://myanimelist.net/character/87473/Aoi_Fukasaku,87473,Main,16
16397,Photokano,https://myanimelist.net/anime/16397/Photokano,TV,Spring,2013,"Sakura, Mai",https://myanimelist.net/character/75014/Mai_Sakura,75014,Main,5
14131,Girls & Panzer,https://myanimelist.net/anime/14131/Girls___Panzer,TV,Fall,2012,"Nakajima, Rera",https://myanimelist.net/character/76080/Rera_Nakajima,76080,Supporting,1
14467,K,https://myanimelist.net/anime/14467/K,TV,Fall,2012,"Kushina, Anna",https://myanimelist.net/character/64627/Anna_Kushina,64627,Supporting,429
12029,Uchuu Senkan Yamato 2199,https://myanimelist.net/anime/12029/Uchuu_Senkan_Yamato_2199,OVA,,2012,"Harada, Makoto",https://myanimelist.net/character/87633/Makoto_Harada,87633,Supporting,1
8211,Dance in the Vampire Bund: Special Edition,https://myanimelist.net/anime/8211/Dance_in_the_Vampire_Bund__Special_Edition,TV Special,,2010,"Saegusa, Yuki",https://myanimelist.net/character/29550/Yuki_Saegusa,29550,Main,10
6747,Dance in the Vampire Bund,https://myanimelist.net/anime/6747/Dance_in_the_Vampire_Bund,TV,Winter,2010,"Saegusa, Yuki",https://myanimelist.net/character/29550/Yuki_Saegusa,29550,Main,10
5114,Fullmetal Alchemist: Brotherhood,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,TV,Spring,2009,Lan Fan,https://myanimelist.net/character/3292/Lan_Fan,3292,Supporting,443
