ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
48903,Dragon Ball Super: Super Hero,https://myanimelist.net/anime/48903/Dragon_Ball_Super__Super_Hero,Movie,,2022,Broly,https://myanimelist.net/character/4945/Broly,4945,Supporting,1686
48583,Shingeki no Kyojin: The Final Season Part 2,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2,TV,Winter,2022,"Blouse, Arthur",https://myanimelist.net/character/149926/Arthur_Blouse,149926,Supporting,9
40028,Shingeki no Kyojin: The Final Season,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season,TV,Winter,2021,"Blouse, Arthur",https://myanimelist.net/character/149926/Arthur_Blouse,149926,Supporting,9
35848,Promare,https://myanimelist.net/anime/35848/Promare,Movie,,2019,"Haestus, Vulcan",https://myanimelist.net/character/170505/Vulcan_Haestus,170505,Supporting,1
36946,Dragon Ball Super: Broly,https://myanimelist.net/anime/36946/Dragon_Ball_Super__Broly,Movie,,2018,Broly,https://myanimelist.net/character/4945/Broly,4945,Main,1686
25777,Shingeki no Kyojin Season 2,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2,TV,Spring,2017,"Blouse, Arthur",https://myanimelist.net/character/149926/Arthur_Blouse,149926,Supporting,9
31373,Rudolf to Ippaiattena,https://myanimelist.net/anime/31373/Rudolf_to_Ippaiattena,Movie,,2016,Devil,https://myanimelist.net/character/138739/Devil,138739,Supporting,0
25389,"Dragon Ball Z Movie 15: Fukkatsu no ""F""",https://myanimelist.net/anime/25389/Dragon_Ball_Z_Movie_15__Fukkatsu_no_F,Movie,,2015,Shisami,https://myanimelist.net/character/130462/Shisami,130462,Supporting,0
10937,Kidou Senshi Gundam: The Origin,https://myanimelist.net/anime/10937/Kidou_Senshi_Gundam__The_Origin,OVA,,2015,"Zabi, Dozle",https://myanimelist.net/character/30965/Dozle_Zabi,30965,Supporting,11
23775,Shingeki no Kyojin Movie 1: Guren no Yumiya,https://myanimelist.net/anime/23775/Shingeki_no_Kyojin_Movie_1__Guren_no_Yumiya,Movie,,2014,"Jarnach, Mitabi",https://myanimelist.net/character/87385/Mitabi_Jarnach,87385,Supporting,1
