ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
57519,Boku no Hero Academia: Memories,https://myanimelist.net/anime/57519/Boku_no_Hero_Academia__Memories,TV Special,,2024,"Todoroki, Enji",https://myanimelist.net/character/141624/Enji_Todoroki,141624,Supporting,1169
54869,High Card Season 2,https://myanimelist.net/anime/54869/High_Card_Season_2,TV,Winter,2024,"Young, Greg",https://myanimelist.net/character/220463/Greg_Young,220463,Supporting,0
51585,City Hunter Movie: Tenshi no Namida,https://myanimelist.net/anime/51585/City_Hunter_Movie__Tenshi_no_Namida,Movie,,2023,"Ijuuin, Hayato",https://myanimelist.net/character/2068/Hayato_Ijuuin,2068,Supporting,57
54141,Bastard!! Ankoku no Hakaishin: Jigoku no Chinkonka-hen,https://myanimelist.net/anime/54141/Bastard_Ankoku_no_Hakaishin__Jigoku_no_Chinkonka-hen,ONA,,2023,Abigail,https://myanimelist.net/character/206953/Abigail,206953,Supporting,2
51318,Hanma Baki: Son of Ogre 2nd Season,https://myanimelist.net/anime/51318/Hanma_Baki__Son_of_Ogre_2nd_Season,ONA,,2023,"Kaiou, Jyaku",https://myanimelist.net/character/185351/Jyaku_Kaiou,185351,Supporting,1
54112,Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,https://myanimelist.net/anime/54112/Zom_100__Zombie_ni_Naru_made_ni_Shitai_100_no_Koto,TV,Summer,2023,"Tendou, Teruo",https://myanimelist.net/character/178945/Teruo_Tendou,178945,Supporting,1
53998,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,https://myanimelist.net/anime/53998/Bleach__Sennen_Kessen-hen_-_Ketsubetsu-tan,TV,Summer,2023,"Socacchio, Dordonii Alessandro Del",https://myanimelist.net/character/7430/Dordonii_Alessandro_Del_Socacchio,7430,Supporting,4
51009,Jujutsu Kaisen 2nd Season,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season,TV,Summer,2023,Jougo,https://myanimelist.net/character/176770/Jougo,176770,Supporting,125
52657,Ousama Ranking: Yuuki no Takarabako,https://myanimelist.net/anime/52657/Ousama_Ranking__Yuuki_no_Takarabako,TV,Spring,2023,Apeas,https://myanimelist.net/character/200581/Apeas,200581,Supporting,24
49154,High Card,https://myanimelist.net/anime/49154/High_Card,TV,Winter,2023,"Young, Greg",https://myanimelist.net/character/220463/Greg_Young,220463,Supporting,0
53414,Lupin Zero,https://myanimelist.net/anime/53414/Lupin_Zero,ONA,,2022,Lupin II,https://myanimelist.net/character/63225/Lupin_II,63225,Supporting,11
53273,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,https://myanimelist.net/anime/53273/JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean_Part_3,ONA,,2022,"Pucci, Enrico",https://myanimelist.net/character/17676/Enrico_Pucci,17676,Main,1794
49877,Tensei shitara Slime Datta Ken Movie: Guren no Kizuna-hen,https://myanimelist.net/anime/49877/Tensei_shitara_Slime_Datta_Ken_Movie__Guren_no_Kizuna-hen,Movie,,2022,Mobuji,https://myanimelist.net/character/215884/Mobuji,215884,Supporting,0
44511,Chainsaw Man,https://myanimelist.net/anime/44511/Chainsaw_Man,TV,Fall,2022,Yakuza,https://myanimelist.net/character/199853/Yakuza,199853,Supporting,1
49918,Boku no Hero Academia 6th Season,https://myanimelist.net/anime/49918/Boku_no_Hero_Academia_6th_Season,TV,Fall,2022,"Todoroki, Enji",https://myanimelist.net/character/141624/Enji_Todoroki,141624,Supporting,1169
51366,Bastard!! Ankoku no Hakaishin Part 2 (ONA),https://myanimelist.net/anime/51366/Bastard_Ankoku_no_Hakaishin_Part_2_ONA,ONA,,2022,Abigail,https://myanimelist.net/character/206953/Abigail,206953,Supporting,2
51367,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,https://myanimelist.net/anime/51367/JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean_Part_2,ONA,,2022,"Pucci, Enrico",https://myanimelist.net/character/17676/Enrico_Pucci,17676,Main,1794
50410,One Piece Film: Red,https://myanimelist.net/anime/50410/One_Piece_Film__Red,Movie,,2022,Sakazuki,https://myanimelist.net/character/22687/Sakazuki,22687,Supporting,323
48895,Overlord IV,https://myanimelist.net/anime/48895/Overlord_IV,TV,Summer,2022,Sebas Tian,https://myanimelist.net/character/116279/Sebas_Tian,116279,Supporting,1176
50953,Bastard!! Ankoku no Hakaishin (ONA),https://myanimelist.net/anime/50953/Bastard_Ankoku_no_Hakaishin_ONA,ONA,,2022,Abigail,https://myanimelist.net/character/206953/Abigail,206953,Supporting,2
41750,Koukaku Kidoutai: SAC_2045 Season 2,https://myanimelist.net/anime/41750/Koukaku_Kidoutai__SAC_2045_Season_2,ONA,,2022,Ishikawa,https://myanimelist.net/character/2676/Ishikawa,2676,Supporting,87
48661,JoJo no Kimyou na Bouken Part 6: Stone Ocean,https://myanimelist.net/anime/48661/JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean,ONA,,2021,"Pucci, Enrico",https://myanimelist.net/character/17676/Enrico_Pucci,17676,Main,1794
