ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
52995,Arifureta Shokugyou de Sekai Saikyou Season 3,https://myanimelist.net/anime/52995/Arifureta_Shokugyou_de_Sekai_Saikyou_Season_3,TV,Fall,2024,"Heiligh, Liliana S. B.",https://myanimelist.net/character/153344/Liliana_S_B_Heiligh,153344,Supporting,4
58302,The iDOLM@STER Shiny Colors 2nd Season,https://myanimelist.net/anime/58302/The_iDOLMSTER_Shiny_Colors_2nd_Season,TV,Fall,2024,"Kuwayama, Chiyuki",https://myanimelist.net/character/202605/Chiyuki_Kuwayama,202605,Supporting,13
54758,The iDOLM@STER Shiny Colors,https://myanimelist.net/anime/54758/The_iDOLMSTER_Shiny_Colors,TV,Spring,2024,"Kuwayama, Chiyuki",https://myanimelist.net/character/202605/Chiyuki_Kuwayama,202605,Supporting,13
52816,Majo to Yajuu,https://myanimelist.net/anime/52816/Majo_to_Yajuu,TV,Winter,2024,Marie,https://myanimelist.net/character/237890/Marie,237890,Supporting,0
54616,Potion-danomi de Ikinobimasu!,https://myanimelist.net/anime/54616/Potion-danomi_de_Ikinobimasu,TV,Fall,2023,Salle,https://myanimelist.net/character/238200/Salle,238200,Supporting,0
40507,Arifureta Shokugyou de Sekai Saikyou 2nd Season,https://myanimelist.net/anime/40507/Arifureta_Shokugyou_de_Sekai_Saikyou_2nd_Season,TV,Winter,2022,"Heiligh, Liliana S. B.",https://myanimelist.net/character/153344/Liliana_S_B_Heiligh,153344,Supporting,4
39469,Tsugu Tsugumomo,https://myanimelist.net/anime/39469/Tsugu_Tsugumomo,TV,Spring,2020,"Chikaishi, Chisato",https://myanimelist.net/character/148680/Chisato_Chikaishi,148680,Supporting,10
39470,Tsugumomo OVA,https://myanimelist.net/anime/39470/Tsugumomo_OVA,OVA,,2020,"Chikaishi, Chisato",https://myanimelist.net/character/148680/Chisato_Chikaishi,148680,Supporting,10
36882,Arifureta Shokugyou de Sekai Saikyou,https://myanimelist.net/anime/36882/Arifureta_Shokugyou_de_Sekai_Saikyou,TV,Summer,2019,"Heiligh, Liliana S. B.",https://myanimelist.net/character/153344/Liliana_S_B_Heiligh,153344,Supporting,4
37769,Aguu: Tensai Ningyou,https://myanimelist.net/anime/37769/Aguu__Tensai_Ningyou,TV,Summer,2018,Ai,https://myanimelist.net/character/162800/Ai,162800,Main,0
35828,Miira no Kaikata,https://myanimelist.net/anime/35828/Miira_no_Kaikata,TV,Winter,2018,Blonde Friend,https://myanimelist.net/character/263293/Blonde_Friend,263293,Supporting,0
34566,Boruto: Naruto Next Generations,https://myanimelist.net/anime/34566/Boruto__Naruto_Next_Generations,TV,Spring,2017,Kirara,https://myanimelist.net/character/173400/Kirara,173400,Supporting,1
34019,Tsugumomo,https://myanimelist.net/anime/34019/Tsugumomo,TV,Spring,2017,"Chikaishi, Chisato",https://myanimelist.net/character/148680/Chisato_Chikaishi,148680,Supporting,10
34514,Pokemon Generations,https://myanimelist.net/anime/34514/Pokemon_Generations,ONA,,2016,Fuuro,https://myanimelist.net/character/56383/Fuuro,56383,Supporting,12
34514,Pokemon Generations,https://myanimelist.net/anime/34514/Pokemon_Generations,ONA,,2016,Nyasper,https://myanimelist.net/character/234566/Nyasper,234566,Supporting,3
18247,IS: Infinite Stratos 2,https://myanimelist.net/anime/18247/IS__Infinite_Stratos_2,TV,Fall,2013,Fee,https://myanimelist.net/character/255424/Fee,255424,Supporting,0
