ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
56784,Bleach: Sennen Kessen-hen - Soukoku-tan,https://myanimelist.net/anime/56784/Bleach__Sennen_Kessen-hen_-_Soukoku-tan,TV,Fall,2024,"Yamada, Hanatarou",https://myanimelist.net/character/2161/Hanatarou_Yamada,2161,Supporting,149
49303,Alice to Therese no Maboroshi Koujou,https://myanimelist.net/anime/49303/Alice_to_Therese_no_Maboroshi_Koujou,Movie,,2023,"Nitta, Atsushi",https://myanimelist.net/character/232415/Atsushi_Nitta,232415,Supporting,1
54898,Bungou Stray Dogs 5th Season,https://myanimelist.net/anime/54898/Bungou_Stray_Dogs_5th_Season,TV,Summer,2023,"Gogol, Nikolai",https://myanimelist.net/character/159447/Nikolai_Gogol,159447,Supporting,704
50330,Bungou Stray Dogs 4th Season,https://myanimelist.net/anime/50330/Bungou_Stray_Dogs_4th_Season,TV,Winter,2023,"Gogol, Nikolai",https://myanimelist.net/character/159447/Nikolai_Gogol,159447,Supporting,704
41467,Bleach: Sennen Kessen-hen,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen,TV,Fall,2022,"Yamada, Hanatarou",https://myanimelist.net/character/2161/Hanatarou_Yamada,2161,Supporting,149
40540,Sword Art Online: Alicization - War of Underworld 2nd Season,https://myanimelist.net/anime/40540/Sword_Art_Online__Alicization_-_War_of_Underworld_2nd_Season,TV,Summer,2020,Jun,https://myanimelist.net/character/118325/Jun,118325,Supporting,4
40532,Appare-Ranman!,https://myanimelist.net/anime/40532/Appare-Ranman,TV,Spring,2020,"Sorano, Appare",https://myanimelist.net/character/178398/Appare_Sorano,178398,Main,320
38668,Dorohedoro,https://myanimelist.net/anime/38668/Dorohedoro,TV,Winter,2020,Insect Magic User,https://myanimelist.net/character/177460/Insect_Magic_User,177460,Supporting,1
39574,Levius,https://myanimelist.net/anime/39574/Levius,ONA,,2019,"Cromwell, Levius",https://myanimelist.net/character/156281/Levius_Cromwell,156281,Main,25
34566,Boruto: Naruto Next Generations,https://myanimelist.net/anime/34566/Boruto__Naruto_Next_Generations,TV,Spring,2017,"Fuuma, Eiki",https://myanimelist.net/character/215809/Eiki_Fuuma,215809,Supporting,1
34566,Boruto: Naruto Next Generations,https://myanimelist.net/anime/34566/Boruto__Naruto_Next_Generations,TV,Spring,2017,"Senka, Makinami",https://myanimelist.net/character/161905/Makinami_Senka,161905,Supporting,0
31580,Ajin,https://myanimelist.net/anime/31580/Ajin,TV,Winter,2016,Kaito,https://myanimelist.net/character/108553/Kaito,108553,Supporting,407
28891,Haikyuu!! Second Season,https://myanimelist.net/anime/28891/Haikyuu_Second_Season,TV,Fall,2015,"Futakuchi, Kenji",https://myanimelist.net/character/77415/Kenji_Futakuchi,77415,Supporting,46
30503,Noragami Aragoto,https://myanimelist.net/anime/30503/Noragami_Aragoto,TV,Fall,2015,Yukine,https://myanimelist.net/character/84681/Yukine,84681,Main,4287
28805,Bakemono no Ko,https://myanimelist.net/anime/28805/Bakemono_no_Ko,Movie,,2015,Ren,https://myanimelist.net/character/120103/Ren,120103,Main,220
35541,Turning Mecard,https://myanimelist.net/anime/35541/Turning_Mecard,TV,Winter,2015,Jason,https://myanimelist.net/character/169044/Jason,169044,Main,1
21881,Sword Art Online II,https://myanimelist.net/anime/21881/Sword_Art_Online_II,TV,Summer,2014,Jun,https://myanimelist.net/character/118325/Jun,118325,Supporting,4
20583,Haikyuu!!,https://myanimelist.net/anime/20583/Haikyuu,TV,Spring,2014,"Futakuchi, Kenji",https://myanimelist.net/character/77415/Kenji_Futakuchi,77415,Supporting,46
19157,Youkai Watch,https://myanimelist.net/anime/19157/Youkai_Watch,TV,Winter,2014,"Imada, Kanchi",https://myanimelist.net/character/96251/Kanchi_Imada,96251,Supporting,3
20507,Noragami,https://myanimelist.net/anime/20507/Noragami,TV,Winter,2014,Yukine,https://myanimelist.net/character/84681/Yukine,84681,Main,4287
19951,Hunter x Hunter Movie 2: The Last Mission,https://myanimelist.net/anime/19951/Hunter_x_Hunter_Movie_2__The_Last_Mission,Movie,,2013,Zushi,https://myanimelist.net/character/43931/Zushi,43931,Supporting,49
11061,Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,TV,Fall,2011,Zushi,https://myanimelist.net/character/43931/Zushi,43931,Supporting,49
4835,Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,https://myanimelist.net/anime/4835/Bleach_Movie_3__Fade_to_Black_-_Kimi_no_Na_wo_Yobu,Movie,,2008,"Yamada, Hanatarou",https://myanimelist.net/character/2161/Hanatarou_Yamada,2161,Supporting,149
1735,Naruto: Shippuuden,https://myanimelist.net/anime/1735/Naruto__Shippuuden,TV,Winter,2007,Yukimaru,https://myanimelist.net/character/20621/Yukimaru,20621,Supporting,9
269,Bleach,https://myanimelist.net/anime/269/Bleach,TV,Fall,2004,"Yamada, Hanatarou",https://myanimelist.net/character/2161/Hanatarou_Yamada,2161,Supporting,149
512,Majo no Takkyuubin,https://myanimelist.net/anime/512/Majo_no_Takkyuubin,Movie,,1989,"Kopoli, Tombo",https://myanimelist.net/character/11282/Tombo_Kopoli,11282,Supporting,39
