ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
57152,Mahoutsukai no Yakusoku,https://myanimelist.net/anime/57152/Mahoutsukai_no_Yakusoku,TV,Winter,2025,"Ram, Lennox",https://myanimelist.net/character/208640/Lennox_Ram,208640,Main,0
51180,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,https://myanimelist.net/anime/51180/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e_3rd_Season,TV,Winter,2024,"Ishizaki, Daichi",https://myanimelist.net/character/153505/Daichi_Ishizaki,153505,Supporting,5
55125,Ensemble Stars!! Tsuioku Selection Crossroad,https://myanimelist.net/anime/55125/Ensemble_Stars_Tsuioku_Selection_Crossroad,ONA,,2023,"Morisawa, Chiaki",https://myanimelist.net/character/137184/Chiaki_Morisawa,137184,Supporting,145
51368,Orient: Awajishima Gekitou-hen,https://myanimelist.net/anime/51368/Orient__Awajishima_Gekitou-hen,TV,Summer,2022,"Shimazu, Fuyuie",https://myanimelist.net/character/215501/Fuyuie_Shimazu,215501,Supporting,0
51096,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,https://myanimelist.net/anime/51096/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e_2nd_Season,TV,Summer,2022,"Ishizaki, Daichi",https://myanimelist.net/character/153505/Daichi_Ishizaki,153505,Supporting,5
47159,Tensai Ouji no Akaji Kokka Saisei Jutsu,https://myanimelist.net/anime/47159/Tensai_Ouji_no_Akaji_Kokka_Saisei_Jutsu,TV,Winter,2022,Angrill,https://myanimelist.net/character/206417/Angrill,206417,Supporting,0
48566,Suisei Halation,https://myanimelist.net/anime/48566/Suisei_Halation,Music,,2020,"Morisawa, Chiaki",https://myanimelist.net/character/137184/Chiaki_Morisawa,137184,Main,145
40272,A3! Season Autumn & Winter,https://myanimelist.net/anime/40272/A3_Season_Autumn___Winter,TV,Fall,2020,"Furuichi, Sakyou",https://myanimelist.net/character/175346/Sakyou_Furuichi,175346,Main,53
40359,Ikebukuro West Gate Park,https://myanimelist.net/anime/40359/Ikebukuro_West_Gate_Park,TV,Fall,2020,ToDoBaShi Destroyer Z4,https://myanimelist.net/character/244946/ToDoBaShi_Destroyer_Z4,244946,Supporting,0
48557,Super Nova Revolu5tar,https://myanimelist.net/anime/48557/Super_Nova_Revolu5tar,Music,,2020,"Morisawa, Chiaki",https://myanimelist.net/character/137184/Chiaki_Morisawa,137184,Main,145
48565,Unlimited☆Power!!!!!,https://myanimelist.net/anime/48565/Unlimited☆Power,Music,,2020,"Morisawa, Chiaki",https://myanimelist.net/character/137184/Chiaki_Morisawa,137184,Main,145
39184,A3! Season Spring & Summer,https://myanimelist.net/anime/39184/A3_Season_Spring___Summer,TV,Winter,2020,"Furuichi, Sakyou",https://myanimelist.net/character/175346/Sakyou_Furuichi,175346,Supporting,53
32212,Ensemble Stars!,https://myanimelist.net/anime/32212/Ensemble_Stars,TV,Summer,2019,"Morisawa, Chiaki",https://myanimelist.net/character/137184/Chiaki_Morisawa,137184,Supporting,145
35507,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,https://myanimelist.net/anime/35507/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e,TV,Summer,2017,"Ishizaki, Daichi",https://myanimelist.net/character/153505/Daichi_Ishizaki,153505,Supporting,5
235,Meitantei Conan,https://myanimelist.net/anime/235/Meitantei_Conan,TV,Winter,1996,Café Zoo-Too's Moderator,https://myanimelist.net/character/230896/Café_Zoo-Too_039_s_Moderator,230896,Supporting,0
