ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
54789,Boku no Hero Academia 7th Season,https://myanimelist.net/anime/54789/Boku_no_Hero_Academia_7th_Season,TV,Spring,2024,"Tsukauchi, Naomasa",https://myanimelist.net/character/142021/Naomasa_Tsukauchi,142021,Supporting,10
52991,Sousou no Frieren,https://myanimelist.net/anime/52991/Sousou_no_Frieren,TV,Fall,2023,Elder,https://myanimelist.net/character/252054/Elder,252054,Supporting,1
49918,Boku no Hero Academia 6th Season,https://myanimelist.net/anime/49918/Boku_no_Hero_Academia_6th_Season,TV,Fall,2022,"Tsukauchi, Naomasa",https://myanimelist.net/character/142021/Naomasa_Tsukauchi,142021,Supporting,10
49220,Isekai Ojisan,https://myanimelist.net/anime/49220/Isekai_Ojisan,TV,Summer,2022,Ojisan,https://myanimelist.net/character/206609/Ojisan,206609,Main,477
49930,Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2,https://myanimelist.net/anime/49930/Genjitsu_Shugi_Yuusha_no_Oukoku_Saikenki_Part_2,TV,Winter,2022,"Elfrieden, Albert",https://myanimelist.net/character/191823/Albert_Elfrieden,191823,Supporting,1
41710,Genjitsu Shugi Yuusha no Oukoku Saikenki,https://myanimelist.net/anime/41710/Genjitsu_Shugi_Yuusha_no_Oukoku_Saikenki,TV,Summer,2021,"Elfrieden, Albert",https://myanimelist.net/character/191823/Albert_Elfrieden,191823,Supporting,1
41587,Boku no Hero Academia 5th Season,https://myanimelist.net/anime/41587/Boku_no_Hero_Academia_5th_Season,TV,Spring,2021,"Tsukauchi, Naomasa",https://myanimelist.net/character/142021/Naomasa_Tsukauchi,142021,Supporting,10
38408,Boku no Hero Academia 4th Season,https://myanimelist.net/anime/38408/Boku_no_Hero_Academia_4th_Season,TV,Fall,2019,"Tsukauchi, Naomasa",https://myanimelist.net/character/142021/Naomasa_Tsukauchi,142021,Supporting,10
37510,Mob Psycho 100 II,https://myanimelist.net/anime/37510/Mob_Psycho_100_II,TV,Winter,2019,Ishihara,https://myanimelist.net/character/192437/Ishihara,192437,Supporting,0
36456,Boku no Hero Academia 3rd Season,https://myanimelist.net/anime/36456/Boku_no_Hero_Academia_3rd_Season,TV,Spring,2018,"Tsukauchi, Naomasa",https://myanimelist.net/character/142021/Naomasa_Tsukauchi,142021,Supporting,10
33486,Boku no Hero Academia 2nd Season,https://myanimelist.net/anime/33486/Boku_no_Hero_Academia_2nd_Season,TV,Spring,2017,"Tsukauchi, Naomasa",https://myanimelist.net/character/142021/Naomasa_Tsukauchi,142021,Supporting,10
31741,Magi: Sinbad no Bouken (TV),https://myanimelist.net/anime/31741/Magi__Sinbad_no_Bouken_TV,TV,Spring,2016,Barbarossa,https://myanimelist.net/character/131945/Barbarossa,131945,Supporting,3
31964,Boku no Hero Academia,https://myanimelist.net/anime/31964/Boku_no_Hero_Academia,TV,Spring,2016,"Tsukauchi, Naomasa",https://myanimelist.net/character/142021/Naomasa_Tsukauchi,142021,Supporting,10
6171,Saint Seiya: The Lost Canvas - Meiou Shinwa,https://myanimelist.net/anime/6171/Saint_Seiya__The_Lost_Canvas_-_Meiou_Shinwa,OVA,,2009,"Bennu, Kagaho",https://myanimelist.net/character/23564/Kagaho_Bennu,23564,Supporting,42
1253,Saint Seiya: Meiou Hades Meikai-hen,https://myanimelist.net/anime/1253/Saint_Seiya__Meiou_Hades_Meikai-hen,OVA,,2005,"Skeleton, Markino",https://myanimelist.net/character/205416/Markino_Skeleton,205416,Supporting,0
109,Bakuretsu Tenshi,https://myanimelist.net/anime/109/Bakuretsu_Tenshi,TV,Spring,2004,"Tachibana, Kyouhei",https://myanimelist.net/character/770/Kyouhei_Tachibana,770,Main,4
1564,Pokemon Advanced Generation,https://myanimelist.net/anime/1564/Pokemon_Advanced_Generation,TV,Fall,2002,President Tamaranze,https://myanimelist.net/character/54337/President_Tamaranze,54337,Supporting,1
1564,Pokemon Advanced Generation,https://myanimelist.net/anime/1564/Pokemon_Advanced_Generation,TV,Fall,2002,Pop-Pop,https://myanimelist.net/character/249930/Pop-Pop,249930,Supporting,0
20,Naruto,https://myanimelist.net/anime/20/Naruto,TV,Fall,2002,Kagari,https://myanimelist.net/character/23056/Kagari,23056,Supporting,0
20,Naruto,https://myanimelist.net/anime/20/Naruto,TV,Fall,2002,"Tsurugi, Misumi",https://myanimelist.net/character/22921/Misumi_Tsurugi,22921,Supporting,1
