ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
58883,Dead Dead Demons Dededede Destruction (ONA),https://myanimelist.net/anime/58883/Dead_Dead_Demons_Dededede_Destruction_ONA,ONA,,2024,"Koyama, Manami",https://myanimelist.net/character/119225/Manami_Koyama,119225,Supporting,0
28977,Gintama°,https://myanimelist.net/anime/28977/Gintama°,TV,Spring,2015,"Kijima, Matako",https://myanimelist.net/character/2949/Matako_Kijima,2949,Supporting,14
6811,InuYasha: Kanketsu-hen,https://myanimelist.net/anime/6811/InuYasha__Kanketsu-hen,TV,Fall,2009,Spirit of Mount Azusa,https://myanimelist.net/character/262287/Spirit_of_Mount_Azusa,262287,Supporting,0
2994,Death Note: Rewrite,https://myanimelist.net/anime/2994/Death_Note__Rewrite,TV Special,,2007,"Kenwood, Mary",https://myanimelist.net/character/1933/Mary_Kenwood,1933,Supporting,18
1535,Death Note,https://myanimelist.net/anime/1535/Death_Note,TV,Fall,2006,"Aizawa, Eriko",https://myanimelist.net/character/84531/Eriko_Aizawa,84531,Supporting,0
1535,Death Note,https://myanimelist.net/anime/1535/Death_Note,TV,Fall,2006,"Kenwood, Mary",https://myanimelist.net/character/1933/Mary_Kenwood,1933,Supporting,18
2294,Kidou Senshi Gundam SEED Destiny Special Edition,https://myanimelist.net/anime/2294/Kidou_Senshi_Gundam_SEED_Destiny_Special_Edition,TV Special,,2006,"Gladys, Talia",https://myanimelist.net/character/1270/Talia_Gladys,1270,Supporting,0
1241,Kidou Senshi Gundam SEED Destiny Final Plus: Erabareta Mirai,https://myanimelist.net/anime/1241/Kidou_Senshi_Gundam_SEED_Destiny_Final_Plus__Erabareta_Mirai,OVA,,2005,"Gladys, Talia",https://myanimelist.net/character/1270/Talia_Gladys,1270,Supporting,0
94,Kidou Senshi Gundam SEED Destiny,https://myanimelist.net/anime/94/Kidou_Senshi_Gundam_SEED_Destiny,TV,Fall,2004,"Gladys, Talia",https://myanimelist.net/character/1270/Talia_Gladys,1270,Supporting,0
653,Galaxy Angel 3,https://myanimelist.net/anime/653/Galaxy_Angel_3,TV,Fall,2002,Rebecca,https://myanimelist.net/character/263197/Rebecca,263197,Supporting,0
653,Galaxy Angel 3,https://myanimelist.net/anime/653/Galaxy_Angel_3,TV,Fall,2002,Soichiro's Mother,https://myanimelist.net/character/263191/Soichiro_039_s_Mother,263191,Supporting,0
452,InuYasha Movie 1: Toki wo Koeru Omoi,https://myanimelist.net/anime/452/InuYasha_Movie_1__Toki_wo_Koeru_Omoi,Movie,,2001,Ruri,https://myanimelist.net/character/108149/Ruri,108149,Supporting,0
1493,Project ARMS: The 2nd Chapter,https://myanimelist.net/anime/1493/Project_ARMS__The_2nd_Chapter,TV,Fall,2001,"Akagi, Katsumi",https://myanimelist.net/character/22318/Katsumi_Akagi,22318,Main,2
1492,Project ARMS,https://myanimelist.net/anime/1492/Project_ARMS,TV,Spring,2001,"Akagi, Katsumi",https://myanimelist.net/character/22318/Katsumi_Akagi,22318,Main,2
1005,Star Ocean EX,https://myanimelist.net/anime/1005/Star_Ocean_EX,TV,Spring,2001,"Jules, Celine",https://myanimelist.net/character/1825/Celine_Jules,1825,Main,0
393,Escaflowne,https://myanimelist.net/anime/393/Escaflowne,Movie,,2000,"Sara Aston, Millerna",https://myanimelist.net/character/6160/Millerna_Sara_Aston,6160,Supporting,1
