ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
56701,Watashi no Shiawase na Kekkon 2nd Season,https://myanimelist.net/anime/56701/Watashi_no_Shiawase_na_Kekkon_2nd_Season,TV,Winter,2025,"Saimori, Miyo",https://myanimelist.net/character/193330/Miyo_Saimori,193330,Main,480
57334,Dandadan,https://myanimelist.net/anime/57334/Dandadan,TV,Fall,2024,"Ayase, Momo",https://myanimelist.net/character/196898/Momo_Ayase,196898,Main,3365
52196,Date A Live V,https://myanimelist.net/anime/52196/Date_A_Live_V,TV,Spring,2024,"Honjou, Nia",https://myanimelist.net/character/135068/Nia_Honjou,135068,Supporting,91
53865,Yozakura-san Chi no Daisakusen,https://myanimelist.net/anime/53865/Yozakura-san_Chi_no_Daisakusen,TV,Spring,2024,"Kirisaki, Ayaka",https://myanimelist.net/character/178736/Ayaka_Kirisaki,178736,Supporting,3
55889,Watashi no Shiawase na Kekkon: Watashi no Shiawase na Katachi,https://myanimelist.net/anime/55889/Watashi_no_Shiawase_na_Kekkon__Watashi_no_Shiawase_na_Katachi,OVA,,2024,"Saimori, Miyo",https://myanimelist.net/character/193330/Miyo_Saimori,193330,Main,480
56285,Ninja Kamui,https://myanimelist.net/anime/56285/Ninja_Kamui,TV,Winter,2024,"Samanda, Emma",https://myanimelist.net/character/243027/Emma_Samanda,243027,Supporting,7
54265,Kekkon Yubiwa Monogatari,https://myanimelist.net/anime/54265/Kekkon_Yubiwa_Monogatari,TV,Winter,2024,"Idanokan, Amber",https://myanimelist.net/character/151539/Amber_Idanokan,151539,Main,12
51552,Watashi no Shiawase na Kekkon,https://myanimelist.net/anime/51552/Watashi_no_Shiawase_na_Kekkon,TV,Summer,2023,"Saimori, Miyo",https://myanimelist.net/character/193330/Miyo_Saimori,193330,Main,480
49164,Make My Day,https://myanimelist.net/anime/49164/Make_My_Day,ONA,,2023,Marnie,https://myanimelist.net/character/218179/Marnie,218179,Main,0
52031,Itou Junji: Maniac,https://myanimelist.net/anime/52031/Itou_Junji__Maniac,ONA,,2023,Kuriko,https://myanimelist.net/character/175651/Kuriko,175651,Main,1
52031,Itou Junji: Maniac,https://myanimelist.net/anime/52031/Itou_Junji__Maniac,ONA,,2023,"Tsujii, Sayuri",https://myanimelist.net/character/158506/Sayuri_Tsujii,158506,Supporting,0
52031,Itou Junji: Maniac,https://myanimelist.net/anime/52031/Itou_Junji__Maniac,ONA,,2023,Mie,https://myanimelist.net/character/220408/Mie,220408,Supporting,0
53149,Oemojisangjuui,https://myanimelist.net/anime/53149/Oemojisangjuui,ONA,,2022,"Kim, Mi Jin",https://myanimelist.net/character/165639/Mi_Jin_Kim,165639,Supporting,4
49052,Ao Ashi,https://myanimelist.net/anime/49052/Ao_Ashi,TV,Spring,2022,"Kaneko, Aoi",https://myanimelist.net/character/207115/Aoi_Kaneko,207115,Supporting,0
50631,"Komi-san wa, Comyushou desu. 2nd Season",https://myanimelist.net/anime/50631/Komi-san_wa_Comyushou_desu_2nd_Season,TV,Spring,2022,"Tadano, Hitomi",https://myanimelist.net/character/154020/Hitomi_Tadano,154020,Supporting,64
50631,"Komi-san wa, Comyushou desu. 2nd Season",https://myanimelist.net/anime/50631/Komi-san_wa_Comyushou_desu_2nd_Season,TV,Spring,2022,"Komi, Akira",https://myanimelist.net/character/189648/Akira_Komi,189648,Supporting,5
50631,"Komi-san wa, Comyushou desu. 2nd Season",https://myanimelist.net/anime/50631/Komi-san_wa_Comyushou_desu_2nd_Season,TV,Spring,2022,"Satou, Amami",https://myanimelist.net/character/189616/Amami_Satou,189616,Supporting,4
48926,"Komi-san wa, Comyushou desu.",https://myanimelist.net/anime/48926/Komi-san_wa_Comyushou_desu,TV,Fall,2021,"Komi, Akira",https://myanimelist.net/character/189648/Akira_Komi,189648,Supporting,5
48569,86 Part 2,https://myanimelist.net/anime/48569/86_Part_2,TV,Fall,2021,"Milizé, Vladilena",https://myanimelist.net/character/150824/Vladilena_Milizé,150824,Main,12326
49409,Bai She II: Qing She Jie Qi,https://myanimelist.net/anime/49409/Bai_She_II__Qing_She_Jie_Qi,Movie,,2021,Xiao Bai,https://myanimelist.net/character/180396/Xiao_Bai,180396,Supporting,1
41457,86,https://myanimelist.net/anime/41457/86,TV,Spring,2021,"Milizé, Vladilena",https://myanimelist.net/character/150824/Vladilena_Milizé,150824,Main,12326
42192,Edens Zero,https://myanimelist.net/anime/42192/Edens_Zero,TV,Spring,2021,"Bluegarden, Rebecca",https://myanimelist.net/character/163902/Rebecca_Bluegarden,163902,Main,256
44061,Xin Shen Bang: Nezha Chongsheng,https://myanimelist.net/anime/44061/Xin_Shen_Bang__Nezha_Chongsheng,Movie,,2021,"Su, Junzhu",https://myanimelist.net/character/221680/Junzhu_Su,221680,Supporting,1
41468,Burn the Witch,https://myanimelist.net/anime/41468/Burn_the_Witch,ONA,,2020,"Baljure, Macy",https://myanimelist.net/character/187145/Macy_Baljure,187145,Supporting,5
40060,BNA,https://myanimelist.net/anime/40060/BNA,TV,Spring,2020,"Hiwatashi, Nazuna",https://myanimelist.net/character/176443/Nazuna_Hiwatashi,176443,Supporting,123
40602,7 Seeds 2nd Season,https://myanimelist.net/anime/40602/7_Seeds_2nd_Season,ONA,,2020,"Shikano, Kurumi",https://myanimelist.net/character/140001/Kurumi_Shikano,140001,Supporting,1
40351,Pokemon (2019),https://myanimelist.net/anime/40351/Pokemon_2019,TV,Fall,2019,Mao,https://myanimelist.net/character/144898/Mao,144898,Supporting,70
38735,7 Seeds,https://myanimelist.net/anime/38735/7_Seeds,ONA,,2019,"Shikano, Kurumi",https://myanimelist.net/character/140001/Kurumi_Shikano,140001,Supporting,1
37086,Kakegurui××,https://myanimelist.net/anime/37086/Kakegurui××,TV,Winter,2019,"Mushibami, Erimi",https://myanimelist.net/character/147014/Erimi_Mushibami,147014,Supporting,17
37027,Love Live! Sunshine!! The School Idol Movie: Over the Rainbow,https://myanimelist.net/anime/37027/Love_Live_Sunshine_The_School_Idol_Movie__Over_the_Rainbow,Movie,,2019,"Kazuno, Leah",https://myanimelist.net/character/143549/Leah_Kazuno,143549,Main,51
37202,Radiant,https://myanimelist.net/anime/37202/Radiant,TV,Fall,2018,Hameline,https://myanimelist.net/character/174928/Hameline,174928,Supporting,66
34577,Nanatsu no Taizai: Imashime no Fukkatsu,https://myanimelist.net/anime/34577/Nanatsu_no_Taizai__Imashime_no_Fukkatsu,TV,Winter,2018,Liz,https://myanimelist.net/character/95959/Liz,95959,Supporting,32
35823,Demi-chan wa Kataritai: Demi-chan no Natsuyasumi,https://myanimelist.net/anime/35823/Demi-chan_wa_Kataritai__Demi-chan_no_Natsuyasumi,ONA,,2017,"Takanashi, Hikari",https://myanimelist.net/character/144273/Hikari_Takanashi,144273,Main,767
33489,Little Witch Academia (TV),https://myanimelist.net/anime/33489/Little_Witch_Academia_TV,TV,Winter,2017,"England, Hannah",https://myanimelist.net/character/81867/Hannah_England,81867,Supporting,8
