ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
20873,Hana no Zundamaru,https://myanimelist.net/anime/20873/Hana_no_Zundamaru,ONA,,2013,Sayuri,https://myanimelist.net/character/93537/Sayuri,93537,Supporting,0
20873,Hana no Zundamaru,https://myanimelist.net/anime/20873/Hana_no_Zundamaru,ONA,,2013,Kemeko,https://myanimelist.net/character/93535/Kemeko,93535,Supporting,0
13159,Kuromajo-san ga Tooru!!,https://myanimelist.net/anime/13159/Kuromajo-san_ga_Tooru,TV,Spring,2012,"Shion, Megu",https://myanimelist.net/character/60259/Megu_Shion,60259,Supporting,0
6117,Gokujou!! Mecha Mote Iinchou,https://myanimelist.net/anime/6117/Gokujou_Mecha_Mote_Iinchou,TV,Spring,2009,"Toda, Nanoka",https://myanimelist.net/character/25989/Nanoka_Toda,25989,Supporting,0
2105,Touka Gettan,https://myanimelist.net/anime/2105/Touka_Gettan,TV,Spring,2007,Hibari,https://myanimelist.net/character/39219/Hibari,39219,Supporting,1
1556,Kikoushi Enma,https://myanimelist.net/anime/1556/Kikoushi_Enma,OVA,,2006,Sat-chan,https://myanimelist.net/character/180184/Sat-chan,180184,Supporting,0
1070,Love Get Chu,https://myanimelist.net/anime/1070/Love_Get_Chu,TV,Spring,2006,"Oohara, Amane",https://myanimelist.net/character/3559/Amane_Oohara,3559,Main,0
846,School Rumble Ni Gakki,https://myanimelist.net/anime/846/School_Rumble_Ni_Gakki,TV,Spring,2006,Saeko,https://myanimelist.net/character/17183/Saeko,17183,Supporting,0
846,School Rumble Ni Gakki,https://myanimelist.net/anime/846/School_Rumble_Ni_Gakki,TV,Spring,2006,"Tonami, Junko",https://myanimelist.net/character/22487/Junko_Tonami,22487,Supporting,1
837,Kyou no 5 no 2,https://myanimelist.net/anime/837/Kyou_no_5_no_2,OVA,,2006,"Hirakawa, Natsumi",https://myanimelist.net/character/1551/Natsumi_Hirakawa,1551,Supporting,4
3112,Papillon Rose,https://myanimelist.net/anime/3112/Papillon_Rose,TV,Winter,2006,Tsubomi,https://myanimelist.net/character/57705/Tsubomi,57705,Main,0
503,Eien no Aselia,https://myanimelist.net/anime/503/Eien_no_Aselia,OVA,,2005,"Dai Rakios, Lestiina",https://myanimelist.net/character/28243/Lestiina_Dai_Rakios,28243,Main,1
376,"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer",https://myanimelist.net/anime/376/Elfen_Lied__Tooriame_nite_Arui_wa_Shoujo_wa_Ikani_Shite_Sono_Shinjou_ni_Itatta_ka_-_Regenschauer,Special,,2005,"Takada, Aiko",https://myanimelist.net/character/72913/Aiko_Takada,72913,Supporting,1
24,School Rumble,https://myanimelist.net/anime/24/School_Rumble,TV,Fall,2004,"Tonami, Junko",https://myanimelist.net/character/22487/Junko_Tonami,22487,Supporting,1
226,Elfen Lied,https://myanimelist.net/anime/226/Elfen_Lied,TV,Summer,2004,Kanae,https://myanimelist.net/character/2326/Kanae,2326,Supporting,15
