ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
55866,Yubisaki to Renren,https://myanimelist.net/anime/55866/Yubisaki_to_Renren,TV,Winter,2024,"Yoshiki, Izumi",https://myanimelist.net/character/242369/Izumi_Yoshiki,242369,Supporting,1
51716,Bishoujo Senshi Sailor Moon Cosmos Movie,https://myanimelist.net/anime/51716/Bishoujo_Senshi_Sailor_Moon_Cosmos_Movie,Movie,,2023,Sailor Heavy Metal Papillon,https://myanimelist.net/character/12422/Sailor_Heavy_Metal_Papillon,12422,Supporting,2
49784,Mairimashita! Iruma-kun 3rd Season,https://myanimelist.net/anime/49784/Mairimashita_Iruma-kun_3rd_Season,TV,Fall,2022,"Azazel, Amelie",https://myanimelist.net/character/154518/Amelie_Azazel,154518,Supporting,1802
48895,Overlord IV,https://myanimelist.net/anime/48895/Overlord_IV,TV,Summer,2022,Tina,https://myanimelist.net/character/159249/Tina,159249,Supporting,1
47194,Summertime Render,https://myanimelist.net/anime/47194/Summertime_Render,TV,Spring,2022,"Hishigata, Chitose",https://myanimelist.net/character/218401/Chitose_Hishigata,218401,Supporting,0
41402,Mairimashita! Iruma-kun 2nd Season,https://myanimelist.net/anime/41402/Mairimashita_Iruma-kun_2nd_Season,TV,Spring,2021,"Azazel, Amelie",https://myanimelist.net/character/154518/Amelie_Azazel,154518,Supporting,1802
40542,Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,https://myanimelist.net/anime/40542/Saiki_Kusuo_no_Ψ-nan__Ψ-shidou-hen,ONA,,2019,"Shima, Kyouka",https://myanimelist.net/character/149989/Kyouka_Shima,149989,Supporting,0
39196,Mairimashita! Iruma-kun,https://myanimelist.net/anime/39196/Mairimashita_Iruma-kun,TV,Fall,2019,"Azazel, Amelie",https://myanimelist.net/character/154518/Amelie_Azazel,154518,Supporting,1802
35760,Shingeki no Kyojin Season 3,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3,TV,Summer,2018,"Caven, Traute",https://myanimelist.net/character/163038/Traute_Caven,163038,Supporting,1
37675,Overlord III,https://myanimelist.net/anime/37675/Overlord_III,TV,Summer,2018,Tina,https://myanimelist.net/character/159249/Tina,159249,Supporting,1
35073,Overlord II,https://myanimelist.net/anime/35073/Overlord_II,TV,Winter,2018,Tina,https://myanimelist.net/character/159249/Tina,159249,Supporting,1
34566,Boruto: Naruto Next Generations,https://myanimelist.net/anime/34566/Boruto__Naruto_Next_Generations,TV,Spring,2017,Tagorihime,https://myanimelist.net/character/173393/Tagorihime,173393,Supporting,0
11061,Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,TV,Fall,2011,"Freecss, Mito",https://myanimelist.net/character/20678/Mito_Freecss,20678,Supporting,34
2596,Shinreigari,https://myanimelist.net/anime/2596/Shinreigari,TV,Fall,2007,"Yakushi, Kei",https://myanimelist.net/character/9825/Kei_Yakushi,9825,Supporting,1
2144,Naruto Movie 3: Dai Koufun! Mikazuki Jima no Animaru Panic Dattebayo!,https://myanimelist.net/anime/2144/Naruto_Movie_3__Dai_Koufun_Mikazuki_Jima_no_Animaru_Panic_Dattebayo,Movie,,2006,Amayo,https://myanimelist.net/character/92649/Amayo,92649,Supporting,0
269,Bleach,https://myanimelist.net/anime/269/Bleach,TV,Fall,2004,"Tristan, Jackie",https://myanimelist.net/character/41563/Jackie_Tristan,41563,Supporting,5
269,Bleach,https://myanimelist.net/anime/269/Bleach,TV,Fall,2004,Unnamed Female Arrancar,https://myanimelist.net/character/211286/Unnamed_Female_Arrancar,211286,Supporting,1
21,One Piece,https://myanimelist.net/anime/21/One_Piece,TV,Fall,1999,Monet,https://myanimelist.net/character/59641/Monet,59641,Supporting,127
