ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
60159,Love Live! Nijigasaki Gakuen School Idol Doukoukai: Kanketsu-hen Part 2,https://myanimelist.net/anime/60159/Love_Live_Nijigasaki_Gakuen_School_Idol_Doukoukai__Kanketsu-hen_Part_2,Movie,,2025,"Yuuki, Setsuna",https://myanimelist.net/character/176608/Setsuna_Yuuki,176608,Main,710
59898,City The Animation,https://myanimelist.net/anime/59898/City_The_Animation,TV,Summer,2025,"Adatara, Kamome",https://myanimelist.net/character/268590/Kamome_Adatara,268590,Supporting,0
56653,BanG Dream! Ave Mujica,https://myanimelist.net/anime/56653/BanG_Dream_Ave_Mujica,TV,Winter,2025,"Shiina, Taki",https://myanimelist.net/character/227735/Taki_Shiina,227735,Supporting,53
57559,MF Ghost 2nd Season,https://myanimelist.net/anime/57559/MF_Ghost_2nd_Season,TV,Fall,2024,"Satou, Mami",https://myanimelist.net/character/223046/Mami_Satou,223046,Supporting,0
57754,BanG Dream! It's MyGO!!!!! Movie,https://myanimelist.net/anime/57754/BanG_Dream_Its_MyGO_Movie,Movie,,2024,"Shiina, Taki",https://myanimelist.net/character/227735/Taki_Shiina,227735,Main,53
55748,Love Live! Nijigasaki Gakuen School Idol Doukoukai: Kanketsu-hen,https://myanimelist.net/anime/55748/Love_Live_Nijigasaki_Gakuen_School_Idol_Doukoukai__Kanketsu-hen,Movie,,2024,"Yuuki, Setsuna",https://myanimelist.net/character/176608/Setsuna_Yuuki,176608,Main,710
58623,Nijiyon Animation 2 Specials,https://myanimelist.net/anime/58623/Nijiyon_Animation_2_Specials,Special,,2024,"Yuuki, Setsuna",https://myanimelist.net/character/176608/Setsuna_Yuuki,176608,Main,710
57623,Nijiyon Animation 2,https://myanimelist.net/anime/57623/Nijiyon_Animation_2,TV,Spring,2024,"Yuuki, Setsuna",https://myanimelist.net/character/176608/Setsuna_Yuuki,176608,Main,710
54837,Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen,https://myanimelist.net/anime/54837/Akuyaku_Reijou_Level_99__Watashi_wa_Ura-Boss_desu_ga_Maou_dewa_Arimasen,TV,Winter,2024,Sara,https://myanimelist.net/character/245459/Sara,245459,Supporting,1
50695,MF Ghost,https://myanimelist.net/anime/50695/MF_Ghost,TV,Fall,2023,"Satou, Mami",https://myanimelist.net/character/223046/Mami_Satou,223046,Supporting,0
55651,Tonikaku Kawaii: Joshikou-hen,https://myanimelist.net/anime/55651/Tonikaku_Kawaii__Joshikou-hen,ONA,,2023,"Miyako, Haru",https://myanimelist.net/character/189408/Haru_Miyako,189408,Supporting,3
54959,BanG Dream! It's MyGO!!!!!,https://myanimelist.net/anime/54959/BanG_Dream_Its_MyGO,TV,Summer,2023,"Shiina, Taki",https://myanimelist.net/character/227735/Taki_Shiina,227735,Main,53
53671,Love Live! Nijigasaki Gakuen School Idol Doukoukai: Next Sky,https://myanimelist.net/anime/53671/Love_Live_Nijigasaki_Gakuen_School_Idol_Doukoukai__Next_Sky,OVA,,2023,"Yuuki, Setsuna",https://myanimelist.net/character/176608/Setsuna_Yuuki,176608,Main,710
53698,World Dai Star,https://myanimelist.net/anime/53698/World_Dai_Star,TV,Spring,2023,"Kamiyashiki, Ikuko",https://myanimelist.net/character/229503/Ikuko_Kamiyashiki,229503,Supporting,0
56903,MyGO!!!!! Member no Nichijou,https://myanimelist.net/anime/56903/MyGO_Member_no_Nichijou,ONA,,2022,"Shiina, Taki",https://myanimelist.net/character/227735/Taki_Shiina,227735,Main,53
39617,Yakusoku no Neverland 2nd Season,https://myanimelist.net/anime/39617/Yakusoku_no_Neverland_2nd_Season,TV,Winter,2021,Rossi,https://myanimelist.net/character/169775/Rossi,169775,Supporting,9
40880,Kiratto Pri☆chan Season 3,https://myanimelist.net/anime/40880/Kiratto_Pri☆chan_Season_3,TV,Spring,2020,"Momoyama, Mirai",https://myanimelist.net/character/161094/Mirai_Momoyama,161094,Main,19
38804,Kiratto Pri☆chan Season 2,https://myanimelist.net/anime/38804/Kiratto_Pri☆chan_Season_2,TV,Spring,2019,"Momoyama, Mirai",https://myanimelist.net/character/161094/Mirai_Momoyama,161094,Main,19
37779,Yakusoku no Neverland,https://myanimelist.net/anime/37779/Yakusoku_no_Neverland,TV,Winter,2019,Rossi,https://myanimelist.net/character/169775/Rossi,169775,Supporting,9
37779,Yakusoku no Neverland,https://myanimelist.net/anime/37779/Yakusoku_no_Neverland,TV,Winter,2019,Eugene,https://myanimelist.net/character/169624/Eugene,169624,Supporting,1
37779,Yakusoku no Neverland,https://myanimelist.net/anime/37779/Yakusoku_no_Neverland,TV,Winter,2019,Damdin,https://myanimelist.net/character/253896/Damdin,253896,Supporting,0
37178,Kiratto Pri☆chan,https://myanimelist.net/anime/37178/Kiratto_Pri☆chan,TV,Spring,2018,"Momoyama, Mirai",https://myanimelist.net/character/161094/Mirai_Momoyama,161094,Main,19
34522,"Wake Up, Girls! Shin Shou",https://myanimelist.net/anime/34522/Wake_Up_Girls_Shin_Shou,TV,Fall,2017,"Hayashi, Ayumi",https://myanimelist.net/character/153306/Ayumi_Hayashi,153306,Main,1
