ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
57380,Isekai Yururi Kikou: Kosodateshinagara Boukensha Shimasu,https://myanimelist.net/anime/57380/Isekai_Yururi_Kikou__Kosodateshinagara_Boukensha_Shimasu,TV,Summer,2024,Ryan,https://myanimelist.net/character/255496/Ryan,255496,Supporting,0
55791,[Oshi no Ko] 2nd Season,https://myanimelist.net/anime/55791/Oshi_no_Ko_2nd_Season,TV,Summer,2024,"Funato, Ryouma",https://myanimelist.net/character/252092/Ryouma_Funato,252092,Supporting,0
59049,Maarui Kanojo to Zannen na Kareshi,https://myanimelist.net/anime/59049/Maarui_Kanojo_to_Zannen_na_Kareshi,TV,Summer,2024,"Makishima, Kouhei",https://myanimelist.net/character/251284/Kouhei_Makishima,251284,Supporting,0
53050,"Kanojo, Okarishimasu 3rd Season",https://myanimelist.net/anime/53050/Kanojo_Okarishimasu_3rd_Season,TV,Summer,2023,"Shimizu, Teppei",https://myanimelist.net/character/189402/Teppei_Shimizu,189402,Supporting,0
53127,Fate/strange Fake: Whispers of Dawn,https://myanimelist.net/anime/53127/Fate_strange_Fake__Whispers_of_Dawn,TV Special,,2023,Magus,https://myanimelist.net/character/231893/Magus,231893,Supporting,0
52229,Birdie Wing: Golf Girls' Story Season 2,https://myanimelist.net/anime/52229/Birdie_Wing__Golf_Girls_Story_Season_2,TV,Spring,2023,"Kutsugi, Makoto",https://myanimelist.net/character/229993/Makoto_Kutsugi,229993,Supporting,0
53393,Tengoku Daimakyou,https://myanimelist.net/anime/53393/Tengoku_Daimakyou,TV,Spring,2023,Kusakabe,https://myanimelist.net/character/227674/Kusakabe,227674,Supporting,0
52736,Tensei Oujo to Tensai Reijou no Mahou Kakumei,https://myanimelist.net/anime/52736/Tensei_Oujo_to_Tensai_Reijou_no_Mahou_Kakumei,TV,Winter,2023,Count Chartreuse,https://myanimelist.net/character/223876/Count_Chartreuse,223876,Supporting,0
49438,Isekai Yakkyoku,https://myanimelist.net/anime/49438/Isekai_Yakkyoku,TV,Summer,2022,Craftsman,https://myanimelist.net/character/245086/Craftsman,245086,Supporting,0
50248,Birdie Wing: Golf Girls' Story,https://myanimelist.net/anime/50248/Birdie_Wing__Golf_Girls_Story,TV,Spring,2022,"Kutsugi, Makoto",https://myanimelist.net/character/229993/Makoto_Kutsugi,229993,Supporting,0
40608,Muv-Luv Alternative,https://myanimelist.net/anime/40608/Muv-Luv_Alternative,TV,Fall,2021,"Walken, Alfred",https://myanimelist.net/character/213324/Alfred_Walken,213324,Supporting,1
42822,Kai Byoui Ramune,https://myanimelist.net/anime/42822/Kai_Byoui_Ramune,TV,Winter,2021,Mr. Miyata,https://myanimelist.net/character/263396/Mr_Miyata,263396,Supporting,0
40128,Arte,https://myanimelist.net/anime/40128/Arte,TV,Spring,2020,Ubertino's Servant,https://myanimelist.net/character/261273/Ubertino_039_s_Servant,261273,Supporting,0
38731,Diamond no Ace: Act II,https://myanimelist.net/anime/38731/Diamond_no_Ace__Act_II,TV,Spring,2019,"Oota, Kazuyoshi",https://myanimelist.net/character/126704/Kazuyoshi_Oota,126704,Supporting,2
38731,Diamond no Ace: Act II,https://myanimelist.net/anime/38731/Diamond_no_Ace__Act_II,TV,Spring,2019,"Ono, Hiroshi",https://myanimelist.net/character/105679/Hiroshi_Ono,105679,Supporting,0
37520,Dororo,https://myanimelist.net/anime/37520/Dororo,TV,Winter,2019,Jiheita,https://myanimelist.net/character/173473/Jiheita,173473,Supporting,1
34572,Black Clover,https://myanimelist.net/anime/34572/Black_Clover,TV,Fall,2017,Ronne,https://myanimelist.net/character/178693/Ronne,178693,Supporting,0
34572,Black Clover,https://myanimelist.net/anime/34572/Black_Clover,TV,Fall,2017,"Portaport, Cob",https://myanimelist.net/character/178689/Cob_Portaport,178689,Supporting,0
34572,Black Clover,https://myanimelist.net/anime/34572/Black_Clover,TV,Fall,2017,"Talis, Digito",https://myanimelist.net/character/173855/Digito_Talis,173855,Supporting,0
34572,Black Clover,https://myanimelist.net/anime/34572/Black_Clover,TV,Fall,2017,"Lugner, Xerx",https://myanimelist.net/character/169199/Xerx_Lugner,169199,Supporting,1
34572,Black Clover,https://myanimelist.net/anime/34572/Black_Clover,TV,Fall,2017,Lagus,https://myanimelist.net/character/165256/Lagus,165256,Supporting,1
34572,Black Clover,https://myanimelist.net/anime/34572/Black_Clover,TV,Fall,2017,"Chagar, Ruben ",https://myanimelist.net/character/162624/Ruben__Chagar,162624,Supporting,0
34572,Black Clover,https://myanimelist.net/anime/34572/Black_Clover,TV,Fall,2017,"Gris, Forte ",https://myanimelist.net/character/162622/Forte__Gris,162622,Supporting,1
34572,Black Clover,https://myanimelist.net/anime/34572/Black_Clover,TV,Fall,2017,"Vitesse, Rob",https://myanimelist.net/character/161833/Rob_Vitesse,161833,Supporting,0
34572,Black Clover,https://myanimelist.net/anime/34572/Black_Clover,TV,Fall,2017,Georg,https://myanimelist.net/character/160283/Georg,160283,Supporting,0
34572,Black Clover,https://myanimelist.net/anime/34572/Black_Clover,TV,Fall,2017,Mohl,https://myanimelist.net/character/259090/Mohl,259090,Supporting,0
