ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
31733,Bishoujo Senshi Sailor Moon Crystal Season III,https://myanimelist.net/anime/31733/Bishoujo_Senshi_Sailor_Moon_Crystal_Season_III,TV,Spring,2016,"Tsukino, Ikuko",https://myanimelist.net/character/17937/Ikuko_Tsukino,17937,Supporting,3
31202,Chibi Maruko-chan Movie: Italia kara Kita Shounen,https://myanimelist.net/anime/31202/Chibi_Maruko-chan_Movie__Italia_kara_Kita_Shounen,Movie,,2015,"Sakura, Sakiko",https://myanimelist.net/character/39490/Sakiko_Sakura,39490,Supporting,4
25867,Rolling☆Girls,https://myanimelist.net/anime/25867/Rolling☆Girls,TV,Winter,2015,"Suzumoto, Aya",https://myanimelist.net/character/123881/Aya_Suzumoto,123881,Supporting,0
24699,Ai Tenchi Muyou!,https://myanimelist.net/anime/24699/Ai_Tenchi_Muyou,TV,Fall,2014,"Kuramitsu, Mihoshi",https://myanimelist.net/character/5607/Mihoshi_Kuramitsu,5607,Supporting,64
25161,One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,https://myanimelist.net/anime/25161/One_Piece_3D2Y__Ace_no_shi_wo_Koete_Luffy_Nakama_Tono_Chikai,TV Special,,2014,Nightin,https://myanimelist.net/character/161869/Nightin,161869,Supporting,0
14751,Bishoujo Senshi Sailor Moon Crystal,https://myanimelist.net/anime/14751/Bishoujo_Senshi_Sailor_Moon_Crystal,ONA,,2014,"Tsukino, Ikuko",https://myanimelist.net/character/17937/Ikuko_Tsukino,17937,Supporting,3
22831,Abarenbou Rikishi!! Matsutarou,https://myanimelist.net/anime/22831/Abarenbou_Rikishi_Matsutarou,TV,Spring,2014,"Minami, Reiko",https://myanimelist.net/character/101607/Reiko_Minami,101607,Main,0
19291,Pokemon XY,https://myanimelist.net/anime/19291/Pokemon_XY,TV,Fall,2013,Monarque,https://myanimelist.net/character/110339/Monarque,110339,Supporting,0
11339,A-Channel+smile,https://myanimelist.net/anime/11339/A-Channel_smile,OVA,,2012,"Momoki, Mother",https://myanimelist.net/character/41904/Mother_Momoki,41904,Supporting,1
9776,A-Channel,https://myanimelist.net/anime/9776/A-Channel,TV,Spring,2011,"Momoki, Mother",https://myanimelist.net/character/41904/Mother_Momoki,41904,Supporting,1
