ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
54603,Bakeneko Anzu-chan,https://myanimelist.net/anime/54603/Bakeneko_Anzu-chan,Movie,,2024,Tanuki,https://myanimelist.net/character/268689/Tanuki,268689,Supporting,0
55813,Mashle: Shinkakusha Kouho Senbatsu Shiken-hen,https://myanimelist.net/anime/55813/Mashle__Shinkakusha_Kouho_Senbatsu_Shiken-hen,TV,Winter,2024,"Baby, Sitter",https://myanimelist.net/character/242892/Sitter_Baby,242892,Supporting,0
51794,Nanatsu no Taizai: Mokushiroku no Yonkishi,https://myanimelist.net/anime/51794/Nanatsu_no_Taizai__Mokushiroku_no_Yonkishi,TV,Fall,2023,Talisker,https://myanimelist.net/character/239067/Talisker,239067,Supporting,0
50172,Mob Psycho 100 III,https://myanimelist.net/anime/50172/Mob_Psycho_100_III,TV,Fall,2022,"Takenaka, Momozou",https://myanimelist.net/character/154046/Momozou_Takenaka,154046,Supporting,12
42192,Edens Zero,https://myanimelist.net/anime/42192/Edens_Zero,TV,Spring,2021,Jamilov,https://myanimelist.net/character/194328/Jamilov,194328,Supporting,0
42192,Edens Zero,https://myanimelist.net/anime/42192/Edens_Zero,TV,Spring,2021,Spider,https://myanimelist.net/character/186059/Spider,186059,Supporting,0
41694,Hataraku Saibou Black,https://myanimelist.net/anime/41694/Hataraku_Saibou_Black,TV,Winter,2021,Sekkekkyuu AC1677,https://myanimelist.net/character/188628/Sekkekkyuu_AC1677,188628,Supporting,17
40540,Sword Art Online: Alicization - War of Underworld 2nd Season,https://myanimelist.net/anime/40540/Sword_Art_Online__Alicization_-_War_of_Underworld_2nd_Season,TV,Summer,2020,Critter,https://myanimelist.net/character/161049/Critter,161049,Supporting,0
39583,number24,https://myanimelist.net/anime/39583/number24,TV,Winter,2020,"Tamashiro, Ren",https://myanimelist.net/character/174828/Ren_Tamashiro,174828,Supporting,0
39597,Sword Art Online: Alicization - War of Underworld,https://myanimelist.net/anime/39597/Sword_Art_Online__Alicization_-_War_of_Underworld,TV,Fall,2019,"Zargatis, Ferius",https://myanimelist.net/character/212720/Ferius_Zargatis,212720,Supporting,0
39597,Sword Art Online: Alicization - War of Underworld,https://myanimelist.net/anime/39597/Sword_Art_Online__Alicization_-_War_of_Underworld,TV,Fall,2019,Critter,https://myanimelist.net/character/161049/Critter,161049,Supporting,0
33010,FLCL Progressive,https://myanimelist.net/anime/33010/FLCL_Progressive,Movie,,2018,"Mori, Gorou",https://myanimelist.net/character/163121/Gorou_Mori,163121,Supporting,0
35949,Kidou Senshi Gundam Thunderbolt: Bandit Flower,https://myanimelist.net/anime/35949/Kidou_Senshi_Gundam_Thunderbolt__Bandit_Flower,Movie,,2017,"Kaufmann, Philippe",https://myanimelist.net/character/175884/Philippe_Kaufmann,175884,Supporting,0
32182,Mob Psycho 100,https://myanimelist.net/anime/32182/Mob_Psycho_100,TV,Summer,2016,"Edano, Tsuyoshi",https://myanimelist.net/character/124796/Tsuyoshi_Edano,124796,Supporting,0
32182,Mob Psycho 100,https://myanimelist.net/anime/32182/Mob_Psycho_100,TV,Summer,2016,Bandai,https://myanimelist.net/character/165211/Bandai,165211,Supporting,0
32182,Mob Psycho 100,https://myanimelist.net/anime/32182/Mob_Psycho_100,TV,Summer,2016,"Takenaka, Momozou",https://myanimelist.net/character/154046/Momozou_Takenaka,154046,Supporting,12
30694,Dragon Ball Super,https://myanimelist.net/anime/30694/Dragon_Ball_Super,TV,Summer,2015,Nigrisshi,https://myanimelist.net/character/161792/Nigrisshi,161792,Supporting,1
26055,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_-_Egypt-hen,TV,Winter,2015,Alessi,https://myanimelist.net/character/104659/Alessi,104659,Supporting,7
16894,Kuroko no Basket 2nd Season,https://myanimelist.net/anime/16894/Kuroko_no_Basket_2nd_Season,TV,Fall,2013,"Hara, Kazuya",https://myanimelist.net/character/48957/Kazuya_Hara,48957,Supporting,7
16894,Kuroko no Basket 2nd Season,https://myanimelist.net/anime/16894/Kuroko_no_Basket_2nd_Season,TV,Fall,2013,"Narumi, Daisuke",https://myanimelist.net/character/48955/Daisuke_Narumi,48955,Supporting,0
11771,Kuroko no Basket,https://myanimelist.net/anime/11771/Kuroko_no_Basket,TV,Spring,2012,"Susa, Yoshinori",https://myanimelist.net/character/64093/Yoshinori_Susa,64093,Supporting,0
11771,Kuroko no Basket,https://myanimelist.net/anime/11771/Kuroko_no_Basket,TV,Spring,2012,"Miyaji, Kiyoshi",https://myanimelist.net/character/53565/Kiyoshi_Miyaji,53565,Supporting,8
11061,Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,TV,Fall,2011,Kazsule,https://myanimelist.net/character/33357/Kazsule,33357,Supporting,1
11061,Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,TV,Fall,2011,No. 0,https://myanimelist.net/character/33354/No_0,33354,Supporting,0
11061,Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,TV,Fall,2011,Binolt,https://myanimelist.net/character/33347/Binolt,33347,Supporting,3
93,Kidou Senshi Gundam SEED,https://myanimelist.net/anime/93/Kidou_Senshi_Gundam_SEED,TV,Fall,2002,"Andras, Shani",https://myanimelist.net/character/3795/Shani_Andras,3795,Supporting,7
