ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
51367,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,https://myanimelist.net/anime/51367/JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean_Part_2,ONA,,2022,Kenzou,https://myanimelist.net/character/125030/Kenzou,125030,Supporting,1
41750,Koukaku Kidoutai: SAC_2045 Season 2,https://myanimelist.net/anime/41750/Koukaku_Kidoutai__SAC_2045_Season_2,ONA,,2022,"Aramaki, Daisuke",https://myanimelist.net/character/2677/Daisuke_Aramaki,2677,Main,127
49402,Koukaku Kidoutai: SAC_2045 - Jizoku Kanou Sensou,https://myanimelist.net/anime/49402/Koukaku_Kidoutai__SAC_2045_-_Jizoku_Kanou_Sensou,Movie,,2021,"Aramaki, Daisuke",https://myanimelist.net/character/2677/Daisuke_Aramaki,2677,Main,127
48505,Hanyou no Yashahime: Sengoku Otogizoushi - Ni no Shou,https://myanimelist.net/anime/48505/Hanyou_no_Yashahime__Sengoku_Otogizoushi_-_Ni_no_Shou,TV,Fall,2021,"Higurashi, Grandpa",https://myanimelist.net/character/40419/Grandpa_Higurashi,40419,Supporting,4
41911,Hanyou no Yashahime: Sengoku Otogizoushi,https://myanimelist.net/anime/41911/Hanyou_no_Yashahime__Sengoku_Otogizoushi,TV,Fall,2020,"Higurashi, Grandpa",https://myanimelist.net/character/40419/Grandpa_Higurashi,40419,Supporting,4
38799,Koukaku Kidoutai: SAC_2045,https://myanimelist.net/anime/38799/Koukaku_Kidoutai__SAC_2045,ONA,,2020,"Aramaki, Daisuke",https://myanimelist.net/character/2677/Daisuke_Aramaki,2677,Main,127
39592,Kidou Senshi Gundam: The Origin - Zenya Akai Suisei,https://myanimelist.net/anime/39592/Kidou_Senshi_Gundam__The_Origin_-_Zenya_Akai_Suisei,TV,Spring,2019,"Minovsky, Trenov Y.",https://myanimelist.net/character/137638/Trenov_Y_Minovsky,137638,Supporting,0
37991,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze,TV,Fall,2018,Old Janitor,https://myanimelist.net/character/166169/Old_Janitor,166169,Supporting,4
35134,Koukyoushihen Eureka Seven Hi-Evolution 1,https://myanimelist.net/anime/35134/Koukyoushihen_Eureka_Seven_Hi-Evolution_1,Movie,,2017,"Swigert, Kuzemi",https://myanimelist.net/character/50993/Kuzemi_Swigert,50993,Supporting,0
10937,Kidou Senshi Gundam: The Origin,https://myanimelist.net/anime/10937/Kidou_Senshi_Gundam__The_Origin,OVA,,2015,"Minovsky, Trenov Y.",https://myanimelist.net/character/137638/Trenov_Y_Minovsky,137638,Supporting,0
10049,Nurarihyon no Mago: Sennen Makyou,https://myanimelist.net/anime/10049/Nurarihyon_no_Mago__Sennen_Makyou,TV,Summer,2011,Nurarihyon,https://myanimelist.net/character/23307/Nurarihyon,23307,Supporting,76
7592,Nurarihyon no Mago,https://myanimelist.net/anime/7592/Nurarihyon_no_Mago,TV,Summer,2010,Nurarihyon,https://myanimelist.net/character/23307/Nurarihyon,23307,Supporting,76
7580,Ikkitousen: Xtreme Xecutor,https://myanimelist.net/anime/7580/Ikkitousen__Xtreme_Xecutor,TV,Spring,2010,"Chokou, Shikou",https://myanimelist.net/character/83621/Shikou_Chokou,83621,Supporting,0
4246,Koukyoushihen Eureka Seven: Pocket ga Niji de Ippai,https://myanimelist.net/anime/4246/Koukyoushihen_Eureka_Seven__Pocket_ga_Niji_de_Ippai,Movie,,2009,"Swigert, Kuzemi",https://myanimelist.net/character/50993/Kuzemi_Swigert,50993,Supporting,0
1735,Naruto: Shippuuden,https://myanimelist.net/anime/1735/Naruto__Shippuuden,TV,Winter,2007,Bansai,https://myanimelist.net/character/23008/Bansai,23008,Supporting,0
1735,Naruto: Shippuuden,https://myanimelist.net/anime/1735/Naruto__Shippuuden,TV,Winter,2007,"Shimura, Danzou",https://myanimelist.net/character/23424/Danzou_Shimura,23424,Supporting,100
1747,Freedom,https://myanimelist.net/anime/1747/Freedom,OVA,,2006,Alan,https://myanimelist.net/character/16545/Alan,16545,Supporting,0
1566,Koukaku Kidoutai: Stand Alone Complex - Solid State Society,https://myanimelist.net/anime/1566/Koukaku_Kidoutai__Stand_Alone_Complex_-_Solid_State_Society,TV Special,,2006,"Aramaki, Daisuke",https://myanimelist.net/character/2677/Daisuke_Aramaki,2677,Main,127
916,Tokkou,https://myanimelist.net/anime/916/Tokkou,TV,Spring,2006,Taishi,https://myanimelist.net/character/44371/Taishi,44371,Supporting,1
944,The Third: Aoi Hitomi no Shoujo,https://myanimelist.net/anime/944/The_Third__Aoi_Hitomi_no_Shoujo,TV,Spring,2006,Dr. Nor,https://myanimelist.net/character/17856/Dr_Nor,17856,Supporting,0
790,Ergo Proxy,https://myanimelist.net/anime/790/Ergo_Proxy,TV,Winter,2006,JJ,https://myanimelist.net/character/124649/JJ,124649,Supporting,0
777,Hellsing Ultimate,https://myanimelist.net/anime/777/Hellsing_Ultimate,OVA,,2006,Father Renaldo,https://myanimelist.net/character/15820/Father_Renaldo,15820,Supporting,0
411,Gun x Sword,https://myanimelist.net/anime/411/Gun_x_Sword,TV,Summer,2005,Carlos,https://myanimelist.net/character/34851/Carlos,34851,Supporting,3
237,Koukyoushihen Eureka Seven,https://myanimelist.net/anime/237/Koukyoushihen_Eureka_Seven,TV,Spring,2005,"Swigert, Kuzemi",https://myanimelist.net/character/50993/Kuzemi_Swigert,50993,Supporting,0
239,Gankutsuou,https://myanimelist.net/anime/239/Gankutsuou,TV,Fall,2004,"Vampa, Luigi",https://myanimelist.net/character/31321/Luigi_Vampa,31321,Supporting,1
205,Samurai Champloo,https://myanimelist.net/anime/205/Samurai_Champloo,TV,Spring,2004,Daigorou,https://myanimelist.net/character/400/Daigorou,400,Supporting,0
54,Appleseed (Movie),https://myanimelist.net/anime/54/Appleseed_Movie,Movie,,2004,Electryon,https://myanimelist.net/character/36295/Electryon,36295,Supporting,0
159,Boukyaku no Senritsu,https://myanimelist.net/anime/159/Boukyaku_no_Senritsu,TV,Spring,2004,"Musashino, Saburou",https://myanimelist.net/character/39034/Saburou_Musashino,39034,Supporting,0
19,Monster,https://myanimelist.net/anime/19/Monster,TV,Spring,2004,Moumoku no Roujin,https://myanimelist.net/character/89353/Moumoku_no_Roujin,89353,Supporting,0
468,Innocence,https://myanimelist.net/anime/468/Innocence,Movie,,2004,"Aramaki, Daisuke",https://myanimelist.net/character/2677/Daisuke_Aramaki,2677,Supporting,127
323,Mousou Dairinin,https://myanimelist.net/anime/323/Mousou_Dairinin,TV,Winter,2004,Old Man,https://myanimelist.net/character/22375/Old_Man,22375,Supporting,22
801,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,https://myanimelist.net/anime/801/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG,TV,Winter,2004,"Aramaki, Yousuke ",https://myanimelist.net/character/136259/Yousuke__Aramaki,136259,Supporting,0
801,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,https://myanimelist.net/anime/801/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG,TV,Winter,2004,"Aramaki, Daisuke",https://myanimelist.net/character/2677/Daisuke_Aramaki,2677,Main,127
267,Gungrave,https://myanimelist.net/anime/267/Gungrave,TV,Fall,2003,Dr. Tokioka,https://myanimelist.net/character/9922/Dr_Tokioka,9922,Supporting,1
257,Ikkitousen,https://myanimelist.net/anime/257/Ikkitousen,TV,Summer,2003,"Chokou, Shikou",https://myanimelist.net/character/83621/Shikou_Chokou,83621,Supporting,0
26,Texhnolyze,https://myanimelist.net/anime/26/Texhnolyze,TV,Spring,2003,"Tsujinaka, Shinichirou",https://myanimelist.net/character/250534/Shinichirou_Tsujinaka,250534,Supporting,0
97,Last Exile,https://myanimelist.net/anime/97/Last_Exile,TV,Spring,2003,"Dagobert, Lescius",https://myanimelist.net/character/47737/Lescius_Dagobert,47737,Supporting,0
113,Uchuu no Stellvia,https://myanimelist.net/anime/113/Uchuu_no_Stellvia,TV,Spring,2003,"Turner, Doctor",https://myanimelist.net/character/127501/Doctor_Turner,127501,Supporting,0
1456,L/R: Licensed by Royal,https://myanimelist.net/anime/1456/L_R__Licensed_by_Royal,TV,Winter,2003,"Freud, Professor",https://myanimelist.net/character/4738/Professor_Freud,4738,Supporting,0
202,Wolf's Rain,https://myanimelist.net/anime/202/Wolfs_Rain,TV,Winter,2003,Old Wolf,https://myanimelist.net/character/31822/Old_Wolf,31822,Supporting,0
20,Naruto,https://myanimelist.net/anime/20/Naruto,TV,Fall,2002,Sukeza,https://myanimelist.net/character/251571/Sukeza,251571,Supporting,0
467,Koukaku Kidoutai: Stand Alone Complex,https://myanimelist.net/anime/467/Koukaku_Kidoutai__Stand_Alone_Complex,TV,Fall,2002,"Aramaki, Daisuke",https://myanimelist.net/character/2677/Daisuke_Aramaki,2677,Main,127
277,Mahoromatic: Motto Utsukushii Mono,https://myanimelist.net/anime/277/Mahoromatic__Motto_Utsukushii_Mono,TV,Fall,2002,Jils,https://myanimelist.net/character/255924/Jils,255924,Supporting,0
