ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
59466,Aharen-san wa Hakarenai Season 2,https://myanimelist.net/anime/59466/Aharen-san_wa_Hakarenai_Season_2,TV,Spring,2025,"Raidou, Matsuboshi",https://myanimelist.net/character/150918/Matsuboshi_Raidou,150918,Main,171
59228,Kuroshitsuji: Midori no Majo-hen,https://myanimelist.net/anime/59228/Kuroshitsuji__Midori_no_Majo-hen,TV,Spring,2025,Snake,https://myanimelist.net/character/35348/Snake,35348,Supporting,424
59406,Binan Koukou Chikyuu Bouei-bu Eternal Love!,https://myanimelist.net/anime/59406/Binan_Koukou_Chikyuu_Bouei-bu_Eternal_Love,Movie,,2025,"Gero, Akoya",https://myanimelist.net/character/117773/Akoya_Gero,117773,Supporting,40
57152,Mahoutsukai no Yakusoku,https://myanimelist.net/anime/57152/Mahoutsukai_no_Yakusoku,TV,Winter,2025,White,https://myanimelist.net/character/208645/White,208645,Main,2
58567,Ore dake Level Up na Ken Season 2: Arise from the Shadow,https://myanimelist.net/anime/58567/Ore_dake_Level_Up_na_Ken_Season_2__Arise_from_the_Shadow,TV,Winter,2025,Eun-Seok,https://myanimelist.net/character/240084/Eun-Seok,240084,Supporting,1
58854,Kinoko Inu,https://myanimelist.net/anime/58854/Kinoko_Inu,TV,Fall,2024,"Yara, Itsuki",https://myanimelist.net/character/253686/Itsuki_Yara,253686,Supporting,0
58462,Wonderful Precure! Movie: Dokidoki Game no Sekai de Daibouken!,https://myanimelist.net/anime/58462/Wonderful_Precure_Movie__Dokidoki_Game_no_Sekai_de_Daibouken,Movie,,2024,"Toyama, Satoru",https://myanimelist.net/character/240146/Satoru_Toyama,240146,Main,11
56488,Zegapain: STA,https://myanimelist.net/anime/56488/Zegapain__STA,Movie,,2024,Giten,https://myanimelist.net/character/249595/Giten,249595,Supporting,0
59465,Fate/Grand Order: Fujimaru Ritsuka wa Wakaranai Season 2,https://myanimelist.net/anime/59465/Fate_Grand_Order__Fujimaru_Ritsuka_wa_Wakaranai_Season_2,ONA,,2024,Roland,https://myanimelist.net/character/256884/Roland,256884,Supporting,0
55855,Kuroshitsuji: Kishuku Gakkou-hen,https://myanimelist.net/anime/55855/Kuroshitsuji__Kishuku_Gakkou-hen,TV,Spring,2024,Snake,https://myanimelist.net/character/35348/Snake,35348,Supporting,424
48418,"Maou Gakuin no Futekigousha II: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou Part 2",https://myanimelist.net/anime/48418/Maou_Gakuin_no_Futekigousha_II__Shijou_Saikyou_no_Maou_no_Shiso_Tensei_shite_Shison-tachi_no_Gakkou_e_Kayou_Part_2,TV,Spring,2024,"Glanzudlii, Lay",https://myanimelist.net/character/185428/Lay_Glanzudlii,185428,Main,130
57031,Vampire Dormitory,https://myanimelist.net/anime/57031/Vampire_Dormitory,TV,Spring,2024,"Tsukishiro, Ruzé",https://myanimelist.net/character/216668/Ruzé_Tsukishiro,216668,Supporting,0
50713,Mahouka Koukou no Rettousei 3rd Season,https://myanimelist.net/anime/50713/Mahouka_Koukou_no_Rettousei_3rd_Season,TV,Spring,2024,"Saijou, Leonhart",https://myanimelist.net/character/72315/Leonhart_Saijou,72315,Supporting,21
53407,Bartender: Kami no Glass,https://myanimelist.net/anime/53407/Bartender__Kami_no_Glass,TV,Spring,2024,"Sasakura, Ryuu",https://myanimelist.net/character/3741/Ryuu_Sasakura,3741,Main,304
57390,Wonderful Precure!,https://myanimelist.net/anime/57390/Wonderful_Precure,TV,Winter,2024,"Toyama, Satoru",https://myanimelist.net/character/240146/Satoru_Toyama,240146,Main,11
52816,Majo to Yajuu,https://myanimelist.net/anime/52816/Majo_to_Yajuu,TV,Winter,2024,Loran,https://myanimelist.net/character/237894/Loran,237894,Supporting,0
52299,Ore dake Level Up na Ken,https://myanimelist.net/anime/52299/Ore_dake_Level_Up_na_Ken,TV,Winter,2024,Eun-Seok,https://myanimelist.net/character/240084/Eun-Seok,240084,Supporting,1
57691,Fate/Grand Order: Fujimaru Ritsuka wa Wakaranai - Dai Bounen Otanoshimikai 2023,https://myanimelist.net/anime/57691/Fate_Grand_Order__Fujimaru_Ritsuka_wa_Wakaranai_-_Dai_Bounen_Otanoshimikai_2023,TV Special,,2023,Roland,https://myanimelist.net/character/256884/Roland,256884,Supporting,0
54565,Tensei shitara Slime Datta Ken: Coleus no Yume,https://myanimelist.net/anime/54565/Tensei_shitara_Slime_Datta_Ken__Coleus_no_Yume,ONA,,2023,"Mikami, Satoru",https://myanimelist.net/character/165016/Satoru_Mikami,165016,Supporting,9
54852,Kikansha no Mahou wa Tokubetsu desu,https://myanimelist.net/anime/54852/Kikansha_no_Mahou_wa_Tokubetsu_desu,TV,Fall,2023,"Herrman, Desir",https://myanimelist.net/character/190508/Desir_Herrman,190508,Main,97
54918,Tokyo Revengers: Tenjiku-hen,https://myanimelist.net/anime/54918/Tokyo_Revengers__Tenjiku-hen,TV,Fall,2023,"Sendou, Atsushi",https://myanimelist.net/character/173211/Atsushi_Sendou,173211,Supporting,49
54141,Bastard!! Ankoku no Hakaishin: Jigoku no Chinkonka-hen,https://myanimelist.net/anime/54141/Bastard_Ankoku_no_Hakaishin__Jigoku_no_Chinkonka-hen,ONA,,2023,"Belahia, Joshua",https://myanimelist.net/character/223459/Joshua_Belahia,223459,Supporting,0
53050,"Kanojo, Okarishimasu 3rd Season",https://myanimelist.net/anime/53050/Kanojo_Okarishimasu_3rd_Season,TV,Summer,2023,Tabuse,https://myanimelist.net/character/232778/Tabuse,232778,Supporting,0
