ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
50710,Urusei Yatsura (2022),https://myanimelist.net/anime/50710/Urusei_Yatsura_2022,TV,Fall,2022,Oyuki,https://myanimelist.net/character/18007/Oyuki,18007,Supporting,14
52193,Akiba Meido Sensou,https://myanimelist.net/anime/52193/Akiba_Meido_Sensou,TV,Fall,2022,"Yaegashi, Yasuko",https://myanimelist.net/character/216419/Yasuko_Yaegashi,216419,Main,59
47164,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen,https://myanimelist.net/anime/47164/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_IV__Shin_Shou_-_Meikyuu-hen,TV,Summer,2022,Marie,https://myanimelist.net/character/212279/Marie,212279,Supporting,10
50380,Paripi Koumei,https://myanimelist.net/anime/50380/Paripi_Koumei,TV,Spring,2022,"Kuon, Nanami",https://myanimelist.net/character/206520/Nanami_Kuon,206520,Supporting,59
39547,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,https://myanimelist.net/anime/39547/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Kan,TV,Summer,2020,"Kawasaki, Saki",https://myanimelist.net/character/74587/Saki_Kawasaki,74587,Supporting,524
38529,Rifle Is Beautiful,https://myanimelist.net/anime/38529/Rifle_Is_Beautiful,TV,Fall,2019,"Nakagawa, Tae",https://myanimelist.net/character/178315/Tae_Nakagawa,178315,Supporting,0
38735,7 Seeds,https://myanimelist.net/anime/38735/7_Seeds,ONA,,2019,Mayu,https://myanimelist.net/character/201910/Mayu,201910,Supporting,0
35557,Houseki no Kuni,https://myanimelist.net/anime/35557/Houseki_no_Kuni,TV,Fall,2017,Amethyst,https://myanimelist.net/character/123157/Amethyst,123157,Supporting,22
23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,https://myanimelist.net/anime/23847/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Zoku,TV,Spring,2015,"Kawasaki, Saki",https://myanimelist.net/character/74587/Saki_Kawasaki,74587,Supporting,524
14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,https://myanimelist.net/anime/14813/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru,TV,Spring,2013,"Kawasaki, Saki",https://myanimelist.net/character/74587/Saki_Kawasaki,74587,Supporting,524
