ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
49220,Isekai Ojisan,https://myanimelist.net/anime/49220/Isekai_Ojisan,TV,Summer,2022,Elf,https://myanimelist.net/character/206611/Elf,206611,Supporting,431
49345,"Goodbye, Don Glees!",https://myanimelist.net/anime/49345/Goodbye_Don_Glees,Movie,,2022,"Urayasu, Chibori",https://myanimelist.net/character/202180/Chibori_Urayasu,202180,Supporting,2
49165,Bright: Samurai Soul,https://myanimelist.net/anime/49165/Bright__Samurai_Soul,ONA,,2021,Chihaya,https://myanimelist.net/character/203003/Chihaya,203003,Supporting,0
39175,Cider no You ni Kotoba ga Wakiagaru,https://myanimelist.net/anime/39175/Cider_no_You_ni_Kotoba_ga_Wakiagaru,Movie,,2021,Juri,https://myanimelist.net/character/199698/Juri,199698,Supporting,4
39175,Cider no You ni Kotoba ga Wakiagaru,https://myanimelist.net/anime/39175/Cider_no_You_ni_Kotoba_ga_Wakiagaru,Movie,,2021,Nami,https://myanimelist.net/character/252994/Nami,252994,Supporting,1
44061,Xin Shen Bang: Nezha Chongsheng,https://myanimelist.net/anime/44061/Xin_Shen_Bang__Nezha_Chongsheng,Movie,,2021,Kasha,https://myanimelist.net/character/221681/Kasha,221681,Supporting,2
45556,Wu Liuqi: Xuanwu Guo Pian,https://myanimelist.net/anime/45556/Wu_Liuqi__Xuanwu_Guo_Pian,ONA,,2021,Eleven,https://myanimelist.net/character/224390/Eleven,224390,Supporting,10
40784,Wu Liuqi: Zui Qiang Fa Xing Shi,https://myanimelist.net/anime/40784/Wu_Liuqi__Zui_Qiang_Fa_Xing_Shi,ONA,,2019,Eleven,https://myanimelist.net/character/224390/Eleven,224390,Supporting,10
36936,Mirai no Mirai,https://myanimelist.net/anime/36936/Mirai_no_Mirai,Movie,,2018,"Oota, Mirai",https://myanimelist.net/character/162700/Mirai_Oota,162700,Main,8
759,Tokyo Godfathers,https://myanimelist.net/anime/759/Tokyo_Godfathers,Movie,,2003,Miyuki,https://myanimelist.net/character/1078/Miyuki,1078,Main,77
