ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
2619,Spider Riders: Oracle no Yuusha-tachi,https://myanimelist.net/anime/2619/Spider_Riders__Oracle_no_Yuusha-tachi,TV,Spring,2006,Corona,https://myanimelist.net/character/6731/Corona,6731,Main,3
356,Fate/stay night,https://myanimelist.net/anime/356/Fate_stay_night,TV,Winter,2006,"Toosaka, Rin",https://myanimelist.net/character/498/Rin_Toosaka,498,Main,24728
4823,Youkai Ningen Bem (2006),https://myanimelist.net/anime/4823/Youkai_Ningen_Bem_2006,TV,Winter,2006,Belo,https://myanimelist.net/character/18357/Belo,18357,Main,21
457,Mushishi,https://myanimelist.net/anime/457/Mushishi,TV,Fall,2005,Michihi,https://myanimelist.net/character/24131/Michihi,24131,Supporting,0
152,Solty Rei,https://myanimelist.net/anime/152/Solty_Rei,TV,Fall,2005,"Yayoi, Celica",https://myanimelist.net/character/13411/Celica_Yayoi,13411,Supporting,3
228,Jigoku Shoujo,https://myanimelist.net/anime/228/Jigoku_Shoujo,TV,Fall,2005,"Hashimoto, Mayumi",https://myanimelist.net/character/18923/Mayumi_Hashimoto,18923,Supporting,0
228,Jigoku Shoujo,https://myanimelist.net/anime/228/Jigoku_Shoujo,TV,Fall,2005,"Kirino, Saki",https://myanimelist.net/character/36094/Saki_Kirino,36094,Supporting,0
27,Trinity Blood,https://myanimelist.net/anime/27/Trinity_Blood,TV,Spring,2005,Wendy,https://myanimelist.net/character/5584/Wendy,5584,Supporting,1
67,Basilisk: Kouga Ninpou Chou,https://myanimelist.net/anime/67/Basilisk__Kouga_Ninpou_Chou,TV,Spring,2005,"Iga, Oboro",https://myanimelist.net/character/2348/Oboro_Iga,2348,Main,86
121,Fullmetal Alchemist,https://myanimelist.net/anime/121/Fullmetal_Alchemist,TV,Fall,2003,"Tringham, Fletcher",https://myanimelist.net/character/11000/Fletcher_Tringham,11000,Supporting,4
209,R.O.D: The TV,https://myanimelist.net/anime/209/ROD__The_TV,TV,Fall,2003,"Nishizono, Haruhi",https://myanimelist.net/character/173748/Haruhi_Nishizono,173748,Supporting,0
97,Last Exile,https://myanimelist.net/anime/97/Last_Exile,TV,Spring,2003,"Hamilton, Alvis E.",https://myanimelist.net/character/2796/Alvis_E_Hamilton,2796,Main,46
292,Dear Boys,https://myanimelist.net/anime/292/Dear_Boys,TV,Spring,2003,"Akiyoshi, Mutsumi",https://myanimelist.net/character/16618/Mutsumi_Akiyoshi,16618,Supporting,0
1683,Di Gi Charat Nyo,https://myanimelist.net/anime/1683/Di_Gi_Charat_Nyo,TV,Spring,2003,Petit Charat,https://myanimelist.net/character/1010/Petit_Charat,1010,Main,121
335,Matantei Loki Ragnarok,https://myanimelist.net/anime/335/Matantei_Loki_Ragnarok,TV,Spring,2003,"Kirasaka, Yayoi",https://myanimelist.net/character/28672/Yayoi_Kirasaka,28672,Supporting,0
335,Matantei Loki Ragnarok,https://myanimelist.net/anime/335/Matantei_Loki_Ragnarok,TV,Spring,2003,Hel,https://myanimelist.net/character/13976/Hel,13976,Supporting,2
298,.hack//Tasogare no Udewa Densetsu,https://myanimelist.net/anime/298/hack__Tasogare_no_Udewa_Densetsu,TV,Winter,2003,Ouka,https://myanimelist.net/character/2229/Ouka,2229,Supporting,31
653,Galaxy Angel 3,https://myanimelist.net/anime/653/Galaxy_Angel_3,TV,Fall,2002,"H, Vanilla",https://myanimelist.net/character/3186/Vanilla_H,3186,Main,98
162,Pita Ten,https://myanimelist.net/anime/162/Pita_Ten,TV,Spring,2002,"Uematsu, Koboshi",https://myanimelist.net/character/134/Koboshi_Uematsu,134,Main,11
48,.hack//Sign,https://myanimelist.net/anime/48/hack__Sign,TV,Spring,2002,Kaochin,https://myanimelist.net/character/10793/Kaochin,10793,Supporting,0
652,Galaxy Angel Z,https://myanimelist.net/anime/652/Galaxy_Angel_Z,TV,Winter,2002,"H, Vanilla",https://myanimelist.net/character/3186/Vanilla_H,3186,Main,98
168,s.CRY.ed,https://myanimelist.net/anime/168/sCRYed,TV,Summer,2001,"Yuta, Kanami",https://myanimelist.net/character/1491/Kanami_Yuta,1491,Main,19
383,Galaxy Angel,https://myanimelist.net/anime/383/Galaxy_Angel,TV,Spring,2001,"H, Vanilla",https://myanimelist.net/character/3186/Vanilla_H,3186,Main,98
379,Heppoko Jikken Animation Excel♥Saga,https://myanimelist.net/anime/379/Heppoko_Jikken_Animation_Excel♥Saga,TV,Fall,1999,"Cosette, Sara",https://myanimelist.net/character/7369/Sara_Cosette,7369,Supporting,1
379,Heppoko Jikken Animation Excel♥Saga,https://myanimelist.net/anime/379/Heppoko_Jikken_Animation_Excel♥Saga,TV,Fall,1999,"Domingo, Sandora",https://myanimelist.net/character/36661/Sandora_Domingo,36661,Supporting,0
605,Tenshi ni Narumon!,https://myanimelist.net/anime/605/Tenshi_ni_Narumon,TV,Spring,1999,Sara,https://myanimelist.net/character/5637/Sara,5637,Supporting,0
1172,Slayers Try,https://myanimelist.net/anime/1172/Slayers_Try,TV,Spring,1997,"Inverse, Lina",https://myanimelist.net/character/1169/Lina_Inverse,1169,Main,2573
535,Slayers Next,https://myanimelist.net/anime/535/Slayers_Next,TV,Spring,1996,"Inverse, Lina",https://myanimelist.net/character/1169/Lina_Inverse,1169,Main,2573
534,Slayers,https://myanimelist.net/anime/534/Slayers,TV,Spring,1995,"Inverse, Lina",https://myanimelist.net/character/1169/Lina_Inverse,1169,Main,2573
617,Juubee Ninpuuchou,https://myanimelist.net/anime/617/Juubee_Ninpuuchou,Movie,,1993,Zakuro,https://myanimelist.net/character/25505/Zakuro,25505,Supporting,6
