ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
53876,Pokemon (2023),https://myanimelist.net/anime/53876/Pokemon_2023,TV,Spring,2023,Onyx,https://myanimelist.net/character/233232/Onyx,233232,Supporting,0
49979,Akuyaku Reijou nanode Last Boss wo Kattemimashita,https://myanimelist.net/anime/49979/Akuyaku_Reijou_nanode_Last_Boss_wo_Kattemimashita,TV,Fall,2022,"Crane, Lester",https://myanimelist.net/character/221145/Lester_Crane,221145,Supporting,0
50602,Spy x Family Part 2,https://myanimelist.net/anime/50602/Spy_x_Family_Part_2,TV,Fall,2022,Kris,https://myanimelist.net/character/218561/Kris,218561,Supporting,0
48895,Overlord IV,https://myanimelist.net/anime/48895/Overlord_IV,TV,Summer,2022,"Fan, Long",https://myanimelist.net/character/214242/Long_Fan,214242,Supporting,0
49969,Tribe Nine,https://myanimelist.net/anime/49969/Tribe_Nine,TV,Winter,2022,"Aoyama, Kazuki",https://myanimelist.net/character/202219/Kazuki_Aoyama,202219,Main,9
46095,Vivy: Fluorite Eye's Song,https://myanimelist.net/anime/46095/Vivy__Fluorite_Eyes_Song,TV,Spring,2021,Dr. Matsumoto,https://myanimelist.net/character/197688/Dr_Matsumoto,197688,Supporting,2
40351,Pokemon (2019),https://myanimelist.net/anime/40351/Pokemon_2019,TV,Fall,2019,Wataru,https://myanimelist.net/character/7042/Wataru,7042,Supporting,22
40154,Hero Mask 2nd Season,https://myanimelist.net/anime/40154/Hero_Mask_2nd_Season,ONA,,2019,"Chandler, Edmond",https://myanimelist.net/character/167575/Edmond_Chandler,167575,Main,3
38826,Tenki no Ko,https://myanimelist.net/anime/38826/Tenki_no_Ko,Movie,,2019,Takai,https://myanimelist.net/character/171315/Takai,171315,Supporting,1
38628,Hero Mask,https://myanimelist.net/anime/38628/Hero_Mask,ONA,,2018,"Chandler, Edmond",https://myanimelist.net/character/167575/Edmond_Chandler,167575,Main,3
33674,No Game No Life: Zero,https://myanimelist.net/anime/33674/No_Game_No_Life__Zero,Movie,,2017,Sora,https://myanimelist.net/character/82523/Sora,82523,Supporting,15156
33988,Demi-chan wa Kataritai,https://myanimelist.net/anime/33988/Demi-chan_wa_Kataritai,TV,Winter,2017,"Tada, Kouichi",https://myanimelist.net/character/149846/Kouichi_Tada,149846,Supporting,0
32282,Shokugeki no Souma: Ni no Sara,https://myanimelist.net/anime/32282/Shokugeki_no_Souma__Ni_no_Sara,TV,Summer,2016,"Aoki, Daigo",https://myanimelist.net/character/128097/Daigo_Aoki,128097,Supporting,0
28171,Shokugeki no Souma,https://myanimelist.net/anime/28171/Shokugeki_no_Souma,TV,Spring,2015,"Aoki, Daigo",https://myanimelist.net/character/128097/Daigo_Aoki,128097,Supporting,0
22535,Kiseijuu: Sei no Kakuritsu,https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu,TV,Fall,2014,Miki,https://myanimelist.net/character/72057/Miki,72057,Supporting,1
22199,Akame ga Kill!,https://myanimelist.net/anime/22199/Akame_ga_Kill,TV,Summer,2014,Wave,https://myanimelist.net/character/65555/Wave,65555,Supporting,167
19815,No Game No Life,https://myanimelist.net/anime/19815/No_Game_No_Life,TV,Spring,2014,Sora,https://myanimelist.net/character/82523/Sora,82523,Main,15156
1572,Jungle Taitei,https://myanimelist.net/anime/1572/Jungle_Taitei,TV,Fall,1965,Coco,https://myanimelist.net/character/83221/Coco,83221,Supporting,0
