ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
57181,Ao no Hako,https://myanimelist.net/anime/57181/Ao_no_Hako,TV,Fall,2024,"Inomata, Taiki",https://myanimelist.net/character/195788/Taiki_Inomata,195788,Main,392
54724,Nige Jouzu no Wakagimi,https://myanimelist.net/anime/54724/Nige_Jouzu_no_Wakagimi,TV,Summer,2024,Furan,https://myanimelist.net/character/208944/Furan,208944,Supporting,0
56738,Shinigami Bocchan to Kuro Maid 3rd Season,https://myanimelist.net/anime/56738/Shinigami_Bocchan_to_Kuro_Maid_3rd_Season,TV,Spring,2024,Free,https://myanimelist.net/character/230239/Free,230239,Supporting,1
49858,Shinigami Bocchan to Kuro Maid 2nd Season,https://myanimelist.net/anime/49858/Shinigami_Bocchan_to_Kuro_Maid_2nd_Season,TV,Summer,2023,Free,https://myanimelist.net/character/230239/Free,230239,Supporting,1
53876,Pokemon (2023),https://myanimelist.net/anime/53876/Pokemon_2023,TV,Spring,2023,Spinel,https://myanimelist.net/character/232411/Spinel,232411,Supporting,4
53446,Tondemo Skill de Isekai Hourou Meshi,https://myanimelist.net/anime/53446/Tondemo_Skill_de_Isekai_Hourou_Meshi,TV,Winter,2023,Griffon,https://myanimelist.net/character/243270/Griffon,243270,Supporting,0
52093,Trigun Stampede,https://myanimelist.net/anime/52093/Trigun_Stampede,TV,Winter,2023,"the Double Fang, Livio",https://myanimelist.net/character/18833/Livio_the_Double_Fang,18833,Supporting,32
52273,Saint Seiya: Knights of the Zodiac - Battle Sanctuary,https://myanimelist.net/anime/52273/Saint_Seiya__Knights_of_the_Zodiac_-_Battle_Sanctuary,ONA,,2022,"Sagitta, Ptolemy",https://myanimelist.net/character/33982/Ptolemy_Sagitta,33982,Supporting,1
43470,Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart,https://myanimelist.net/anime/43470/Rikei_ga_Koi_ni_Ochita_no_de_Shoumei_shitemita_Heart,TV,Spring,2022,Takahashi-sensei,https://myanimelist.net/character/178163/Takahashi-sensei,178163,Supporting,1
48644,Gyakuten Sekai no Denchi Shoujo,https://myanimelist.net/anime/48644/Gyakuten_Sekai_no_Denchi_Shoujo,TV,Fall,2021,"Munakata, Anju",https://myanimelist.net/character/202436/Anju_Munakata,202436,Supporting,0
46985,Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,https://myanimelist.net/anime/46985/Shinka_no_Mi__Shiranai_Uchi_ni_Kachigumi_Jinsei,TV,Fall,2021,"Waltore, Zolua",https://myanimelist.net/character/203771/Zolua_Waltore,203771,Supporting,0
49730,Pokemon Evolutions,https://myanimelist.net/anime/49730/Pokemon_Evolutions,ONA,,2021,Hop,https://myanimelist.net/character/177477/Hop,177477,Supporting,18
39728,Eden (ONA),https://myanimelist.net/anime/39728/Eden_ONA,ONA,,2021,S566,https://myanimelist.net/character/197199/S566,197199,Supporting,0
41587,Boku no Hero Academia 5th Season,https://myanimelist.net/anime/41587/Boku_no_Hero_Academia_5th_Season,TV,Spring,2021,"Bondo, Kojirou",https://myanimelist.net/character/149899/Kojirou_Bondo,149899,Supporting,1
41842,Shin Tennis no Oujisama: Hyoutei vs. Rikkai - Game of Future,https://myanimelist.net/anime/41842/Shin_Tennis_no_Oujisama__Hyoutei_vs_Rikkai_-_Game_of_Future,ONA,,2021,"Ootori, Choutarou",https://myanimelist.net/character/5868/Choutarou_Ootori,5868,Main,33
38992,Rikei ga Koi ni Ochita no de Shoumei shitemita.,https://myanimelist.net/anime/38992/Rikei_ga_Koi_ni_Ochita_no_de_Shoumei_shitemita,TV,Winter,2020,Takahashi-sensei,https://myanimelist.net/character/178163/Takahashi-sensei,178163,Supporting,1
40351,Pokemon (2019),https://myanimelist.net/anime/40351/Pokemon_2019,TV,Fall,2019,Denji,https://myanimelist.net/character/33747/Denji,33747,Supporting,24
40154,Hero Mask 2nd Season,https://myanimelist.net/anime/40154/Hero_Mask_2nd_Season,ONA,,2019,"Creighton, Harry",https://myanimelist.net/character/166998/Harry_Creighton,166998,Main,1
39282,Beyblade Burst Gachi,https://myanimelist.net/anime/39282/Beyblade_Burst_Gachi,TV,Spring,2019,"Kindo, Fumiya",https://myanimelist.net/character/170134/Fumiya_Kindo,170134,Supporting,1
38628,Hero Mask,https://myanimelist.net/anime/38628/Hero_Mask,ONA,,2018,"Creighton, Harry",https://myanimelist.net/character/166998/Harry_Creighton,166998,Main,1
34514,Pokemon Generations,https://myanimelist.net/anime/34514/Pokemon_Generations,ONA,,2016,Arti,https://myanimelist.net/character/39598/Arti,39598,Supporting,6
34514,Pokemon Generations,https://myanimelist.net/anime/34514/Pokemon_Generations,ONA,,2016,Saturn,https://myanimelist.net/character/33866/Saturn,33866,Supporting,2
28121,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,https://myanimelist.net/anime/28121/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka,TV,Spring,2015,"Crozzo, Welf",https://myanimelist.net/character/116203/Welf_Crozzo,116203,Supporting,147
28171,Shokugeki no Souma,https://myanimelist.net/anime/28171/Shokugeki_no_Souma,TV,Spring,2015,"Yukihira, Souma",https://myanimelist.net/character/75216/Souma_Yukihira,75216,Main,16940
22535,Kiseijuu: Sei no Kakuritsu,https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu,TV,Fall,2014,Kamijou,https://myanimelist.net/character/117649/Kamijou,117649,Supporting,0
22535,Kiseijuu: Sei no Kakuritsu,https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu,TV,Fall,2014,Fukami,https://myanimelist.net/character/124760/Fukami,124760,Supporting,0
22535,Kiseijuu: Sei no Kakuritsu,https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu,TV,Fall,2014,B,https://myanimelist.net/character/116015/B,116015,Supporting,1
