ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
54856,Horimiya: Piece,https://myanimelist.net/anime/54856/Horimiya__Piece,TV,Summer,2023,"Iura, Shuu",https://myanimelist.net/character/66967/Shuu_Iura,66967,Supporting,408
45486,Kuma Kuma Kuma Bear Punch!,https://myanimelist.net/anime/45486/Kuma_Kuma_Kuma_Bear_Punch,TV,Spring,2023,"Foschurose, Cliff",https://myanimelist.net/character/185859/Cliff_Foschurose,185859,Supporting,4
44204,Kyokou Suiri Season 2,https://myanimelist.net/anime/44204/Kyokou_Suiri_Season_2,TV,Winter,2023,"Jujoji, Ryoutarou",https://myanimelist.net/character/227188/Ryoutarou_Jujoji,227188,Supporting,1
42962,Uzaki-chan wa Asobitai! Double,https://myanimelist.net/anime/42962/Uzaki-chan_wa_Asobitai_Double,TV,Fall,2022,Kawakami,https://myanimelist.net/character/219027/Kawakami,219027,Supporting,0
50672,Sasaki to Miyano: Koi ni Kizuku Mae no Chotto Shita Hanashi.,https://myanimelist.net/anime/50672/Sasaki_to_Miyano__Koi_ni_Kizuku_Mae_no_Chotto_Shita_Hanashi,OVA,,2022,"Tashiro, Gonzaburou",https://myanimelist.net/character/169611/Gonzaburou_Tashiro,169611,Supporting,61
49776,Kumichou Musume to Sewagakari,https://myanimelist.net/anime/49776/Kumichou_Musume_to_Sewagakari,TV,Summer,2022,"Mashiro, Yuuri",https://myanimelist.net/character/207666/Yuuri_Mashiro,207666,Supporting,5
49738,Heike Monogatari,https://myanimelist.net/anime/49738/Heike_Monogatari,TV,Winter,2022,Prince Mochihito,https://myanimelist.net/character/203448/Prince_Mochihito,203448,Supporting,0
44055,Sasaki to Miyano,https://myanimelist.net/anime/44055/Sasaki_to_Miyano,TV,Winter,2022,"Tashiro, Gonzaburou",https://myanimelist.net/character/169611/Gonzaburou_Tashiro,169611,Supporting,61
45055,Taishou Otome Otogibanashi,https://myanimelist.net/anime/45055/Taishou_Otome_Otogibanashi,TV,Fall,2021,"Shiratori, Hakaru",https://myanimelist.net/character/155517/Hakaru_Shiratori,155517,Supporting,8
44203,Seirei Gensouki,https://myanimelist.net/anime/44203/Seirei_Gensouki,TV,Summer,2021,"Saga, Hayate",https://myanimelist.net/character/200667/Hayate_Saga,200667,Supporting,1
48406,Re-Main,https://myanimelist.net/anime/48406/Re-Main,TV,Summer,2021,"Ushimado, Yoshiharu",https://myanimelist.net/character/195212/Yoshiharu_Ushimado,195212,Supporting,26
40870,SSSS.Dynazenon,https://myanimelist.net/anime/40870/SSSSDynazenon,TV,Spring,2021,Juuga,https://myanimelist.net/character/189101/Juuga,189101,Supporting,2
40786,Skate-Leading☆Stars,https://myanimelist.net/anime/40786/Skate-Leading☆Stars,TV,Winter,2021,"Mochizuki, Akimitsu",https://myanimelist.net/character/179487/Akimitsu_Mochizuki,179487,Supporting,10
42897,Horimiya,https://myanimelist.net/anime/42897/Horimiya,TV,Winter,2021,"Iura, Shuu",https://myanimelist.net/character/66967/Shuu_Iura,66967,Supporting,408
41433,Akudama Drive,https://myanimelist.net/anime/41433/Akudama_Drive,TV,Fall,2020,Hacker,https://myanimelist.net/character/179402/Hacker,179402,Main,183
40974,Kuma Kuma Kuma Bear,https://myanimelist.net/anime/40974/Kuma_Kuma_Kuma_Bear,TV,Fall,2020,"Foschurose, Cliff",https://myanimelist.net/character/185859/Cliff_Foschurose,185859,Supporting,4
40421,Given Movie 1,https://myanimelist.net/anime/40421/Given_Movie_1,Movie,,2020,"Nakayama, Haruki",https://myanimelist.net/character/138197/Haruki_Nakayama,138197,Main,1604
40145,Yu☆Gi☆Oh! Sevens,https://myanimelist.net/anime/40145/Yu☆Gi☆Oh_Sevens,TV,Spring,2020,"Saionji, Nail",https://myanimelist.net/character/187291/Nail_Saionji,187291,Supporting,3
39533,Given,https://myanimelist.net/anime/39533/Given,TV,Summer,2019,"Nakayama, Haruki",https://myanimelist.net/character/138197/Haruki_Nakayama,138197,Main,1604
36106,Shingeki no Kyojin: Lost Girls,https://myanimelist.net/anime/36106/Shingeki_no_Kyojin__Lost_Girls,OVA,,2017,"Meade, Lou",https://myanimelist.net/character/153927/Lou_Meade,153927,Supporting,0
15133,Aoi Sekai no Chuushin de,https://myanimelist.net/anime/15133/Aoi_Sekai_no_Chuushin_de,TV Special,,2012,Tejilof,https://myanimelist.net/character/70073/Tejilof,70073,Main,7
5784,Ai no Kusabi (2012),https://myanimelist.net/anime/5784/Ai_no_Kusabi_2012,OVA,,2012,Daryl,https://myanimelist.net/character/20579/Daryl,20579,Supporting,1
7148,Ladies versus Butlers!,https://myanimelist.net/anime/7148/Ladies_versus_Butlers,TV,Winter,2010,"Todoroki, Shingo",https://myanimelist.net/character/29733/Shingo_Todoroki,29733,Supporting,1
1604,Katekyou Hitman Reborn!,https://myanimelist.net/anime/1604/Katekyou_Hitman_Reborn,TV,Fall,2006,Byakuran,https://myanimelist.net/character/10752/Byakuran,10752,Supporting,494
21,One Piece,https://myanimelist.net/anime/21/One_Piece,TV,Fall,1999,Hakugan,https://myanimelist.net/character/254813/Hakugan,254813,Supporting,0
