ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
55855,Kuroshitsuji: Kishuku Gakkou-hen,https://myanimelist.net/anime/55855/Kuroshitsuji__Kishuku_Gakkou-hen,TV,Spring,2024,Paula,https://myanimelist.net/character/19244/Paula,19244,Supporting,5
9136,Kuroshitsuji II Specials,https://myanimelist.net/anime/9136/Kuroshitsuji_II_Specials,Special,,2010,Paula,https://myanimelist.net/character/19244/Paula,19244,Supporting,5
6707,Kuroshitsuji II,https://myanimelist.net/anime/6707/Kuroshitsuji_II,TV,Summer,2010,Paula,https://myanimelist.net/character/19244/Paula,19244,Supporting,5
6791,Kanokon: Manatsu no Dai Shanikusai,https://myanimelist.net/anime/6791/Kanokon__Manatsu_no_Dai_Shanikusai,OVA,,2009,"Osakabe, Mio",https://myanimelist.net/character/13064/Mio_Osakabe,13064,Supporting,0
5216,D.C.if: Da Capo if,https://myanimelist.net/anime/5216/DCif__Da_Capo_if,OVA,,2008,"Mizukoshi, Moe",https://myanimelist.net/character/4507/Moe_Mizukoshi,4507,Supporting,17
4898,Kuroshitsuji,https://myanimelist.net/anime/4898/Kuroshitsuji,TV,Fall,2008,Paula,https://myanimelist.net/character/19244/Paula,19244,Supporting,5
4760,Kanokon Specials,https://myanimelist.net/anime/4760/Kanokon_Specials,Special,,2008,"Osakabe, Mio",https://myanimelist.net/character/13064/Mio_Osakabe,13064,Supporting,0
3503,Kanokon,https://myanimelist.net/anime/3503/Kanokon,TV,Spring,2008,"Osakabe, Mio",https://myanimelist.net/character/13064/Mio_Osakabe,13064,Supporting,0
1607,Venus Versus Virus,https://myanimelist.net/anime/1607/Venus_Versus_Virus,TV,Winter,2007,Ruka,https://myanimelist.net/character/27239/Ruka,27239,Supporting,3
99,Mai-Otome,https://myanimelist.net/anime/99/Mai-Otome,TV,Fall,2005,"Clochette, Miya",https://myanimelist.net/character/1213/Miya_Clochette,1213,Supporting,0
291,D.C.S.S: Da Capo Second Season,https://myanimelist.net/anime/291/DCSS__Da_Capo_Second_Season,TV,Summer,2005,"Mizukoshi, Moe",https://myanimelist.net/character/4507/Moe_Mizukoshi,4507,Supporting,17
126,Futakoi Alternative,https://myanimelist.net/anime/126/Futakoi_Alternative,TV,Spring,2005,"Sakurazuki, Kira",https://myanimelist.net/character/5032/Kira_Sakurazuki,5032,Supporting,4
125,Futakoi,https://myanimelist.net/anime/125/Futakoi,TV,Fall,2004,"Sakurazuki, Kira",https://myanimelist.net/character/5032/Kira_Sakurazuki,5032,Main,4
98,Mai-HiME,https://myanimelist.net/anime/98/Mai-HiME,TV,Fall,2004,"Suzuki, Miya",https://myanimelist.net/character/245854/Miya_Suzuki,245854,Supporting,0
62,D.C.: Da Capo,https://myanimelist.net/anime/62/DC__Da_Capo,TV,Summer,2003,"Mizukoshi, Moe",https://myanimelist.net/character/4507/Moe_Mizukoshi,4507,Supporting,17
