ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
8017,Soukou Kihei Votoms: Genei-hen,https://myanimelist.net/anime/8017/Soukou_Kihei_Votoms__Genei-hen,OVA,,2010,"Shako, Ru",https://myanimelist.net/character/21829/Ru_Shako,21829,Supporting,0
3000,Taiho Shichau zo: Full Throttle,https://myanimelist.net/anime/3000/Taiho_Shichau_zo__Full_Throttle,TV,Fall,2007,Kachou,https://myanimelist.net/character/12471/Kachou,12471,Supporting,4
2010,Taiho Shichau zo in America,https://myanimelist.net/anime/2010/Taiho_Shichau_zo_in_America,TV Special,,2002,Kachou,https://myanimelist.net/character/12471/Kachou,12471,Supporting,4
2014,Taiho Shichau zo: Second Season,https://myanimelist.net/anime/2014/Taiho_Shichau_zo__Second_Season,TV,Spring,2001,Kachou,https://myanimelist.net/character/12471/Kachou,12471,Supporting,4
2013,Taiho Shichau zo The Movie,https://myanimelist.net/anime/2013/Taiho_Shichau_zo_The_Movie,Movie,,1999,Kachou,https://myanimelist.net/character/12471/Kachou,12471,Supporting,4
4162,Taiho Shichau zo: Nagisa no Koutsuu Yuudou,https://myanimelist.net/anime/4162/Taiho_Shichau_zo__Nagisa_no_Koutsuu_Yuudou,TV Special,,1999,Kachou,https://myanimelist.net/character/12471/Kachou,12471,Supporting,4
2011,Taiho Shichau zo Special,https://myanimelist.net/anime/2011/Taiho_Shichau_zo_Special,TV,Spring,1999,Kachou,https://myanimelist.net/character/12471/Kachou,12471,Supporting,4
1372,Taiho Shichau zo (TV),https://myanimelist.net/anime/1372/Taiho_Shichau_zo_TV,TV,Fall,1996,Kachou,https://myanimelist.net/character/12471/Kachou,12471,Supporting,4
1577,Taiho Shichau zo,https://myanimelist.net/anime/1577/Taiho_Shichau_zo,OVA,,1994,Kachou,https://myanimelist.net/character/12471/Kachou,12471,Supporting,4
1832,Project Zeorymer,https://myanimelist.net/anime/1832/Project_Zeorymer,OVA,,1988,Masato's Father,https://myanimelist.net/character/223370/Masato_039_s_Father,223370,Supporting,0
3014,Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,https://myanimelist.net/anime/3014/Ginga_Eiyuu_Densetsu__Waga_Yuku_wa_Hoshi_no_Taikai,Movie,,1988,"Greenhill, Dwight",https://myanimelist.net/character/124350/Dwight_Greenhill,124350,Supporting,0
820,Ginga Eiyuu Densetsu,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,OVA,,1988,"Greenhill, Dwight",https://myanimelist.net/character/124350/Dwight_Greenhill,124350,Supporting,0
925,Transformers: The☆Headmasters,https://myanimelist.net/anime/925/Transformers__The☆Headmasters,TV,Summer,1987,Soundwave,https://myanimelist.net/character/4239/Soundwave,4239,Supporting,62
1470,City Hunter,https://myanimelist.net/anime/1470/City_Hunter,TV,Spring,1987,Arnold,https://myanimelist.net/character/60489/Arnold,60489,Supporting,0
16514,Batsu & Terry,https://myanimelist.net/anime/16514/Batsu___Terry,Movie,,1987,"Andou, Katsumi",https://myanimelist.net/character/220264/Katsumi_Andou,220264,Supporting,0
2584,Soukou Kihei Votoms: Big Battle,https://myanimelist.net/anime/2584/Soukou_Kihei_Votoms__Big_Battle,OVA,,1986,"Shako, Ru",https://myanimelist.net/character/21829/Ru_Shako,21829,Supporting,0
19135,Kuroi Ame ni Utarete,https://myanimelist.net/anime/19135/Kuroi_Ame_ni_Utarete,Movie,,1984,"Ishioka, Shouzou",https://myanimelist.net/character/172443/Shouzou_Ishioka,172443,Supporting,1
2582,Soukou Kihei Votoms,https://myanimelist.net/anime/2582/Soukou_Kihei_Votoms,TV,Spring,1983,"Shako, Ru",https://myanimelist.net/character/21829/Ru_Shako,21829,Supporting,0
2257,Taiyou no Kiba Dougram,https://myanimelist.net/anime/2257/Taiyou_no_Kiba_Dougram,TV,Fall,1981,"Cashim, Rabin",https://myanimelist.net/character/39107/Rabin_Cashim,39107,Supporting,0
80,Kidou Senshi Gundam,https://myanimelist.net/anime/80/Kidou_Senshi_Gundam,TV,Spring,1979,Tokwan,https://myanimelist.net/character/129567/Tokwan,129567,Supporting,0
80,Kidou Senshi Gundam,https://myanimelist.net/anime/80/Kidou_Senshi_Gundam,TV,Spring,1979,"Cassius, Paolo",https://myanimelist.net/character/129553/Paolo_Cassius,129553,Supporting,0
80,Kidou Senshi Gundam,https://myanimelist.net/anime/80/Kidou_Senshi_Gundam,TV,Spring,1979,Gaia,https://myanimelist.net/character/129534/Gaia,129534,Supporting,1
283,Akage no Anne,https://myanimelist.net/anime/283/Akage_no_Anne,TV,Winter,1979,"Bell, William",https://myanimelist.net/character/260594/William_Bell,260594,Supporting,0
3811,Hoshi no Oujisama Petit Prince,https://myanimelist.net/anime/3811/Hoshi_no_Oujisama_Petit_Prince,TV,Summer,1978,Mayor,https://myanimelist.net/character/248968/Mayor,248968,Supporting,0
3811,Hoshi no Oujisama Petit Prince,https://myanimelist.net/anime/3811/Hoshi_no_Oujisama_Petit_Prince,TV,Summer,1978,Jean,https://myanimelist.net/character/249008/Jean,249008,Supporting,0
