ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
10330,Bakugan Battle Brawlers: Mechtanium Surge,https://myanimelist.net/anime/10330/Bakugan_Battle_Brawlers__Mechtanium_Surge,ONA,,2011,Soon,https://myanimelist.net/character/192028/Soon,192028,Supporting,0
31861,Tenchi Muyou! Ryououki 4th Season,https://myanimelist.net/anime/31861/Tenchi_Muyou_Ryououki_4th_Season,OVA,,2016,Gyokuren,https://myanimelist.net/character/156406/Gyokuren,156406,Supporting,0
25939,Mahou Shoujo Lyrical Nanoha ViVid,https://myanimelist.net/anime/25939/Mahou_Shoujo_Lyrical_Nanoha_ViVid,TV,Spring,2015,"Gracia, Carim",https://myanimelist.net/character/19594/Carim_Gracia,19594,Supporting,0
25429,Isuca,https://myanimelist.net/anime/25429/Isuca,TV,Winter,2015,"Asano, Mother",https://myanimelist.net/character/123877/Mother_Asano,123877,Supporting,0
8837,Taimanin Asagi Special,https://myanimelist.net/anime/8837/Taimanin_Asagi_Special,Special,,2009,"Igawa, Asagi",https://myanimelist.net/character/14560/Asagi_Igawa,14560,Main,262
3577,Kyouran Kazoku Nikki,https://myanimelist.net/anime/3577/Kyouran_Kazoku_Nikki,TV,Spring,2008,"Ryuukotsuji, Harukaze",https://myanimelist.net/character/13158/Harukaze_Ryuukotsuji,13158,Supporting,0
2156,Bakugan Battle Brawlers,https://myanimelist.net/anime/2156/Bakugan_Battle_Brawlers,TV,Spring,2007,Wyvern,https://myanimelist.net/character/185943/Wyvern,185943,Supporting,0
1915,Mahou Shoujo Lyrical Nanoha StrikerS,https://myanimelist.net/anime/1915/Mahou_Shoujo_Lyrical_Nanoha_StrikerS,TV,Spring,2007,"Gracia, Carim",https://myanimelist.net/character/19594/Carim_Gracia,19594,Supporting,0
3479,Taimanin Asagi,https://myanimelist.net/anime/3479/Taimanin_Asagi,OVA,,2007,"Igawa, Asagi",https://myanimelist.net/character/14560/Asagi_Igawa,14560,Main,262
2136,Front Innocent: Mou Hitotsu no Lady Innocent,https://myanimelist.net/anime/2136/Front_Innocent__Mou_Hitotsu_no_Lady_Innocent,OVA,,2005,Sophia,https://myanimelist.net/character/28907/Sophia,28907,Main,7
2352,Daiakuji: The Xena Buster,https://myanimelist.net/anime/2352/Daiakuji__The_Xena_Buster,OVA,,2003,"Takega, Satsu",https://myanimelist.net/character/23459/Satsu_Takega,23459,Supporting,7
1133,Tenchi Muyou! GXP,https://myanimelist.net/anime/1133/Tenchi_Muyou_GXP,TV,Spring,2002,Gyokuren,https://myanimelist.net/character/156406/Gyokuren,156406,Supporting,0
509,I My Me! Strawberry Eggs,https://myanimelist.net/anime/509/I_My_Me_Strawberry_Eggs,TV,Summer,2001,"Hirabaysahi, Yoshimi",https://myanimelist.net/character/244704/Yoshimi_Hirabaysahi,244704,Supporting,0
509,I My Me! Strawberry Eggs,https://myanimelist.net/anime/509/I_My_Me_Strawberry_Eggs,TV,Summer,2001,"Umeda, Mother",https://myanimelist.net/character/34875/Mother_Umeda,34875,Supporting,0
606,Kazemakase Tsukikage Ran,https://myanimelist.net/anime/606/Kazemakase_Tsukikage_Ran,TV,Winter,2000,"Okuma, Daigoro ",https://myanimelist.net/character/131994/Daigoro__Okuma,131994,Supporting,0
993,Dual! Parallel Runrun Monogatari Special,https://myanimelist.net/anime/993/Dual_Parallel_Runrun_Monogatari_Special,Special,,1999,"Hayase, Kaoru",https://myanimelist.net/character/119497/Kaoru_Hayase,119497,Supporting,0
95,Turn A Gundam,https://myanimelist.net/anime/95/Turn_A_Gundam,TV,Spring,1999,"Bond, Verlaine",https://myanimelist.net/character/124706/Verlaine_Bond,124706,Supporting,0
992,Dual! Parallel Lun-Lun Monogatari,https://myanimelist.net/anime/992/Dual_Parallel_Lun-Lun_Monogatari,TV,Spring,1999,"Hayase, Kaoru",https://myanimelist.net/character/119497/Kaoru_Hayase,119497,Supporting,0
1629,Devilman Lady,https://myanimelist.net/anime/1629/Devilman_Lady,TV,Fall,1998,"Sakazawa, Emiko",https://myanimelist.net/character/43948/Emiko_Sakazawa,43948,Supporting,0
810,Android Ana Maico 2010,https://myanimelist.net/anime/810/Android_Ana_Maico_2010,TV,Spring,1998,Izumi,https://myanimelist.net/character/23194/Izumi,23194,Supporting,0
235,Meitantei Conan,https://myanimelist.net/anime/235/Meitantei_Conan,TV,Winter,1996,Biyoushi A,https://myanimelist.net/character/180045/Biyoushi_A,180045,Supporting,0
