ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
34747,Meikoku Gakuen: Jutai-hen,https://myanimelist.net/anime/34747/Meikoku_Gakuen__Jutai-hen,OVA,,2017,"Ijuuin, Maya",https://myanimelist.net/character/153040/Maya_Ijuuin,153040,Supporting,1
31368,Grisaia no Rakuen Specials,https://myanimelist.net/anime/31368/Grisaia_no_Rakuen_Specials,Special,,2015,"Suou, Amane",https://myanimelist.net/character/80899/Amane_Suou,80899,Supporting,665
29095,Grisaia no Rakuen,https://myanimelist.net/anime/29095/Grisaia_no_Rakuen,TV,Spring,2015,"Suou, Amane",https://myanimelist.net/character/80899/Amane_Suou,80899,Main,665
29093,Grisaia no Meikyuu: Caprice no Mayu 0,https://myanimelist.net/anime/29093/Grisaia_no_Meikyuu__Caprice_no_Mayu_0,TV Special,,2015,"Suou, Amane",https://myanimelist.net/character/80899/Amane_Suou,80899,Supporting,665
29101,Grisaia no Kajitsu Specials,https://myanimelist.net/anime/29101/Grisaia_no_Kajitsu_Specials,Special,,2014,"Suou, Amane",https://myanimelist.net/character/80899/Amane_Suou,80899,Main,665
27363,Yakata: Kannou Kitan,https://myanimelist.net/anime/27363/Yakata__Kannou_Kitan,OVA,,2014,"Zenouji, Miki",https://myanimelist.net/character/119477/Miki_Zenouji,119477,Main,5
17729,Grisaia no Kajitsu,https://myanimelist.net/anime/17729/Grisaia_no_Kajitsu,TV,Fall,2014,"Suou, Amane",https://myanimelist.net/character/80899/Amane_Suou,80899,Main,665
21405,Bokura wa Minna Kawai-sou,https://myanimelist.net/anime/21405/Bokura_wa_Minna_Kawai-sou,TV,Spring,2014,"Usa, Mother",https://myanimelist.net/character/104923/Mother_Usa,104923,Supporting,3
19151,Walkure Romanze,https://myanimelist.net/anime/19151/Walkure_Romanze,TV,Fall,2013,"Eostre, Lisa",https://myanimelist.net/character/77431/Lisa_Eostre,77431,Main,17
18653,JK to Orc Heidan: Aku Buta Oni ni Ryougyaku Sareta Seijo Gakuen,https://myanimelist.net/anime/18653/JK_to_Orc_Heidan__Aku_Buta_Oni_ni_Ryougyaku_Sareta_Seijo_Gakuen,OVA,,2013,"Natsume, Reika",https://myanimelist.net/character/88713/Reika_Natsume,88713,Main,3
