ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
278,Viewtiful Joe,https://myanimelist.net/anime/278/Viewtiful_Joe,TV,Fall,2004,"Davidson, Hulk",https://myanimelist.net/character/13353/Hulk_Davidson,13353,Supporting,2
1377,Uchuu Koukyoushi Maetel: Ginga Tetsudou 999 Gaiden,https://myanimelist.net/anime/1377/Uchuu_Koukyoushi_Maetel__Ginga_Tetsudou_999_Gaiden,TV,Summer,2004,Yattaran,https://myanimelist.net/character/14004/Yattaran,14004,Supporting,2
565,Steamboy,https://myanimelist.net/anime/565/Steamboy,Movie,,2004,"Simon, Archibald",https://myanimelist.net/character/8344/Archibald_Simon,8344,Supporting,0
1081,Space Pirate Captain Herlock: Outside Legend - The Endless Odyssey,https://myanimelist.net/anime/1081/Space_Pirate_Captain_Herlock__Outside_Legend_-_The_Endless_Odyssey,OVA,,2002,Dr. Zero,https://myanimelist.net/character/30862/Dr_Zero,30862,Supporting,0
1677,Young Herlock wo Oe! Cosmo Warrior Zero Gaiden,https://myanimelist.net/anime/1677/Young_Herlock_wo_Oe_Cosmo_Warrior_Zero_Gaiden,TV Special,,2002,Yattaran,https://myanimelist.net/character/14004/Yattaran,14004,Supporting,2
1706,Gun Frontier,https://myanimelist.net/anime/1706/Gun_Frontier,TV,Spring,2002,Dr. Suruski,https://myanimelist.net/character/141548/Dr_Suruski,141548,Supporting,0
9817,McDull: Gushi,https://myanimelist.net/anime/9817/McDull__Gushi,Movie,,2001,Headmaster,https://myanimelist.net/character/95765/Headmaster,95765,Main,0
1676,Cosmo Warrior Zero,https://myanimelist.net/anime/1676/Cosmo_Warrior_Zero,TV,Summer,2001,Yattaran,https://myanimelist.net/character/14004/Yattaran,14004,Supporting,2
21,One Piece,https://myanimelist.net/anime/21/One_Piece,TV,Fall,1999,Pappug,https://myanimelist.net/character/19311/Pappug,19311,Supporting,7
21,One Piece,https://myanimelist.net/anime/21/One_Piece,TV,Fall,1999,Pekoms,https://myanimelist.net/character/54499/Pekoms,54499,Supporting,5
136,Hunter x Hunter,https://myanimelist.net/anime/136/Hunter_x_Hunter,TV,Fall,1999,Gido,https://myanimelist.net/character/64513/Gido,64513,Supporting,1
136,Hunter x Hunter,https://myanimelist.net/anime/136/Hunter_x_Hunter,TV,Fall,1999,Tonpa,https://myanimelist.net/character/22522/Tonpa,22522,Supporting,115
136,Hunter x Hunter,https://myanimelist.net/anime/136/Hunter_x_Hunter,TV,Fall,1999,Beans,https://myanimelist.net/character/53271/Beans,53271,Supporting,116
1442,Alexander Senki,https://myanimelist.net/anime/1442/Alexander_Senki,TV,Summer,1999,Diogenes,https://myanimelist.net/character/8180/Diogenes,8180,Supporting,3
1645,Herlock Saga: Nibelung no Yubiwa,https://myanimelist.net/anime/1645/Herlock_Saga__Nibelung_no_Yubiwa,OVA,,1999,Yattaran,https://myanimelist.net/character/14004/Yattaran,14004,Supporting,2
1,Cowboy Bebop,https://myanimelist.net/anime/1/Cowboy_Bebop,TV,Spring,1998,Doctor Baccus,https://myanimelist.net/character/131439/Doctor_Baccus,131439,Supporting,0
4651,Yume no Crayon Oukoku,https://myanimelist.net/anime/4651/Yume_no_Crayon_Oukoku,TV,Fall,1997,Prime Minister Chameleon,https://myanimelist.net/character/41330/Prime_Minister_Chameleon,41330,Supporting,1
1520,Black Jack,https://myanimelist.net/anime/1520/Black_Jack,OVA,,1993,"Crossworth, Monabis ",https://myanimelist.net/character/23465/Monabis__Crossworth,23465,Supporting,1
3061,Kishin Heidan,https://myanimelist.net/anime/3061/Kishin_Heidan,OVA,,1993,"Shinkai, Matoi",https://myanimelist.net/character/10048/Matoi_Shinkai,10048,Supporting,1
2624,"Flanders no Inu, Boku no Patrasche",https://myanimelist.net/anime/2624/Flanders_no_Inu_Boku_no_Patrasche,TV,Fall,1992,Patrasche,https://myanimelist.net/character/19688/Patrasche,19688,Main,10
578,Hotaru no Haka,https://myanimelist.net/anime/578/Hotaru_no_Haka,Movie,,1988,Farmer,https://myanimelist.net/character/222076/Farmer,222076,Supporting,3
2341,Choujin Densetsu Urotsukidouji,https://myanimelist.net/anime/2341/Choujin_Densetsu_Urotsukidouji,OVA,,1987,Suikakujyu,https://myanimelist.net/character/61099/Suikakujyu,61099,Supporting,2
791,Arion,https://myanimelist.net/anime/791/Arion,Movie,,1986,Ares,https://myanimelist.net/character/126552/Ares,126552,Supporting,0
791,Arion,https://myanimelist.net/anime/791/Arion,Movie,,1986,Hades,https://myanimelist.net/character/126556/Hades,126556,Supporting,0
791,Arion,https://myanimelist.net/anime/791/Arion,Movie,,1986,Zeus,https://myanimelist.net/character/126557/Zeus,126557,Supporting,1
1302,Sayonara Ginga Tetsudou 999: Andromeda Shuuchakueki,https://myanimelist.net/anime/1302/Sayonara_Ginga_Tetsudou_999__Andromeda_Shuuchakueki,Movie,,1981,The Conductor,https://myanimelist.net/character/14490/The_Conductor,14490,Supporting,24
4514,Seton Doubutsuki: Kuma no Ko Jacky,https://myanimelist.net/anime/4514/Seton_Doubutsuki__Kuma_no_Ko_Jacky,TV,Summer,1977,Rocky Ojii-san,https://myanimelist.net/character/90439/Rocky_Ojii-san,90439,Supporting,0
3481,Grendizer: Getter Robo G - Great Mazinger Kessen! Daikaijuu,https://myanimelist.net/anime/3481/Grendizer__Getter_Robo_G_-_Great_Mazinger_Kessen_Daikaijuu,Movie,,1976,Boss,https://myanimelist.net/character/14500/Boss,14500,Main,23
