ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
57554,Rurouni Kenshin: Meiji Kenkaku Romantan - Kyoto Douran,https://myanimelist.net/anime/57554/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Kyoto_Douran,TV,Fall,2024,"Kariwa, Henya",https://myanimelist.net/character/48411/Henya_Kariwa,48411,Supporting,0
53580,Tensei shitara Slime Datta Ken 3rd Season,https://myanimelist.net/anime/53580/Tensei_shitara_Slime_Datta_Ken_3rd_Season,TV,Spring,2024,Gaston,https://myanimelist.net/character/249823/Gaston,249823,Supporting,0
56566,Beyblade X,https://myanimelist.net/anime/56566/Beyblade_X,TV,Fall,2023,"Fujiwara, Burn",https://myanimelist.net/character/242366/Burn_Fujiwara,242366,Supporting,0
50613,Rurouni Kenshin: Meiji Kenkaku Romantan (2023),https://myanimelist.net/anime/50613/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_2023,TV,Summer,2023,"Katsura, Kogoro",https://myanimelist.net/character/18863/Kogoro_Katsura,18863,Supporting,2
52657,Ousama Ranking: Yuuki no Takarabako,https://myanimelist.net/anime/52657/Ousama_Ranking__Yuuki_no_Takarabako,TV,Spring,2023,Judge,https://myanimelist.net/character/214739/Judge,214739,Supporting,0
49612,Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu,https://myanimelist.net/anime/49612/Ningen_Fushin_no_Boukensha-tachi_ga_Sekai_wo_Sukuu_you_desu,TV,Winter,2023,Hale,https://myanimelist.net/character/225725/Hale,225725,Supporting,0
51098,Shinobi no Ittoki,https://myanimelist.net/anime/51098/Shinobi_no_Ittoki,TV,Fall,2022,"Goshogawara, Hayato",https://myanimelist.net/character/216255/Hayato_Goshogawara,216255,Supporting,0
50265,Spy x Family,https://myanimelist.net/anime/50265/Spy_x_Family,TV,Spring,2022,Bondman's Boss,https://myanimelist.net/character/211227/Bondmans_Boss,211227,Supporting,1
49969,Tribe Nine,https://myanimelist.net/anime/49969/Tribe_Nine,TV,Winter,2022,"Gotanda, Yutaka",https://myanimelist.net/character/204124/Yutaka_Gotanda,204124,Supporting,0
48483,Mieruko-chan,https://myanimelist.net/anime/48483/Mieruko-chan,TV,Fall,2021,"Rousoku, Junji",https://myanimelist.net/character/202323/Junji_Rousoku,202323,Supporting,0
48505,Hanyou no Yashahime: Sengoku Otogizoushi - Ni no Shou,https://myanimelist.net/anime/48505/Hanyou_no_Yashahime__Sengoku_Otogizoushi_-_Ni_no_Shou,TV,Fall,2021,"Kirin, Osamu",https://myanimelist.net/character/235629/Osamu_Kirin,235629,Supporting,0
48505,Hanyou no Yashahime: Sengoku Otogizoushi - Ni no Shou,https://myanimelist.net/anime/48505/Hanyou_no_Yashahime__Sengoku_Otogizoushi_-_Ni_no_Shou,TV,Fall,2021,Kirinmaru,https://myanimelist.net/character/191486/Kirinmaru,191486,Supporting,2
40911,Yuukoku no Moriarty,https://myanimelist.net/anime/40911/Yuukoku_no_Moriarty,TV,Fall,2020,Earl of Argleton,https://myanimelist.net/character/192595/Earl_of_Argleton,192595,Supporting,0
41911,Hanyou no Yashahime: Sengoku Otogizoushi,https://myanimelist.net/anime/41911/Hanyou_no_Yashahime__Sengoku_Otogizoushi,TV,Fall,2020,Kirinmaru,https://myanimelist.net/character/191486/Kirinmaru,191486,Supporting,2
41911,Hanyou no Yashahime: Sengoku Otogizoushi,https://myanimelist.net/anime/41911/Hanyou_no_Yashahime__Sengoku_Otogizoushi,TV,Fall,2020,"Kirin, Osamu",https://myanimelist.net/character/235629/Osamu_Kirin,235629,Supporting,0
37438,Ingress the Animation,https://myanimelist.net/anime/37438/Ingress_the_Animation,TV,Fall,2018,"Kunikida, Jion",https://myanimelist.net/character/165057/Jion_Kunikida,165057,Supporting,0
37651,Fate/Extra: Last Encore - Illustrias Tendousetsu,https://myanimelist.net/anime/37651/Fate_Extra__Last_Encore_-_Illustrias_Tendousetsu,TV,Summer,2018,"H. Pieceman, Twice",https://myanimelist.net/character/163759/Twice_H_Pieceman,163759,Supporting,3
33531,Juushinki Pandora,https://myanimelist.net/anime/33531/Juushinki_Pandora,TV,Spring,2018,Sieg,https://myanimelist.net/character/160369/Sieg,160369,Supporting,1
33047,Fate/Extra: Last Encore,https://myanimelist.net/anime/33047/Fate_Extra__Last_Encore,TV,Winter,2018,"H. Pieceman, Twice",https://myanimelist.net/character/163759/Twice_H_Pieceman,163759,Supporting,3
34662,Fate/Apocrypha,https://myanimelist.net/anime/34662/Fate_Apocrypha,TV,Summer,2017,Merlin,https://myanimelist.net/character/147065/Merlin,147065,Supporting,462
23321,Log Horizon 2nd Season,https://myanimelist.net/anime/23321/Log_Horizon_2nd_Season,TV,Fall,2014,Dinkuron,https://myanimelist.net/character/134297/Dinkuron,134297,Supporting,0
16498,Shingeki no Kyojin,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin,TV,Spring,2013,Instructor,https://myanimelist.net/character/84323/Instructor,84323,Supporting,3
16498,Shingeki no Kyojin,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin,TV,Spring,2013,"Dietrich, Ian",https://myanimelist.net/character/84333/Ian_Dietrich,84333,Supporting,10
12929,Saint Seiya Omega,https://myanimelist.net/anime/12929/Saint_Seiya_Omega,TV,Spring,2012,"Hound, Miguel",https://myanimelist.net/character/133798/Miguel_Hound,133798,Supporting,0
