ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
1482,D.Gray-man,https://myanimelist.net/anime/1482/DGray-man,TV,Fall,2006,Millennium Earl,https://myanimelist.net/character/858/Millennium_Earl,858,Supporting,240
1257,Saint Seiya: Meiou Hades Juuni Kyuu-hen,https://myanimelist.net/anime/1257/Saint_Seiya__Meiou_Hades_Juuni_Kyuu-hen,OVA,,2002,"Libra, Douko",https://myanimelist.net/character/16734/Douko_Libra,16734,Supporting,103
1117,Pokemon Movie 02: Maboroshi no Pokemon Lugia Bakutan,https://myanimelist.net/anime/1117/Pokemon_Movie_02__Maboroshi_no_Pokemon_Lugia_Bakutan,Movie,,1999,Ashia Island Elder,https://myanimelist.net/character/220322/Ashia_Island_Elder,220322,Supporting,0
2076,Kindaichi Shounen no Jikenbo,https://myanimelist.net/anime/2076/Kindaichi_Shounen_no_Jikenbo,TV,Spring,1997,"Takigawa, Kahoru",https://myanimelist.net/character/59877/Kahoru_Takigawa,59877,Supporting,0
527,Pokemon,https://myanimelist.net/anime/527/Pokemon,TV,Spring,1997,Genzou,https://myanimelist.net/character/230019/Genzou,230019,Supporting,0
527,Pokemon,https://myanimelist.net/anime/527/Pokemon,TV,Spring,1997,Loch,https://myanimelist.net/character/230020/Loch,230020,Supporting,0
235,Meitantei Conan,https://myanimelist.net/anime/235/Meitantei_Conan,TV,Winter,1996,"Kaneshiro, Genichirou",https://myanimelist.net/character/35750/Genichirou_Kaneshiro,35750,Supporting,1
235,Meitantei Conan,https://myanimelist.net/anime/235/Meitantei_Conan,TV,Winter,1996,"Iwata, Juukichi",https://myanimelist.net/character/180559/Juukichi_Iwata,180559,Supporting,0
235,Meitantei Conan,https://myanimelist.net/anime/235/Meitantei_Conan,TV,Winter,1996,Policeman,https://myanimelist.net/character/214840/Policeman,214840,Supporting,0
235,Meitantei Conan,https://myanimelist.net/anime/235/Meitantei_Conan,TV,Winter,1996,"Tanaka, Kazuyoshi",https://myanimelist.net/character/214841/Kazuyoshi_Tanaka,214841,Supporting,0
235,Meitantei Conan,https://myanimelist.net/anime/235/Meitantei_Conan,TV,Winter,1996,"Tsugawa, Shuuji",https://myanimelist.net/character/214842/Shuuji_Tsugawa,214842,Supporting,1
1800,Battle Fighters Garou Densetsu 2,https://myanimelist.net/anime/1800/Battle_Fighters_Garou_Densetsu_2,TV Special,,1993,"Tung, Fu Rue",https://myanimelist.net/character/77927/Fu_Rue_Tung,77927,Supporting,0
1799,Battle Fighters Garou Densetsu,https://myanimelist.net/anime/1799/Battle_Fighters_Garou_Densetsu,TV Special,,1992,"Tung, Fu Rue",https://myanimelist.net/character/77927/Fu_Rue_Tung,77927,Supporting,0
1044,Taiyou no Ouji: Horus no Daibouken,https://myanimelist.net/anime/1044/Taiyou_no_Ouji__Horus_no_Daibouken,Movie,,1968,Father Hols,https://myanimelist.net/character/161434/Father_Hols,161434,Supporting,0
