ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
58939,Sakamoto Days,https://myanimelist.net/anime/58939/Sakamoto_Days,TV,Winter,2025,Boiled,https://myanimelist.net/character/200708/Boiled,200708,Supporting,12
58510,Hanma Baki vs. Kengan Ashura,https://myanimelist.net/anime/58510/Hanma_Baki_vs_Kengan_Ashura,ONA,,2024,"Dudley, Adam",https://myanimelist.net/character/157687/Adam_Dudley,157687,Supporting,5
51535,Shingeki no Kyojin: The Final Season - Kanketsu-hen,https://myanimelist.net/anime/51535/Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen,TV Special,,2023,Muller,https://myanimelist.net/character/225912/Muller,225912,Supporting,1
47194,Summertime Render,https://myanimelist.net/anime/47194/Summertime_Render,TV,Spring,2022,"Hishigata, Shidehiko",https://myanimelist.net/character/175495/Shidehiko_Hishigata,175495,Supporting,42
38668,Dorohedoro,https://myanimelist.net/anime/38668/Dorohedoro,TV,Winter,2020,Tanba,https://myanimelist.net/character/79441/Tanba,79441,Supporting,5
40269,Kengan Ashura Part 2,https://myanimelist.net/anime/40269/Kengan_Ashura_Part_2,ONA,,2019,"Dudley, Adam",https://myanimelist.net/character/157687/Adam_Dudley,157687,Supporting,5
37521,Vinland Saga,https://myanimelist.net/anime/37521/Vinland_Saga,TV,Summer,2019,"Erikson, Leif",https://myanimelist.net/character/19486/Leif_Erikson,19486,Supporting,101
33352,Violet Evergarden,https://myanimelist.net/anime/33352/Violet_Evergarden,TV,Winter,2018,"Munter, Eckhart",https://myanimelist.net/character/159048/Eckhart_Munter,159048,Supporting,0
30458,"Tokyo Ghoul: ""Jack""",https://myanimelist.net/anime/30458/Tokyo_Ghoul__Jack,OVA,,2015,"Marude, Itsuki",https://myanimelist.net/character/113841/Itsuki_Marude,113841,Supporting,9
22043,Fairy Tail (2014),https://myanimelist.net/anime/22043/Fairy_Tail_2014,TV,Spring,2014,"Mine, Wakaba",https://myanimelist.net/character/31153/Wakaba_Mine,31153,Supporting,1
12049,Fairy Tail Movie 1: Houou no Miko,https://myanimelist.net/anime/12049/Fairy_Tail_Movie_1__Houou_no_Miko,Movie,,2012,"Mine, Wakaba",https://myanimelist.net/character/31153/Wakaba_Mine,31153,Supporting,1
6702,Fairy Tail,https://myanimelist.net/anime/6702/Fairy_Tail,TV,Fall,2009,"Mine, Wakaba",https://myanimelist.net/character/31153/Wakaba_Mine,31153,Supporting,1
6702,Fairy Tail,https://myanimelist.net/anime/6702/Fairy_Tail,TV,Fall,2009,Wakaba (Edolas),https://myanimelist.net/character/220779/Wakaba_Edolas,220779,Supporting,0
