ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
56835,Code Geass: Dakkan no Rozé,https://myanimelist.net/anime/56835/Code_Geass__Dakkan_no_Rozé,ONA,,2024,"Ema, Mei",https://myanimelist.net/character/246542/Mei_Ema,246542,Supporting,0
58449,Suki demo Kirai na Amanojaku,https://myanimelist.net/anime/58449/Suki_demo_Kirai_na_Amanojaku,Movie,,2024,Mei,https://myanimelist.net/character/249476/Mei,249476,Supporting,0
52741,Undead Unluck,https://myanimelist.net/anime/52741/Undead_Unluck,TV,Fall,2023,Yusai,https://myanimelist.net/character/237073/Yusai,237073,Supporting,1
53833,Watashi no Oshi wa Akuyaku Reijou.,https://myanimelist.net/anime/53833/Watashi_no_Oshi_wa_Akuyaku_Reijou,TV,Fall,2023,"Jur, Misha",https://myanimelist.net/character/209861/Misha_Jur,209861,Supporting,9
54141,Bastard!! Ankoku no Hakaishin: Jigoku no Chinkonka-hen,https://myanimelist.net/anime/54141/Bastard_Ankoku_no_Hakaishin__Jigoku_no_Chinkonka-hen,ONA,,2023,"Arshes, Nei",https://myanimelist.net/character/17705/Nei_Arshes,17705,Supporting,55
52031,Itou Junji: Maniac,https://myanimelist.net/anime/52031/Itou_Junji__Maniac,ONA,,2023,Koyama,https://myanimelist.net/character/220402/Koyama,220402,Supporting,0
52305,Tomo-chan wa Onnanoko!,https://myanimelist.net/anime/52305/Tomo-chan_wa_Onnanoko,TV,Winter,2023,"Aizawa, Tomo",https://myanimelist.net/character/132225/Tomo_Aizawa,132225,Main,1288
48542,Do It Yourself!!,https://myanimelist.net/anime/48542/Do_It_Yourself,TV,Fall,2022,"Hoketsu, Haruko",https://myanimelist.net/character/215889/Haruko_Hoketsu,215889,Supporting,0
51366,Bastard!! Ankoku no Hakaishin Part 2 (ONA),https://myanimelist.net/anime/51366/Bastard_Ankoku_no_Hakaishin_Part_2_ONA,ONA,,2022,"Arshes, Nei",https://myanimelist.net/character/17705/Nei_Arshes,17705,Supporting,55
51837,Saikin Yatotta Maid ga Ayashii,https://myanimelist.net/anime/51837/Saikin_Yatotta_Maid_ga_Ayashii,TV,Summer,2022,Fujisaki,https://myanimelist.net/character/212137/Fujisaki,212137,Supporting,8
42994,Jashin-chan Dropkick X,https://myanimelist.net/anime/42994/Jashin-chan_Dropkick_X,TV,Summer,2022,Pekora,https://myanimelist.net/character/129235/Pekora,129235,Supporting,136
50953,Bastard!! Ankoku no Hakaishin (ONA),https://myanimelist.net/anime/50953/Bastard_Ankoku_no_Hakaishin_ONA,ONA,,2022,"Arshes, Nei",https://myanimelist.net/character/17705/Nei_Arshes,17705,Supporting,55
49930,Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2,https://myanimelist.net/anime/49930/Genjitsu_Shugi_Yuusha_no_Oukoku_Saikenki_Part_2,TV,Winter,2022,"Maxwell, Genia",https://myanimelist.net/character/191828/Genia_Maxwell,191828,Supporting,4
48858,180-byou de Kimi no Mimi wo Shiawase ni Dekiru ka?,https://myanimelist.net/anime/48858/180-byou_de_Kimi_no_Mimi_wo_Shiawase_ni_Dekiru_ka,TV,Fall,2021,"Sawake, Hikari",https://myanimelist.net/character/203103/Hikari_Sawake,203103,Main,2
49730,Pokemon Evolutions,https://myanimelist.net/anime/49730/Pokemon_Evolutions,ONA,,2021,White,https://myanimelist.net/character/37490/White,37490,Supporting,41
48492,Scarlet Nexus,https://myanimelist.net/anime/48492/Scarlet_Nexus,TV,Summer,2021,"Eden, Kyouka",https://myanimelist.net/character/196970/Kyouka_Eden,196970,Supporting,7
41456,"Sentouin, Haken shimasu!",https://myanimelist.net/anime/41456/Sentouin_Haken_shimasu,TV,Spring,2021,Grimm,https://myanimelist.net/character/180684/Grimm,180684,Main,76
43690,Tenkuu Shinpan,https://myanimelist.net/anime/43690/Tenkuu_Shinpan,ONA,,2021,Maid-fuku Kamen,https://myanimelist.net/character/135187/Maid-fuku_Kamen,135187,Supporting,28
42897,Horimiya,https://myanimelist.net/anime/42897/Horimiya,TV,Winter,2021,"Yoshikawa, Yuki",https://myanimelist.net/character/66963/Yuki_Yoshikawa,66963,Supporting,1505
41379,Kimi wa Kanata,https://myanimelist.net/anime/41379/Kimi_wa_Kanata,Movie,,2020,"Miyamasu, Mio",https://myanimelist.net/character/179037/Mio_Miyamasu,179037,Main,7
41168,Nakitai Watashi wa Neko wo Kaburu,https://myanimelist.net/anime/41168/Nakitai_Watashi_wa_Neko_wo_Kaburu,ONA,,2020,"Mizutani, Kaoru",https://myanimelist.net/character/182812/Kaoru_Mizutani,182812,Supporting,0
37345,Plunderer,https://myanimelist.net/anime/37345/Plunderer,TV,Winter,2020,Pelmo,https://myanimelist.net/character/133436/Pelmo,133436,Supporting,1
39196,Mairimashita! Iruma-kun,https://myanimelist.net/anime/39196/Mairimashita_Iruma-kun,TV,Fall,2019,Haruno,https://myanimelist.net/character/220182/Haruno,220182,Supporting,0
34866,Yu☆Gi☆Oh! VRAINS,https://myanimelist.net/anime/34866/Yu☆Gi☆Oh_VRAINS,TV,Spring,2017,Aqua,https://myanimelist.net/character/165195/Aqua,165195,Supporting,0
34034,Pokemon Sun & Moon,https://myanimelist.net/anime/34034/Pokemon_Sun___Moon,TV,Fall,2016,Hapuu,https://myanimelist.net/character/169484/Hapuu,169484,Supporting,2
28617,Punch Line,https://myanimelist.net/anime/28617/Punch_Line,TV,Spring,2015,"Hikiotani, Ito",https://myanimelist.net/character/124023/Ito_Hikiotani,124023,Main,32
15699,Haiyore! Nyaruko-san W,https://myanimelist.net/anime/15699/Haiyore_Nyaruko-san_W,TV,Spring,2013,Cthuko,https://myanimelist.net/character/31419/Cthuko,31419,Main,561
11785,Haiyore! Nyaruko-san,https://myanimelist.net/anime/11785/Haiyore_Nyaruko-san,TV,Spring,2012,Cthuko,https://myanimelist.net/character/31419/Cthuko,31419,Main,561
10079,Hoshizora e Kakaru Hashi,https://myanimelist.net/anime/10079/Hoshizora_e_Kakaru_Hashi,TV,Spring,2011,"Hinata, Ibuki",https://myanimelist.net/character/39228/Ibuki_Hinata,39228,Main,89
6045,Kimi ni Todoke,https://myanimelist.net/anime/6045/Kimi_ni_Todoke,TV,Fall,2009,"Yoshida, Chizuru",https://myanimelist.net/character/13532/Chizuru_Yoshida,13532,Main,817
5356,Canaan,https://myanimelist.net/anime/5356/Canaan,TV,Summer,2009,Yunyun,https://myanimelist.net/character/20736/Yunyun,20736,Supporting,30
6030,Needless,https://myanimelist.net/anime/6030/Needless,TV,Summer,2009,"Hagiba, Kasumi",https://myanimelist.net/character/28316/Kasumi_Hagiba,28316,Supporting,0
4081,Natsume Yuujinchou,https://myanimelist.net/anime/4081/Natsume_Yuujinchou,TV,Summer,2008,Sasago,https://myanimelist.net/character/43497/Sasago,43497,Supporting,0
2404,Zombie-Loan,https://myanimelist.net/anime/2404/Zombie-Loan,TV,Summer,2007,"Kita, Michiru",https://myanimelist.net/character/3203/Michiru_Kita,3203,Main,50
1604,Katekyou Hitman Reborn!,https://myanimelist.net/anime/1604/Katekyou_Hitman_Reborn,TV,Fall,2006,"Dokuro, Chrome",https://myanimelist.net/character/5013/Chrome_Dokuro,5013,Main,619
