ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
52196,Date A Live V,https://myanimelist.net/anime/52196/Date_A_Live_V,TV,Spring,2024,"Kawagoe, Kyouji",https://myanimelist.net/character/86887/Kyouji_Kawagoe,86887,Supporting,5
51673,Shaman King: Flowers,https://myanimelist.net/anime/51673/Shaman_King__Flowers,TV,Winter,2024,Yasu,https://myanimelist.net/character/256793/Yasu,256793,Supporting,0
46569,Jigokuraku,https://myanimelist.net/anime/46569/Jigokuraku,TV,Spring,2023,"Adachi, Matagorou",https://myanimelist.net/character/205590/Matagorou_Adachi,205590,Supporting,2
50275,Sword Art Online: Progressive Movie - Kuraki Yuuyami no Scherzo,https://myanimelist.net/anime/50275/Sword_Art_Online__Progressive_Movie_-_Kuraki_Yuuyami_no_Scherzo,Movie,,2022,Morte,https://myanimelist.net/character/133754/Morte,133754,Supporting,3
50612,Dr. Stone: Ryuusui,https://myanimelist.net/anime/50612/Dr_Stone__Ryuusui,TV Special,,2022,Mantle,https://myanimelist.net/character/210354/Mantle,210354,Supporting,0
41461,Date A Live IV,https://myanimelist.net/anime/41461/Date_A_Live_IV,TV,Spring,2022,"Kawagoe, Kyouji",https://myanimelist.net/character/86887/Kyouji_Kawagoe,86887,Supporting,5
48561,Jujutsu Kaisen 0 Movie,https://myanimelist.net/anime/48561/Jujutsu_Kaisen_0_Movie,Movie,,2021,"Kusakabe, Atsuya",https://myanimelist.net/character/184437/Atsuya_Kusakabe,184437,Supporting,44
44961,Platinum End,https://myanimelist.net/anime/44961/Platinum_End,TV,Fall,2021,"Hatakeyama, Shougo",https://myanimelist.net/character/203099/Shougo_Hatakeyama,203099,Supporting,0
43969,Kanojo mo Kanojo,https://myanimelist.net/anime/43969/Kanojo_mo_Kanojo,TV,Summer,2021,Mirika's Father,https://myanimelist.net/character/202077/Mirikas_Father,202077,Supporting,2
40852,Dr. Stone: Stone Wars,https://myanimelist.net/anime/40852/Dr_Stone__Stone_Wars,TV,Winter,2021,Mantle,https://myanimelist.net/character/210354/Mantle,210354,Supporting,0
40028,Shingeki no Kyojin: The Final Season,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season,TV,Winter,2021,Koslow,https://myanimelist.net/character/171373/Koslow,171373,Supporting,0
40911,Yuukoku no Moriarty,https://myanimelist.net/anime/40911/Yuukoku_no_Moriarty,TV,Fall,2020,"Bale, Dudley",https://myanimelist.net/character/189095/Dudley_Bale,189095,Supporting,0
41345,Noblesse,https://myanimelist.net/anime/41345/Noblesse,TV,Fall,2020,"Kertia, Ragar",https://myanimelist.net/character/66233/Ragar_Kertia,66233,Supporting,5
40221,Kami no Tou,https://myanimelist.net/anime/40221/Kami_no_Tou,TV,Spring,2020,Hatz,https://myanimelist.net/character/178108/Hatz,178108,Supporting,162
