ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
57334,Dandadan,https://myanimelist.net/anime/57334/Dandadan,TV,Fall,2024,"Enjouji, Jin",https://myanimelist.net/character/204713/Jin_Enjouji,204713,Supporting,327
59274,T.P BON Season 2,https://myanimelist.net/anime/59274/TP_BON_Season_2,ONA,,2024,"Namihira, Bon",https://myanimelist.net/character/190045/Bon_Namihira,190045,Main,2
56840,T.P BON,https://myanimelist.net/anime/56840/TP_BON,ONA,,2024,"Namihira, Bon",https://myanimelist.net/character/190045/Bon_Namihira,190045,Main,2
54856,Horimiya: Piece,https://myanimelist.net/anime/54856/Horimiya__Piece,TV,Summer,2023,"Mizouchi, Daiki",https://myanimelist.net/character/72457/Daiki_Mizouchi,72457,Supporting,1
52865,Romantic Killer,https://myanimelist.net/anime/52865/Romantic_Killer,ONA,,2022,"Koganei, Hijiri",https://myanimelist.net/character/217766/Hijiri_Koganei,217766,Main,46
44511,Chainsaw Man,https://myanimelist.net/anime/44511/Chainsaw_Man,TV,Fall,2022,"Kurose, Yuutarou",https://myanimelist.net/character/184168/Yuutarou_Kurose,184168,Supporting,7
52046,"Yuusha Party wo Tsuihou sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau",https://myanimelist.net/anime/52046/Yuusha_Party_wo_Tsuihou_sareta_Beast_Tamer_Saikyoushu_no_Nekomimi_Shoujo_to_Deau,TV,Fall,2022,"Shroud, Rein",https://myanimelist.net/character/199489/Rein_Shroud,199489,Main,72
50346,Yofukashi no Uta,https://myanimelist.net/anime/50346/Yofukashi_no_Uta,TV,Summer,2022,"Yamori, Kou",https://myanimelist.net/character/177824/Kou_Yamori,177824,Main,703
39175,Cider no You ni Kotoba ga Wakiagaru,https://myanimelist.net/anime/39175/Cider_no_You_ni_Kotoba_ga_Wakiagaru,Movie,,2021,Beaver,https://myanimelist.net/character/199693/Beaver,199693,Supporting,4
42897,Horimiya,https://myanimelist.net/anime/42897/Horimiya,TV,Winter,2021,"Mizouchi, Daiki",https://myanimelist.net/character/72457/Daiki_Mizouchi,72457,Supporting,1
40935,Beastars 2nd Season,https://myanimelist.net/anime/40935/Beastars_2nd_Season,TV,Winter,2021,Voss,https://myanimelist.net/character/174973/Voss,174973,Supporting,5
40935,Beastars 2nd Season,https://myanimelist.net/anime/40935/Beastars_2nd_Season,TV,Winter,2021,Zoe,https://myanimelist.net/character/174975/Zoe,174975,Supporting,0
40542,Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,https://myanimelist.net/anime/40542/Saiki_Kusuo_no_Ψ-nan__Ψ-shidou-hen,ONA,,2019,"Satou, Hiroshi",https://myanimelist.net/character/160568/Hiroshi_Satou,160568,Supporting,23
39574,Levius,https://myanimelist.net/anime/39574/Levius,ONA,,2019,"Cromwell, Levius",https://myanimelist.net/character/156281/Levius_Cromwell,156281,Main,25
39195,Beastars,https://myanimelist.net/anime/39195/Beastars,TV,Fall,2019,Voss,https://myanimelist.net/character/174973/Voss,174973,Supporting,5
39195,Beastars,https://myanimelist.net/anime/39195/Beastars,TV,Fall,2019,Zoe,https://myanimelist.net/character/174975/Zoe,174975,Supporting,0
