ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
54857,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,https://myanimelist.net/anime/54857/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_3rd_Season,TV,Fall,2024,"Pearlbaton, Tivey",https://myanimelist.net/character/143739/Tivey_Pearlbaton,143739,Supporting,7
42364,Re:Zero kara Hajimeru Break Time 2nd Season,https://myanimelist.net/anime/42364/Re_Zero_kara_Hajimeru_Break_Time_2nd_Season,Special,,2020,"Pearlbaton, Tivey",https://myanimelist.net/character/143739/Tivey_Pearlbaton,143739,Supporting,7
31240,Re:Zero kara Hajimeru Isekai Seikatsu,https://myanimelist.net/anime/31240/Re_Zero_kara_Hajimeru_Isekai_Seikatsu,TV,Spring,2016,"Pearlbaton, Tivey",https://myanimelist.net/character/143739/Tivey_Pearlbaton,143739,Supporting,7
31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai,TV,Spring,2016,"Hazamada, Toshikazu",https://myanimelist.net/character/124199/Toshikazu_Hazamada,124199,Supporting,13
31746,Dochamon Junior,https://myanimelist.net/anime/31746/Dochamon_Junior,TV,Fall,2015,Shiro,https://myanimelist.net/character/134063/Shiro,134063,Main,0
18179,Yowamushi Pedal,https://myanimelist.net/anime/18179/Yowamushi_Pedal,TV,Fall,2013,"Kawada, Takuya",https://myanimelist.net/character/106925/Takuya_Kawada,106925,Supporting,0
16928,Hiiro no Kakera: Totsugeki! Tonari no Ikemenzu,https://myanimelist.net/anime/16928/Hiiro_no_Kakera__Totsugeki_Tonari_no_Ikemenzu,OVA,,2013,"Inukai, Shinji",https://myanimelist.net/character/53843/Shinji_Inukai,53843,Main,10
12365,Bakuman. 3rd Season,https://myanimelist.net/anime/12365/Bakuman_3rd_Season,TV,Fall,2012,"Takahama, Shouyou",https://myanimelist.net/character/30290/Shouyou_Takahama,30290,Supporting,1
14645,Hiiro no Kakera 2nd Season,https://myanimelist.net/anime/14645/Hiiro_no_Kakera_2nd_Season,TV,Fall,2012,"Inukai, Shinji",https://myanimelist.net/character/53843/Shinji_Inukai,53843,Main,10
12965,Jewelpet Movie: Sweets Dance Princess,https://myanimelist.net/anime/12965/Jewelpet_Movie__Sweets_Dance_Princess,Movie,,2012,Duke Creme de Brulee,https://myanimelist.net/character/129732/Duke_Creme_de_Brulee,129732,Supporting,0
11761,Medaka Box,https://myanimelist.net/anime/11761/Medaka_Box,TV,Spring,2012,"Yuubaru, Kizashi",https://myanimelist.net/character/68203/Kizashi_Yuubaru,68203,Supporting,0
12461,Hiiro no Kakera,https://myanimelist.net/anime/12461/Hiiro_no_Kakera,TV,Spring,2012,"Inukai, Shinji",https://myanimelist.net/character/53843/Shinji_Inukai,53843,Main,10
10717,Towa no Quon 6: Towa no Quon,https://myanimelist.net/anime/10717/Towa_no_Quon_6__Towa_no_Quon,Movie,,2011,"Mitsuchi, Towa",https://myanimelist.net/character/75902/Towa_Mitsuchi,75902,Supporting,1
