ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
57592,Dr. Stone: Science Future,https://myanimelist.net/anime/57592/Dr_Stone__Science_Future,TV,Winter,2025,"Hanada, Niki",https://myanimelist.net/character/184127/Niki_Hanada,184127,Supporting,20
58502,Zenshuu.,https://myanimelist.net/anime/58502/Zenshuu,TV,Winter,2025,"Fukushima, Naomi",https://myanimelist.net/character/262051/Naomi_Fukushima,262051,Supporting,1
58502,Zenshuu.,https://myanimelist.net/anime/58502/Zenshuu,TV,Winter,2025,Naomi,https://myanimelist.net/character/262608/Naomi,262608,Supporting,1
54794,Metallic Rouge,https://myanimelist.net/anime/54794/Metallic_Rouge,TV,Winter,2024,"Chau, Rachel",https://myanimelist.net/character/244036/Rachel_Chau,244036,Supporting,0
55644,Dr. Stone: New World Part 2,https://myanimelist.net/anime/55644/Dr_Stone__New_World_Part_2,TV,Fall,2023,"Hanada, Niki",https://myanimelist.net/character/184127/Niki_Hanada,184127,Supporting,20
48549,Dr. Stone: New World,https://myanimelist.net/anime/48549/Dr_Stone__New_World,TV,Spring,2023,"Hanada, Niki",https://myanimelist.net/character/184127/Niki_Hanada,184127,Supporting,20
46569,Jigokuraku,https://myanimelist.net/anime/46569/Jigokuraku,TV,Spring,2023,Ju Fa,https://myanimelist.net/character/173095/Ju_Fa,173095,Supporting,6
46569,Jigokuraku,https://myanimelist.net/anime/46569/Jigokuraku,TV,Spring,2023,Gui Fa,https://myanimelist.net/character/173099/Gui_Fa,173099,Supporting,3
52305,Tomo-chan wa Onnanoko!,https://myanimelist.net/anime/52305/Tomo-chan_wa_Onnanoko,TV,Winter,2023,"Aizawa, Akemi",https://myanimelist.net/character/143800/Akemi_Aizawa,143800,Supporting,66
50612,Dr. Stone: Ryuusui,https://myanimelist.net/anime/50612/Dr_Stone__Ryuusui,TV Special,,2022,"Hanada, Niki",https://myanimelist.net/character/184127/Niki_Hanada,184127,Supporting,20
38192,Sakugan,https://myanimelist.net/anime/38192/Sakugan,TV,Fall,2021,Sina,https://myanimelist.net/character/204274/Sina,204274,Supporting,0
40852,Dr. Stone: Stone Wars,https://myanimelist.net/anime/40852/Dr_Stone__Stone_Wars,TV,Winter,2021,"Hanada, Niki",https://myanimelist.net/character/184127/Niki_Hanada,184127,Supporting,20
37202,Radiant,https://myanimelist.net/anime/37202/Radiant,TV,Fall,2018,Hameline,https://myanimelist.net/character/174928/Hameline,174928,Supporting,66
29785,Jitsu wa Watashi wa,https://myanimelist.net/anime/29785/Jitsu_wa_Watashi_wa,TV,Summer,2015,"Koumoto, Akari",https://myanimelist.net/character/126305/Akari_Koumoto,126305,Supporting,20
1559,Shijou Saikyou no Deshi Kenichi,https://myanimelist.net/anime/1559/Shijou_Saikyou_no_Deshi_Kenichi,TV,Fall,2006,"Nanjou, Kisara",https://myanimelist.net/character/3086/Kisara_Nanjou,3086,Supporting,99
21,One Piece,https://myanimelist.net/anime/21/One_Piece,TV,Fall,1999,Viola,https://myanimelist.net/character/85557/Viola,85557,Supporting,28
