ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
34440,Code Geass: Hangyaku no Lelouch III - Oudou,https://myanimelist.net/anime/34440/Code_Geass__Hangyaku_no_Lelouch_III_-_Oudou,Movie,,2018,"ne Britannia, Carine",https://myanimelist.net/character/38902/Carine_ne_Britannia,38902,Supporting,1
33354,Cardcaptor Sakura: Clear Card-hen,https://myanimelist.net/anime/33354/Cardcaptor_Sakura__Clear_Card-hen,TV,Winter,2018,"Yanagisawa, Naoko",https://myanimelist.net/character/7139/Naoko_Yanagisawa,7139,Supporting,3
32872,Energy Kyouka!!,https://myanimelist.net/anime/32872/Energy_Kyouka,OVA,,2016,"Houjou, Erina",https://myanimelist.net/character/139711/Erina_Houjou,139711,Main,28
25877,Demonion: Gaiden,https://myanimelist.net/anime/25877/Demonion__Gaiden,OVA,,2014,Zilliola,https://myanimelist.net/character/122061/Zilliola,122061,Main,1
23333,DRAMAtical Murder,https://myanimelist.net/anime/23333/DRAMAtical_Murder,TV,Summer,2014,Mio,https://myanimelist.net/character/109911/Mio,109911,Supporting,1
13785,Uhou Renka,https://myanimelist.net/anime/13785/Uhou_Renka,OVA,,2012,"Tsukayama, Nagisa ",https://myanimelist.net/character/92901/Nagisa__Tsukayama,92901,Main,5
11745,Aku no Onna Kanbu,https://myanimelist.net/anime/11745/Aku_no_Onna_Kanbu,OVA,,2011,Serena,https://myanimelist.net/character/95089/Serena,95089,Main,2
10546,Rinkan Club,https://myanimelist.net/anime/10546/Rinkan_Club,OVA,,2011,"Nakamura, Shiori",https://myanimelist.net/character/75670/Shiori_Nakamura,75670,Main,6
10280,Uchuu Kaizoku Sara Special,https://myanimelist.net/anime/10280/Uchuu_Kaizoku_Sara_Special,Special,,2010,"Scorpion, Sara",https://myanimelist.net/character/26373/Sara_Scorpion,26373,Main,42
9588,Kyouiku Shidou The Animation,https://myanimelist.net/anime/9588/Kyouiku_Shidou_The_Animation,OVA,,2010,"Honjou, Yuzuki",https://myanimelist.net/character/124178/Yuzuki_Honjou,124178,Supporting,0
9328,Shoujo Senki Soul Eater,https://myanimelist.net/anime/9328/Shoujo_Senki_Soul_Eater,OVA,,2010,"Genda, Benio",https://myanimelist.net/character/36916/Benio_Genda,36916,Main,1
7774,"Shin Koihime†Musou: Gunyuu, Minami no Shima de Bakansu wo Suru no Koto - Ato, Porori mo Aru yo!",https://myanimelist.net/anime/7774/Shin_Koihime†Musou__Gunyuu_Minami_no_Shima_de_Bakansu_wo_Suru_no_Koto_-_Ato_Porori_mo_Aru_yo,OVA,,2010,"Shiryuu, Chouun",https://myanimelist.net/character/14336/Chouun_Shiryuu,14336,Main,33
7655,Major S6,https://myanimelist.net/anime/7655/Major_S6,TV,Spring,2010,"Shimizu, Mother",https://myanimelist.net/character/98273/Mother_Shimizu,98273,Supporting,0
8057,Shin Koihime†Musou: Otome Tairan,https://myanimelist.net/anime/8057/Shin_Koihime†Musou__Otome_Tairan,TV,Spring,2010,"Shiryuu, Chouun",https://myanimelist.net/character/14336/Chouun_Shiryuu,14336,Main,33
8635,Shin Koihime†Musou: Live Revolution,https://myanimelist.net/anime/8635/Shin_Koihime†Musou__Live_Revolution,OVA,,2010,"Shiryuu, Chouun",https://myanimelist.net/character/14336/Chouun_Shiryuu,14336,Supporting,33
7411,Kanojo x Kanojo x Kanojo: Sanshimai to no Dokidoki Kyoudou Seikatsu,https://myanimelist.net/anime/7411/Kanojo_x_Kanojo_x_Kanojo__Sanshimai_to_no_Dokidoki_Kyoudou_Seikatsu,OVA,,2009,"Orifushi, Natsumi",https://myanimelist.net/character/29079/Natsumi_Orifushi,29079,Main,59
6112,Shin Koihime†Musou,https://myanimelist.net/anime/6112/Shin_Koihime†Musou,TV,Fall,2009,"Shiryuu, Chouun",https://myanimelist.net/character/14336/Chouun_Shiryuu,14336,Main,33
7179,Makai Tenshi Djibril 3,https://myanimelist.net/anime/7179/Makai_Tenshi_Djibril_3,OVA,,2009,Loveriel,https://myanimelist.net/character/24377/Loveriel,24377,Main,10
6690,Anata dake Konbanwa,https://myanimelist.net/anime/6690/Anata_dake_Konbanwa,OVA,,2009,"Rokuhira, Sakurako",https://myanimelist.net/character/125522/Sakurako_Rokuhira,125522,Main,0
6768,Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,https://myanimelist.net/anime/6768/Code_Geass__Hangyaku_no_Lelouch_R2_Special_Edition_-_Zero_Requiem,OVA,,2009,"ne Britannia, Carine",https://myanimelist.net/character/38902/Carine_ne_Britannia,38902,Supporting,1
5305,"Koihime†Musou: Gunyuu, Seitoukaichou no Za wo Neratte Aiarasou no Koto - Ato, Porori mo Aru yo!",https://myanimelist.net/anime/5305/Koihime†Musou__Gunyuu_Seitoukaichou_no_Za_wo_Neratte_Aiarasou_no_Koto_-_Ato_Porori_mo_Aru_yo,OVA,,2009,"Shiryuu, Chouun",https://myanimelist.net/character/14336/Chouun_Shiryuu,14336,Main,33
5653,Mahou Shoujo Ai San: The Anime,https://myanimelist.net/anime/5653/Mahou_Shoujo_Ai_San__The_Anime,OVA,,2009,Mayu,https://myanimelist.net/character/26326/Mayu,26326,Supporting,1
5653,Mahou Shoujo Ai San: The Anime,https://myanimelist.net/anime/5653/Mahou_Shoujo_Ai_San__The_Anime,OVA,,2009,"Mochizuki, Yukari",https://myanimelist.net/character/20742/Yukari_Mochizuki,20742,Supporting,1
5028,Major S5,https://myanimelist.net/anime/5028/Major_S5,TV,Winter,2009,"Shimizu, Mother",https://myanimelist.net/character/98273/Mother_Shimizu,98273,Supporting,0
4262,Koihime†Musou,https://myanimelist.net/anime/4262/Koihime†Musou,TV,Summer,2008,"Shiryuu, Chouun",https://myanimelist.net/character/14336/Chouun_Shiryuu,14336,Main,33
4360,Uchuu Kaizoku Sara,https://myanimelist.net/anime/4360/Uchuu_Kaizoku_Sara,OVA,,2008,"Scorpion, Sara",https://myanimelist.net/character/26373/Sara_Scorpion,26373,Main,42
2904,Code Geass: Hangyaku no Lelouch R2,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2,TV,Spring,2008,"ne Britannia, Carine",https://myanimelist.net/character/38902/Carine_ne_Britannia,38902,Supporting,1
3680,Ai no Katachi: Ecchi na Onnanoko wa Kirai... desu ka?,https://myanimelist.net/anime/3680/Ai_no_Katachi__Ecchi_na_Onnanoko_wa_Kirai_desu_ka,OVA,,2008,"Morishita, Mayu",https://myanimelist.net/character/252778/Mayu_Morishita,252778,Main,0
1688,Nanatsu-iro★Drops,https://myanimelist.net/anime/1688/Nanatsu-iro★Drops,TV,Summer,2007,"Asamiya, Toua",https://myanimelist.net/character/40810/Toua_Asamiya,40810,Supporting,0
4027,Makai Tenshi Djibril: Episode 2,https://myanimelist.net/anime/4027/Makai_Tenshi_Djibril__Episode_2,OVA,,2007,Loveriel,https://myanimelist.net/character/24377/Loveriel,24377,Main,10
3970,Sentakuya Shin-chan,https://myanimelist.net/anime/3970/Sentakuya_Shin-chan,OVA,,2007,"Enomoto, Mari",https://myanimelist.net/character/30630/Mari_Enomoto,30630,Main,15
1856,Kimi ga Nozomu Eien: Ayu Mayu Gekijou,https://myanimelist.net/anime/1856/Kimi_ga_Nozomu_Eien__Ayu_Mayu_Gekijou,ONA,,2006,"Kouzuki, Yuuko",https://myanimelist.net/character/32569/Yuuko_Kouzuki,32569,Supporting,76
2394,Ma ga Ochiru Yoru,https://myanimelist.net/anime/2394/Ma_ga_Ochiru_Yoru,OVA,,2006,Miiti,https://myanimelist.net/character/30640/Miiti,30640,Supporting,0
2868,Kazama Mana,https://myanimelist.net/anime/2868/Kazama_Mana,OVA,,2006,"Kazama, Mana",https://myanimelist.net/character/53959/Mana_Kazama,53959,Main,5
5401,Mahou Shoujo Sae,https://myanimelist.net/anime/5401/Mahou_Shoujo_Sae,OVA,,2006,"Kusunoki, Sae",https://myanimelist.net/character/49789/Sae_Kusunoki,49789,Main,1
558,Major S2,https://myanimelist.net/anime/558/Major_S2,TV,Winter,2006,"Shimizu, Mother",https://myanimelist.net/character/98273/Mother_Shimizu,98273,Supporting,0
738,MÄR,https://myanimelist.net/anime/738/MÄR,TV,Spring,2005,Chappu,https://myanimelist.net/character/28814/Chappu,28814,Supporting,0
449,InuYasha Movie 4: Guren no Houraijima,https://myanimelist.net/anime/449/InuYasha_Movie_4__Guren_no_Houraijima,Movie,,2004,Ai,https://myanimelist.net/character/262267/Ai,262267,Supporting,0
