ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
57533,Youkai Gakkou no Sensei Hajimemashita!,https://myanimelist.net/anime/57533/Youkai_Gakkou_no_Sensei_Hajimemashita,TV,Fall,2024,Small Uncle,https://myanimelist.net/character/255522/Small_Uncle,255522,Supporting,0
54730,Kinnikuman: Kanpeki Chоujin Shiso-hen,https://myanimelist.net/anime/54730/Kinnikuman__Kanpeki_Chоujin_Shiso-hen,TV,Summer,2024,"Nakano, Kazuo",https://myanimelist.net/character/141167/Kazuo_Nakano,141167,Supporting,0
21755,Shin Tennis no Oujisama vs. Genius 10,https://myanimelist.net/anime/21755/Shin_Tennis_no_Oujisama_vs_Genius_10,OVA,,2014,"Hara, Tetsuya",https://myanimelist.net/character/259963/Tetsuya_Hara,259963,Supporting,0
22733,Dragon Collection,https://myanimelist.net/anime/22733/Dragon_Collection,TV,Spring,2014,"Blanc, Mont",https://myanimelist.net/character/117269/Mont_Blanc,117269,Supporting,0
21639,Yu☆Gi☆Oh! Arc-V,https://myanimelist.net/anime/21639/Yu☆Gi☆Oh_Arc-V,TV,Spring,2014,Yeager,https://myanimelist.net/character/23848/Yeager,23848,Supporting,5
13245,Shin Tennis no Oujisama Specials,https://myanimelist.net/anime/13245/Shin_Tennis_no_Oujisama_Specials,Special,,2012,"Hara, Tetsuya",https://myanimelist.net/character/259963/Tetsuya_Hara,259963,Supporting,0
5420,Kemono no Souja Erin,https://myanimelist.net/anime/5420/Kemono_no_Souja_Erin,TV,Winter,2009,Mokku,https://myanimelist.net/character/21406/Mokku,21406,Supporting,3
5231,Inazuma Eleven,https://myanimelist.net/anime/5231/Inazuma_Eleven,TV,Fall,2008,"Netsuha, Natsuhiko",https://myanimelist.net/character/36808/Natsuhiko_Netsuha,36808,Supporting,2
4081,Natsume Yuujinchou,https://myanimelist.net/anime/4081/Natsume_Yuujinchou,TV,Summer,2008,Mikuri,https://myanimelist.net/character/40914/Mikuri,40914,Supporting,0
3972,Yu☆Gi☆Oh! 5D's,https://myanimelist.net/anime/3972/Yu☆Gi☆Oh_5Ds,TV,Spring,2008,Yeager,https://myanimelist.net/character/23848/Yeager,23848,Supporting,5
2930,Tensai? Dr. Hamax,https://myanimelist.net/anime/2930/Tensai_Dr_Hamax,TV,Fall,2007,President,https://myanimelist.net/character/130835/President,130835,Supporting,0
1604,Katekyou Hitman Reborn!,https://myanimelist.net/anime/1604/Katekyou_Hitman_Reborn,TV,Fall,2006,Skull,https://myanimelist.net/character/5004/Skull,5004,Supporting,34
1961,Arashi no Yoru ni,https://myanimelist.net/anime/1961/Arashi_no_Yoru_ni,Movie,,2005,Bicchi,https://myanimelist.net/character/5725/Bicchi,5725,Supporting,0
751,Bomberman Jetters,https://myanimelist.net/anime/751/Bomberman_Jetters,TV,Fall,2002,Gangu,https://myanimelist.net/character/79717/Gangu,79717,Supporting,1
