ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
492,Armitage III: Dual-Matrix,https://myanimelist.net/anime/492/Armitage_III__Dual-Matrix,Movie,,2002,Security Manager,https://myanimelist.net/character/129860/Security_Manager,129860,Supporting,0
1658,Karakuri no Kimi,https://myanimelist.net/anime/1658/Karakuri_no_Kimi,OVA,,2000,Narrator,https://myanimelist.net/character/27810/Narrator,27810,Supporting,0
606,Kazemakase Tsukikage Ran,https://myanimelist.net/anime/606/Kazemakase_Tsukikage_Ran,TV,Winter,2000,Oharu's Father,https://myanimelist.net/character/131964/Oharus_Father,131964,Supporting,0
567,The Big O,https://myanimelist.net/anime/567/The_Big_O,TV,Fall,1999,"Burg, Norman",https://myanimelist.net/character/2254/Norman_Burg,2254,Main,15
55,Arc the Lad,https://myanimelist.net/anime/55/Arc_the_Lad,TV,Spring,1999,Gogen,https://myanimelist.net/character/240676/Gogen,240676,Supporting,0
33713,Seihou Bukyou Outlaw Star Specials,https://myanimelist.net/anime/33713/Seihou_Bukyou_Outlaw_Star_Specials,Special,,1998,"Khan, Gwen",https://myanimelist.net/character/18962/Gwen_Khan,18962,Supporting,2
6,Trigun,https://myanimelist.net/anime/6/Trigun,TV,Spring,1998,"the Puppet-Master, Leonof",https://myanimelist.net/character/18620/Leonof_the_Puppet-Master,18620,Supporting,0
6,Trigun,https://myanimelist.net/anime/6/Trigun,TV,Spring,1998,Stan,https://myanimelist.net/character/97813/Stan,97813,Supporting,0
400,Seihou Bukyou Outlaw Star,https://myanimelist.net/anime/400/Seihou_Bukyou_Outlaw_Star,TV,Winter,1998,"Khan, Gwen",https://myanimelist.net/character/18962/Gwen_Khan,18962,Supporting,2
2522,Rakushou! Hyper Doll,https://myanimelist.net/anime/2522/Rakushou_Hyper_Doll,OVA,,1995,Dr. Zaiclit,https://myanimelist.net/character/43055/Dr_Zaiclit,43055,Supporting,0
474,Macross Plus,https://myanimelist.net/anime/474/Macross_Plus,OVA,,1994,Gomez,https://myanimelist.net/character/132193/Gomez,132193,Supporting,0
882,Yuu☆Yuu☆Hakusho (Movie),https://myanimelist.net/anime/882/Yuu☆Yuu☆Hakusho_Movie,Movie,,1993,Tree Demon,https://myanimelist.net/character/28404/Tree_Demon,28404,Supporting,0
617,Juubee Ninpuuchou,https://myanimelist.net/anime/617/Juubee_Ninpuuchou,Movie,,1993,Mushizo,https://myanimelist.net/character/25503/Mushizo,25503,Supporting,0
1148,Teito Monogatari,https://myanimelist.net/anime/1148/Teito_Monogatari,OVA,,1991,Narrator,https://myanimelist.net/character/74972/Narrator,74972,Supporting,0
84,Kidou Senshi Gundam 0083: Stardust Memory,https://myanimelist.net/anime/84/Kidou_Senshi_Gundam_0083__Stardust_Memory,OVA,,1991,"Delaz, Aiguille",https://myanimelist.net/character/32070/Aiguille_Delaz,32070,Supporting,0
1796,Dirty Pair: The Movie,https://myanimelist.net/anime/1796/Dirty_Pair__The_Movie,Movie,,1987,Bruno,https://myanimelist.net/character/21325/Bruno,21325,Supporting,1
1760,Golgo 13,https://myanimelist.net/anime/1760/Golgo_13,Movie,,1983,Albert,https://myanimelist.net/character/57247/Albert,57247,Supporting,0
1430,Lupin III: Cagliostro no Shiro,https://myanimelist.net/anime/1430/Lupin_III__Cagliostro_no_Shiro,Movie,,1979,Jodo,https://myanimelist.net/character/11238/Jodo,11238,Supporting,2
