ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
59095,"Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu 2nd Season",https://myanimelist.net/anime/59095/Tensei_shitara_Dainana_Ouji_Datta_node_Kimama_ni_Majutsu_wo_Kiwamemasu_2nd_Season,TV,Summer,2025,Talia,https://myanimelist.net/character/248387/Talia,248387,Supporting,7
57380,Isekai Yururi Kikou: Kosodateshinagara Boukensha Shimasu,https://myanimelist.net/anime/57380/Isekai_Yururi_Kikou__Kosodateshinagara_Boukensha_Shimasu,TV,Summer,2024,Karen,https://myanimelist.net/character/254825/Karen,254825,Supporting,0
57892,"Hazurewaku no ""Joutai Ijou Skill"" de Saikyou ni Natta Ore ga Subete wo Juurin suru made",https://myanimelist.net/anime/57892/Hazurewaku_no_Joutai_Ijou_Skill_de_Saikyou_ni_Natta_Ore_ga_Subete_wo_Juurin_suru_made,TV,Summer,2024,Soul Eater,https://myanimelist.net/character/265606/Soul_Eater,265606,Supporting,0
57614,Shadowverse Flame: Arc-hen,https://myanimelist.net/anime/57614/Shadowverse_Flame__Arc-hen,TV,Spring,2024,"Valois, Marguerite",https://myanimelist.net/character/184551/Marguerite_Valois,184551,Supporting,0
52196,Date A Live V,https://myanimelist.net/anime/52196/Date_A_Live_V,TV,Spring,2024,"Shiizaki, Hinako",https://myanimelist.net/character/86891/Hinako_Shiizaki,86891,Supporting,4
53516,"Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu",https://myanimelist.net/anime/53516/Tensei_shitara_Dainana_Ouji_Datta_node_Kimama_ni_Majutsu_wo_Kiwamemasu,TV,Spring,2024,Talia,https://myanimelist.net/character/248387/Talia,248387,Supporting,7
52359,Isekai de Mofumofu Nadenade suru Tame ni Ganbattemasu.,https://myanimelist.net/anime/52359/Isekai_de_Mofumofu_Nadenade_suru_Tame_ni_Ganbattemasu,TV,Winter,2024,Sicily,https://myanimelist.net/character/244351/Sicily,244351,Supporting,1
39167,Girls & Panzer: Saishuushou Part 4,https://myanimelist.net/anime/39167/Girls___Panzer__Saishuushou_Part_4,Movie,,2023,Assam,https://myanimelist.net/character/69139/Assam,69139,Supporting,9
54854,Shadowverse Flame: Seven Shadows-hen,https://myanimelist.net/anime/54854/Shadowverse_Flame__Seven_Shadows-hen,TV,Summer,2023,"Valois, Marguerite",https://myanimelist.net/character/184551/Marguerite_Valois,184551,Supporting,0
50220,Isekai Shoukan wa Nidome desu,https://myanimelist.net/anime/50220/Isekai_Shoukan_wa_Nidome_desu,TV,Spring,2023,"Leonaire, Roa",https://myanimelist.net/character/224634/Roa_Leonaire,224634,Supporting,0
51705,Otonari ni Ginga,https://myanimelist.net/anime/51705/Otonari_ni_Ginga,TV,Spring,2023,Honami,https://myanimelist.net/character/231515/Honami,231515,Supporting,1
54042,Fate/Grand Order: Fujimaru Ritsuka wa Wakaranai,https://myanimelist.net/anime/54042/Fate_Grand_Order__Fujimaru_Ritsuka_wa_Wakaranai,ONA,,2023,"Katou, Danzou",https://myanimelist.net/character/180859/Danzou_Katou,180859,Supporting,3
52461,Rougo ni Sonaete Isekai de 8-manmai no Kinka wo Tamemasu,https://myanimelist.net/anime/52461/Rougo_ni_Sonaete_Isekai_de_8-manmai_no_Kinka_wo_Tamemasu,TV,Winter,2023,"von Bozes, Iris",https://myanimelist.net/character/224121/Iris_von_Bozes,224121,Supporting,1
51772,Umayuru,https://myanimelist.net/anime/51772/Umayuru,ONA,,2022,"Akasaka, Misato",https://myanimelist.net/character/182657/Misato_Akasaka,182657,Supporting,2
49179,Reiwa no Di Gi Charat,https://myanimelist.net/anime/49179/Reiwa_no_Di_Gi_Charat,TV,Fall,2022,Broccodes,https://myanimelist.net/character/198344/Broccodes,198344,Supporting,0
48542,Do It Yourself!!,https://myanimelist.net/anime/48542/Do_It_Yourself,TV,Fall,2022,Shii's Mother,https://myanimelist.net/character/222025/Shiis_Mother,222025,Supporting,2
51923,Warau Arsnotoria Sun!,https://myanimelist.net/anime/51923/Warau_Arsnotoria_Sun,TV,Summer,2022,Logaeth,https://myanimelist.net/character/216815/Logaeth,216815,Supporting,0
35335,Musashino!,https://myanimelist.net/anime/35335/Musashino,TV,Summer,2022,"Kamikizaki, Tokiwa",https://myanimelist.net/character/115825/Tokiwa_Kamikizaki,115825,Main,0
41461,Date A Live IV,https://myanimelist.net/anime/41461/Date_A_Live_IV,TV,Spring,2022,"Shiizaki, Hinako",https://myanimelist.net/character/86891/Hinako_Shiizaki,86891,Supporting,4
50060,Shadowverse Flame,https://myanimelist.net/anime/50060/Shadowverse_Flame,TV,Spring,2022,"Valois, Marguerite",https://myanimelist.net/character/184551/Marguerite_Valois,184551,Supporting,0
46095,Vivy: Fluorite Eye's Song,https://myanimelist.net/anime/46095/Vivy__Fluorite_Eyes_Song,TV,Spring,2021,Grace,https://myanimelist.net/character/194717/Grace,194717,Supporting,33
39722,Himote House: Dai Panic! Minna de Gokiburi Taiji,https://myanimelist.net/anime/39722/Himote_House__Dai_Panic_Minna_de_Gokiburi_Taiji,OVA,,2021,"Himote, Kokoro",https://myanimelist.net/character/157230/Kokoro_Himote,157230,Main,2
