ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
5114,Fullmetal Alchemist: Brotherhood,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,TV,Spring,2009,"Hughes, Gracia",https://myanimelist.net/character/10954/Gracia_Hughes,10954,Supporting,6
2034,Lovely★Complex,https://myanimelist.net/anime/2034/Lovely★Complex,TV,Spring,2007,"Ishihara, Nobuko",https://myanimelist.net/character/3023/Nobuko_Ishihara,3023,Supporting,169
1482,D.Gray-man,https://myanimelist.net/anime/1482/DGray-man,TV,Fall,2006,Lulu Bell,https://myanimelist.net/character/5229/Lulu_Bell,5229,Supporting,13
27,Trinity Blood,https://myanimelist.net/anime/27/Trinity_Blood,TV,Spring,2005,"Aslan, Astharoshe",https://myanimelist.net/character/2204/Astharoshe_Aslan,2204,Supporting,41
269,Bleach,https://myanimelist.net/anime/269/Bleach,TV,Fall,2004,"Ise, Nanao",https://myanimelist.net/character/3095/Nanao_Ise,3095,Supporting,56
597,Neko no Ongaeshi,https://myanimelist.net/anime/597/Neko_no_Ongaeshi,Movie,,2002,Natoru,https://myanimelist.net/character/7424/Natoru,7424,Supporting,14
1,Cowboy Bebop,https://myanimelist.net/anime/1/Cowboy_Bebop,TV,Spring,1998,Julia,https://myanimelist.net/character/2735/Julia,2735,Supporting,84
527,Pokemon,https://myanimelist.net/anime/527/Pokemon,TV,Spring,1997,Joy,https://myanimelist.net/character/7558/Joy,7558,Supporting,21
392,Yuu☆Yuu☆Hakusho,https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho,TV,Fall,1992,"Kuwabara, Shizuru",https://myanimelist.net/character/8595/Shizuru_Kuwabara,8595,Supporting,67
813,Dragon Ball Z,https://myanimelist.net/anime/813/Dragon_Ball_Z,TV,Spring,1989,Bra,https://myanimelist.net/character/2733/Bra,2733,Supporting,18
