ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
30030,Jewelpet Magical Change,https://myanimelist.net/anime/30030/Jewelpet_Magical_Change,TV,Spring,2015,Titana,https://myanimelist.net/character/33642/Titana,33642,Supporting,1
17497,Jewelpet Happiness,https://myanimelist.net/anime/17497/Jewelpet_Happiness,TV,Spring,2013,Titana,https://myanimelist.net/character/33642/Titana,33642,Supporting,1
12965,Jewelpet Movie: Sweets Dance Princess,https://myanimelist.net/anime/12965/Jewelpet_Movie__Sweets_Dance_Princess,Movie,,2012,Titana,https://myanimelist.net/character/33642/Titana,33642,Supporting,1
10359,Jewelpet Sunshine,https://myanimelist.net/anime/10359/Jewelpet_Sunshine,TV,Spring,2011,Titana,https://myanimelist.net/character/33642/Titana,33642,Main,1
8217,Jewelpet Twinkle☆,https://myanimelist.net/anime/8217/Jewelpet_Twinkle☆,TV,Spring,2010,Titana,https://myanimelist.net/character/33642/Titana,33642,Supporting,1
6586,Yume-iro Pâtissière,https://myanimelist.net/anime/6586/Yume-iro_Pâtissière,TV,Fall,2009,"Andou, Momoe",https://myanimelist.net/character/154186/Momoe_Andou,154186,Supporting,0
7082,Shugo Chara! Party!,https://myanimelist.net/anime/7082/Shugo_Chara_Party,TV,Fall,2009,"Hiiragi, Rikka",https://myanimelist.net/character/26427/Rikka_Hiiragi,26427,Main,4
1724,Saint October,https://myanimelist.net/anime/1724/Saint_October,TV,Winter,2007,Esmeralda,https://myanimelist.net/character/144703/Esmeralda,144703,Supporting,2
1562,Yamato Nadeshiko Shichihenge♥,https://myanimelist.net/anime/1562/Yamato_Nadeshiko_Shichihenge♥,TV,Fall,2006,"Kikonoe, Tamao",https://myanimelist.net/character/23224/Tamao_Kikonoe,23224,Supporting,1
1562,Yamato Nadeshiko Shichihenge♥,https://myanimelist.net/anime/1562/Yamato_Nadeshiko_Shichihenge♥,TV,Fall,2006,Roxanne,https://myanimelist.net/character/249635/Roxanne,249635,Supporting,0
280,Animal Yokochou,https://myanimelist.net/anime/280/Animal_Yokochou,TV,Fall,2005,"Matsuzaki, Ami",https://myanimelist.net/character/3530/Ami_Matsuzaki,3530,Main,4
