ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
34984,Koi wa Ameagari no You ni,https://myanimelist.net/anime/34984/Koi_wa_Ameagari_no_You_ni,TV,Winter,2018,Akira's Mother,https://myanimelist.net/character/159077/Akiras_Mother,159077,Supporting,0
16123,Saki: Zenkoku-hen,https://myanimelist.net/anime/16123/Saki__Zenkoku-hen,TV,Winter,2014,"Kumakura, Toshi",https://myanimelist.net/character/48733/Toshi_Kumakura,48733,Supporting,0
16123,Saki: Zenkoku-hen,https://myanimelist.net/anime/16123/Saki__Zenkoku-hen,TV,Winter,2014,"Hanibuchi, Kumiko",https://myanimelist.net/character/93173/Kumiko_Hanibuchi,93173,Supporting,0
15989,Saki Achiga-hen: Episode of Side-A Specials,https://myanimelist.net/anime/15989/Saki_Achiga-hen__Episode_of_Side-A_Specials,Special,,2013,"Hanibuchi, Kumiko",https://myanimelist.net/character/93173/Kumiko_Hanibuchi,93173,Supporting,0
10884,Saki Achiga-hen: Episode of Side-A,https://myanimelist.net/anime/10884/Saki_Achiga-hen__Episode_of_Side-A,TV,Spring,2012,"Kumakura, Toshi",https://myanimelist.net/character/48733/Toshi_Kumakura,48733,Supporting,0
7774,"Shin Koihime†Musou: Gunyuu, Minami no Shima de Bakansu wo Suru no Koto - Ato, Porori mo Aru yo!",https://myanimelist.net/anime/7774/Shin_Koihime†Musou__Gunyuu_Minami_no_Shima_de_Bakansu_wo_Suru_no_Koto_-_Ato_Porori_mo_Aru_yo,OVA,,2010,"Bun'en, Chouryou",https://myanimelist.net/character/15109/Chouryou_Bunen,15109,Supporting,1
8057,Shin Koihime†Musou: Otome Tairan,https://myanimelist.net/anime/8057/Shin_Koihime†Musou__Otome_Tairan,TV,Spring,2010,"Bun'en, Chouryou",https://myanimelist.net/character/15109/Chouryou_Bunen,15109,Supporting,1
7456,Discipline Zero,https://myanimelist.net/anime/7456/Discipline_Zero,OVA,,2010,"Nishizaki, Momone",https://myanimelist.net/character/29940/Momone_Nishizaki,29940,Main,2
5305,"Koihime†Musou: Gunyuu, Seitoukaichou no Za wo Neratte Aiarasou no Koto - Ato, Porori mo Aru yo!",https://myanimelist.net/anime/5305/Koihime†Musou__Gunyuu_Seitoukaichou_no_Za_wo_Neratte_Aiarasou_no_Koto_-_Ato_Porori_mo_Aru_yo,OVA,,2009,"Bun'en, Chouryou",https://myanimelist.net/character/15109/Chouryou_Bunen,15109,Supporting,1
5684,Fresh Precure!,https://myanimelist.net/anime/5684/Fresh_Precure,TV,Winter,2009,Chika's Mother,https://myanimelist.net/character/102757/Chikas_Mother,102757,Supporting,0
4262,Koihime†Musou,https://myanimelist.net/anime/4262/Koihime†Musou,TV,Summer,2008,"Bun'en, Chouryou",https://myanimelist.net/character/15109/Chouryou_Bunen,15109,Supporting,1
3944,Dokidoki Oyako Lesson: Oshiete H na Obenkyou,https://myanimelist.net/anime/3944/Dokidoki_Oyako_Lesson__Oshiete_H_na_Obenkyou,OVA,,2007,"Hitotsuya, Chidori",https://myanimelist.net/character/37144/Chidori_Hitotsuya,37144,Main,1
3771,"Nee, Chanto Shiyou Yo!",https://myanimelist.net/anime/3771/Nee_Chanto_Shiyou_Yo,OVA,,2005,"Hiiragi, Serori",https://myanimelist.net/character/22220/Serori_Hiiragi,22220,Main,9
8687,Doraemon (2005),https://myanimelist.net/anime/8687/Doraemon_2005,TV,Spring,2005,Martian Mom,https://myanimelist.net/character/260276/Martian_Mom,260276,Supporting,0
8687,Doraemon (2005),https://myanimelist.net/anime/8687/Doraemon_2005,TV,Spring,2005,Yocchan's Mom,https://myanimelist.net/character/261345/Yocchans_Mom,261345,Supporting,0
35686,Doraemon (2005) Specials,https://myanimelist.net/anime/35686/Doraemon_2005_Specials,TV Special,,2005,Rumi's Doll,https://myanimelist.net/character/261571/Rumi_039_s_Doll,261571,Supporting,0
706,Comic Party Revolution,https://myanimelist.net/anime/706/Comic_Party_Revolution,TV,Spring,2005,"Inagawa, Yuu",https://myanimelist.net/character/6683/Yuu_Inagawa,6683,Supporting,7
269,Bleach,https://myanimelist.net/anime/269/Bleach,TV,Fall,2004,"Asano, Mizuho",https://myanimelist.net/character/4357/Mizuho_Asano,4357,Supporting,5
255,Jungle wa Itsumo Hare nochi Guu Final,https://myanimelist.net/anime/255/Jungle_wa_Itsumo_Hare_nochi_Guu_Final,OVA,,2003,Weda,https://myanimelist.net/character/3190/Weda,3190,Main,11
748,True Love Story,https://myanimelist.net/anime/748/True_Love_Story,OVA,,2003,"Morisaki, Ruri",https://myanimelist.net/character/6023/Ruri_Morisaki,6023,Supporting,0
407,Tantei Gakuen Q,https://myanimelist.net/anime/407/Tantei_Gakuen_Q,TV,Spring,2003,Miss Kaori,https://myanimelist.net/character/109231/Miss_Kaori,109231,Supporting,0
2432,Discipline,https://myanimelist.net/anime/2432/Discipline,OVA,,2003,"Nishizaki, Momone",https://myanimelist.net/character/29940/Momone_Nishizaki,29940,Supporting,2
707,Comic Party Specials,https://myanimelist.net/anime/707/Comic_Party_Specials,Special,,2003,"Inagawa, Yuu",https://myanimelist.net/character/6683/Yuu_Inagawa,6683,Supporting,7
653,Galaxy Angel 3,https://myanimelist.net/anime/653/Galaxy_Angel_3,TV,Fall,2002,Goddess,https://myanimelist.net/character/263146/Goddess,263146,Supporting,0
254,Jungle wa Itsumo Hare nochi Guu Deluxe,https://myanimelist.net/anime/254/Jungle_wa_Itsumo_Hare_nochi_Guu_Deluxe,OVA,,2002,Weda,https://myanimelist.net/character/3190/Weda,3190,Main,11
4488,Keraku no Ou,https://myanimelist.net/anime/4488/Keraku_no_Ou,OVA,,2002,"Himenoki, Chihiro",https://myanimelist.net/character/244795/Chihiro_Himenoki,244795,Main,0
231,Asagiri no Miko,https://myanimelist.net/anime/231/Asagiri_no_Miko,TV,Summer,2002,"Rikiishi, Seiko",https://myanimelist.net/character/1841/Seiko_Rikiishi,1841,Main,0
175,Tokyo Underground,https://myanimelist.net/anime/175/Tokyo_Underground,TV,Spring,2002,"Rorec, Chelsea",https://myanimelist.net/character/8878/Chelsea_Rorec,8878,Main,6
991,Usagi-chan de Cue!!,https://myanimelist.net/anime/991/Usagi-chan_de_Cue,OVA,,2001,"Inaba, Mikami",https://myanimelist.net/character/17198/Mikami_Inaba,17198,Main,1
991,Usagi-chan de Cue!!,https://myanimelist.net/anime/991/Usagi-chan_de_Cue,OVA,,2001,Mimika,https://myanimelist.net/character/17196/Mimika,17196,Main,3
484,Gensoumaden Saiyuuki Movie: Requiem - Erabarezaru Mono e no Chinkonka,https://myanimelist.net/anime/484/Gensoumaden_Saiyuuki_Movie__Requiem_-_Erabarezaru_Mono_e_no_Chinkonka,Movie,,2001,Lirin,https://myanimelist.net/character/9267/Lirin,9267,Supporting,8
253,Jungle wa Itsumo Hare nochi Guu,https://myanimelist.net/anime/253/Jungle_wa_Itsumo_Hare_nochi_Guu,TV,Spring,2001,Weda,https://myanimelist.net/character/3190/Weda,3190,Main,11
289,Comic Party,https://myanimelist.net/anime/289/Comic_Party,TV,Spring,2001,"Inagawa, Yuu",https://myanimelist.net/character/6683/Yuu_Inagawa,6683,Supporting,7
249,InuYasha,https://myanimelist.net/anime/249/InuYasha,TV,Fall,2000,Vixen,https://myanimelist.net/character/262220/Vixen,262220,Supporting,0
129,Gensoumaden Saiyuuki,https://myanimelist.net/anime/129/Gensoumaden_Saiyuuki,TV,Spring,2000,Jeep,https://myanimelist.net/character/9511/Jeep,9511,Supporting,5
129,Gensoumaden Saiyuuki,https://myanimelist.net/anime/129/Gensoumaden_Saiyuuki,TV,Spring,2000,Lirin,https://myanimelist.net/character/9267/Lirin,9267,Supporting,8
783,Miami Guns,https://myanimelist.net/anime/783/Miami_Guns,TV,Winter,2000,Yao's Mother,https://myanimelist.net/character/259882/Yao_039_s_Mother,259882,Supporting,0
235,Meitantei Conan,https://myanimelist.net/anime/235/Meitantei_Conan,TV,Winter,1996,"Kimishima, Aoi",https://myanimelist.net/character/181172/Aoi_Kimishima,181172,Supporting,0
235,Meitantei Conan,https://myanimelist.net/anime/235/Meitantei_Conan,TV,Winter,1996,"Nakayama, Kazumi",https://myanimelist.net/character/182931/Kazumi_Nakayama,182931,Supporting,0
1199,Nintama Rantarou,https://myanimelist.net/anime/1199/Nintama_Rantarou,TV,Spring,1993,"Kitaishi, Teruyo",https://myanimelist.net/character/127774/Teruyo_Kitaishi,127774,Supporting,0
