ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
50306,Seirei Gensouki 2,https://myanimelist.net/anime/50306/Seirei_Gensouki_2,TV,Fall,2024,"Sumeragi, Satsuki",https://myanimelist.net/character/199293/Satsuki_Sumeragi,199293,Supporting,3
54743,Dead Mount Death Play Part 2,https://myanimelist.net/anime/54743/Dead_Mount_Death_Play_Part_2,TV,Fall,2023,"Swordfrail, Easlies",https://myanimelist.net/character/203928/Easlies_Swordfrail,203928,Supporting,1
54743,Dead Mount Death Play Part 2,https://myanimelist.net/anime/54743/Dead_Mount_Death_Play_Part_2,TV,Fall,2023,"Ajijou, Izuna",https://myanimelist.net/character/225474/Izuna_Ajijou,225474,Supporting,0
54743,Dead Mount Death Play Part 2,https://myanimelist.net/anime/54743/Dead_Mount_Death_Play_Part_2,TV,Fall,2023,"Shinoyama, Suzuka",https://myanimelist.net/character/229781/Suzuka_Shinoyama,229781,Supporting,0
40357,Tate no Yuusha no Nariagari Season 3,https://myanimelist.net/anime/40357/Tate_no_Yuusha_no_Nariagari_Season_3,TV,Fall,2023,"Melromarc, Mirelia Q",https://myanimelist.net/character/112927/Mirelia_Q_Melromarc,112927,Supporting,281
53876,Pokemon (2023),https://myanimelist.net/anime/53876/Pokemon_2023,TV,Spring,2023,Kaede,https://myanimelist.net/character/246664/Kaede,246664,Supporting,1
53613,Dead Mount Death Play,https://myanimelist.net/anime/53613/Dead_Mount_Death_Play,TV,Spring,2023,"Swordfrail, Easlies",https://myanimelist.net/character/203928/Easlies_Swordfrail,203928,Supporting,1
53613,Dead Mount Death Play,https://myanimelist.net/anime/53613/Dead_Mount_Death_Play,TV,Spring,2023,"Ajijou, Izuna",https://myanimelist.net/character/225474/Izuna_Ajijou,225474,Supporting,0
53613,Dead Mount Death Play,https://myanimelist.net/anime/53613/Dead_Mount_Death_Play,TV,Spring,2023,"Yamada, Fumiyo",https://myanimelist.net/character/229085/Fumiyo_Yamada,229085,Supporting,0
53613,Dead Mount Death Play,https://myanimelist.net/anime/53613/Dead_Mount_Death_Play,TV,Spring,2023,"Shinoyama, Suzuka",https://myanimelist.net/character/229781/Suzuka_Shinoyama,229781,Supporting,0
51632,Isekai wa Smartphone to Tomo ni. 2,https://myanimelist.net/anime/51632/Isekai_wa_Smartphone_to_Tomo_ni_2,TV,Spring,2023,Leen,https://myanimelist.net/character/151208/Leen,151208,Main,119
50598,Aggressive Retsuko (ONA) 5th Season,https://myanimelist.net/anime/50598/Aggressive_Retsuko_ONA_5th_Season,ONA,,2023,Retsuko,https://myanimelist.net/character/140321/Retsuko,140321,Main,1072
