,Title,Link
0,Mousou Dairinin,https://myanimelist.net/anime/323/Mousou_Dairinin
1,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,https://myanimelist.net/anime/801/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG
2,Maria-sama ga Miteru,https://myanimelist.net/anime/158/Maria-sama_ga_Miteru
3,Futari wa Precure,https://myanimelist.net/anime/603/Futari_wa_Precure
4,Gokusen,https://myanimelist.net/anime/242/Gokusen
5,Yumeria,https://myanimelist.net/anime/204/Yumeria
6,Mezzo DSA,https://myanimelist.net/anime/222/Mezzo_DSA
7,Hikari to Mizu no Daphne,https://myanimelist.net/anime/1082/Hikari_to_Mizu_no_Daphne
8,Area 88 (TV),https://myanimelist.net/anime/284/Area_88_TV
9,B-Legend! Battle B-Daman,https://myanimelist.net/anime/2789/B-Legend_Battle_B-Daman
10,Yuugo: Koushounin,https://myanimelist.net/anime/1246/Yuugo__Koushounin
11,Juubee-chan 2: Siberia Yagyuu no Gyakushuu,https://myanimelist.net/anime/636/Juubee-chan_2__Siberia_Yagyuu_no_Gyakushuu
12,Burn Up Scramble,https://myanimelist.net/anime/693/Burn_Up_Scramble
13,Kita e.: Diamond Dust Drops,https://myanimelist.net/anime/148/Kita_e__Diamond_Dust_Drops
14,Choujuushin Gravion Zwei,https://myanimelist.net/anime/1149/Choujuushin_Gravion_Zwei
15,SD Gundam Force,https://myanimelist.net/anime/2391/SD_Gundam_Force
16,Chou Henshin Cosprayers,https://myanimelist.net/anime/112/Chou_Henshin_Cosprayers
17,Divergence Eve 2: Misaki Chronicles,https://myanimelist.net/anime/295/Divergence_Eve_2__Misaki_Chronicles
18,Transformers Superlink,https://myanimelist.net/anime/927/Transformers_Superlink
19,Kaiketsu Zorori,https://myanimelist.net/anime/3638/Kaiketsu_Zorori
20,Monkey Turn,https://myanimelist.net/anime/2740/Monkey_Turn
21,Naruto,https://myanimelist.net/anime/20/Naruto
22,One Piece,https://myanimelist.net/anime/21/One_Piece
23,Fullmetal Alchemist,https://myanimelist.net/anime/121/Fullmetal_Alchemist
24,InuYasha,https://myanimelist.net/anime/249/InuYasha
25,Yu☆Gi☆Oh! Duel Monsters,https://myanimelist.net/anime/481/Yu☆Gi☆Oh_Duel_Monsters
26,Meitantei Conan,https://myanimelist.net/anime/235/Meitantei_Conan
27,Planetes,https://myanimelist.net/anime/329/Planetes
28,Chrno Crusade,https://myanimelist.net/anime/60/Chrno_Crusade
29,Gungrave,https://myanimelist.net/anime/267/Gungrave
30,Gunslinger Girl,https://myanimelist.net/anime/134/Gunslinger_Girl
31,Pokemon Advanced Generation,https://myanimelist.net/anime/1564/Pokemon_Advanced_Generation
32,Tennis no Oujisama,https://myanimelist.net/anime/22/Tennis_no_Oujisama
33,Sakigake!! Cromartie Koukou,https://myanimelist.net/anime/114/Sakigake_Cromartie_Koukou
34,Konjiki no Gash Bell!!,https://myanimelist.net/anime/250/Konjiki_no_Gash_Bell
35,Maburaho,https://myanimelist.net/anime/193/Maburaho
36,Bobobo-bo Bo-bobo,https://myanimelist.net/anime/1050/Bobobo-bo_Bo-bobo
37,Kaleido Star,https://myanimelist.net/anime/427/Kaleido_Star
38,Crayon Shin-chan,https://myanimelist.net/anime/966/Crayon_Shin-chan
39,Mermaid Melody Pichi Pichi Pitch,https://myanimelist.net/anime/521/Mermaid_Melody_Pichi_Pichi_Pitch
40,Sonic X,https://myanimelist.net/anime/1816/Sonic_X
41,R.O.D: The TV,https://myanimelist.net/anime/209/ROD__The_TV
42,Doraemon (1979),https://myanimelist.net/anime/2471/Doraemon_1979
43,Tottoko Hamtarou,https://myanimelist.net/anime/508/Tottoko_Hamtarou
44,Peace Maker Kurogane,https://myanimelist.net/anime/161/Peace_Maker_Kurogane
45,Gilgamesh,https://myanimelist.net/anime/385/Gilgamesh
46,Saiyuuki Reload,https://myanimelist.net/anime/130/Saiyuuki_Reload
47,Tantei Gakuen Q,https://myanimelist.net/anime/407/Tantei_Gakuen_Q
48,Pokemon Side Stories,https://myanimelist.net/anime/2363/Pokemon_Side_Stories
49,Mujin Wakusei Survive,https://myanimelist.net/anime/709/Mujin_Wakusei_Survive
50,Astro Boy: Tetsuwan Atom,https://myanimelist.net/anime/971/Astro_Boy__Tetsuwan_Atom
51,Wagamama☆Fairy Mirumo de Pon!,https://myanimelist.net/anime/1744/Wagamama☆Fairy_Mirumo_de_Pon
52,Kochira Katsushikaku Kameari Kouenmae Hashutsujo,https://myanimelist.net/anime/3545/Kochira_Katsushikaku_Kameari_Kouenmae_Hashutsujo
53,Rockman.EXE Axess,https://myanimelist.net/anime/2108/RockmanEXE_Axess
54,Ginga Tetsudou Monogatari,https://myanimelist.net/anime/1490/Ginga_Tetsudou_Monogatari
55,Futatsu no Spica,https://myanimelist.net/anime/344/Futatsu_no_Spica
56,F-Zero: Falcon Densetsu,https://myanimelist.net/anime/3101/F-Zero__Falcon_Densetsu
57,Sazae-san,https://myanimelist.net/anime/2406/Sazae-san
58,Di Gi Charat Nyo,https://myanimelist.net/anime/1683/Di_Gi_Charat_Nyo
59,Nintama Rantarou,https://myanimelist.net/anime/1199/Nintama_Rantarou
60,Chibi Maruko-chan (1995),https://myanimelist.net/anime/6149/Chibi_Maruko-chan_1995
61,Atashin'chi,https://myanimelist.net/anime/3006/Atashinchi
62,Saiko Robot Kombock,https://myanimelist.net/anime/3772/Saiko_Robot_Kombock
63,Sore Ike! Anpanman,https://myanimelist.net/anime/1960/Sore_Ike_Anpanman
