,Watching,Completed,On-Hold,Dropped,Plan to Watch,Total,10,9,8,7,6,5,4,3,2,1,Title
0,"72,832","523,408","12,099","12,342","93,337","714,018",62538,93540,136624,75024,23888,8572,4136,1783,960,1229,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season
1,"88,403","340,781","21,444","26,681","180,284","657,593",33814,59923,101446,60619,20376,7930,3281,1312,628,709,Yofukashi no Uta
2,"49,220","391,839","6,366","4,739","128,587","580,751",41987,63167,102492,57784,16974,5276,1957,708,322,504,Overlord IV
3,"64,031","308,272","15,580","15,803","136,774","540,460",38957,66086,88099,45030,14424,5594,2277,911,428,789,Lycoris Recoil
4,"56,600","197,925","15,979","32,502","198,482","501,488",7378,9401,25156,49914,37672,17932,8703,3299,1302,1028,Hataraku Maou-sama!!
5,"40,607","279,345","8,893","4,790","154,521","488,156",60921,76071,56528,22220,7287,2497,1346,583,367,649,Made in Abyss: Retsujitsu no Ougonkyou
6,"40,650","216,463","9,228","26,293","152,826","445,460",12641,13684,30774,50100,33348,16082,9616,4851,3087,4721,"Kanojo, Okarishimasu 2nd Season"
7,"75,756","191,853","18,160","21,277","82,613","389,659",16856,30267,62190,44246,15193,5653,2261,846,423,511,Isekai Ojisan
8,"29,227","225,492","5,218","4,028","110,520","374,485",16212,24776,54501,43839,13339,4554,1697,627,261,301,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen
9,"40,757","177,492","8,498","19,212","67,626","313,585",7293,8698,23359,46091,32917,15215,6310,2623,1196,1018,Mamahaha no Tsurego ga Motokano datta
10,"45,051","163,208","8,341","19,337","72,720","308,657",9125,8608,19391,37000,27575,13603,5741,2245,1131,903,Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsukisusumu
11,"39,332","162,553","5,999","16,868","54,183","278,935",9845,7608,16573,30981,27583,15523,7627,3771,2313,2164,Isekai Meikyuu de Harem wo
12,"26,917","189,389","3,243","8,661","35,797","264,007",8133,10897,27029,44620,23724,10828,4060,1528,701,552,Kuro no Shoukanshi
13,"39,371","112,168","9,827","23,466","70,474","255,306",5506,6583,16260,30386,20572,10108,4694,2001,892,725,Engage Kiss
14,"24,248","170,795","3,860","6,934","38,719","244,556",7774,11898,31134,42950,18929,7217,1958,668,268,234,Isekai Yakkyoku
15,"33,206","126,864","8,803","10,641","62,462","241,976",10124,15099,33343,28225,9199,3374,856,306,106,162,Kumichou Musume to Sewagakari
16,"30,407","130,333","4,649","18,109","46,745","230,243",4248,4397,10313,22890,24361,14774,7009,2979,1517,1079,"Tensei Kenja no Isekai Life: Dai-2 no Shokugyou wo Ete, Sekai Saikyou ni Narimashita"
17,"21,758","64,656","6,379","10,315","71,362","174,470",2880,3732,10848,20523,10808,4529,1242,425,192,165,Soredemo Ayumu wa Yosetekuru
18,"20,738","49,396","5,328","14,534","46,327","136,323",2358,2259,5672,11542,10341,6061,2693,1232,612,556,Saikin Yatotta Maid ga Ayashii
19,"11,132","67,358","3,628","2,397","45,078","129,593",5931,10912,21403,11332,2797,894,286,87,35,88,Shadows House 2nd Season
20,"16,535","37,961","5,139","11,347","42,960","113,942",1725,1779,4765,9420,8698,4957,2819,1261,573,490,RWBY: Hyousetsu Teikoku
21,"10,341","21,733","2,674","4,052","33,873","72,673",1576,2329,4949,5903,2718,1230,475,167,80,81,Fuuto Tantei
22,"10,771","13,353","2,935","13,739","20,797","61,595",558,439,1418,2462,3363,3367,2656,1416,814,750,Hoshi no Samidare
23,"6,826","32,984","1,265","1,840","17,171","60,086",1499,1936,4331,7278,4020,1715,606,273,140,129,Orient: Awajishima Gekitou-hen
24,"5,393","12,631","1,993","3,352","23,068","46,437",741,760,1671,3062,2689,1421,621,263,122,131,Tokyo Mew Mew New ♡
25,"4,815","18,377","1,251","1,191","17,716","43,350",1690,1453,3767,4491,1943,682,242,87,43,68,Jashin-chan Dropkick X
26,"5,240","9,504","1,339","1,701","22,235","40,019",861,1248,2111,2110,973,436,190,69,40,67,Utawarerumono: Futari no Hakuoro
27,"5,797","11,609","1,396","5,176","13,907","37,885",317,316,822,2243,3006,2138,1001,456,214,167,Bucchigire!
28,"4,414","11,225","1,427","2,812","16,420","36,298",996,1389,1804,2620,1762,1042,397,194,78,93,Prima Doll
29,"3,006","18,862",823,742,"12,581","36,014",2267,2522,4478,3783,1562,604,286,120,61,133,Love Live! Superstar!! 2nd Season
30,"4,492","8,537","1,188","4,685","11,562","30,464",322,330,856,1331,1978,1740,990,531,266,200,Warau Arsnotoria Sun!
31,"3,345","9,530",850,"1,109","12,865","27,699",830,1252,2059,2168,940,448,144,75,28,67,Shine Post
32,"3,196","10,260",910,"2,356","9,227","25,949",453,551,1508,2682,1981,1047,317,139,67,88,Kami Kuzu☆Idol
33,"2,976","6,213",807,"2,113","13,094","25,203",462,404,947,1373,1144,773,339,162,79,92,Renmei Kuugun Koukuu Mahou Ongakutai Luminous Witches
34,"2,589","6,486",901,"2,911","7,753","20,640",426,505,1058,1522,1327,900,471,200,98,106,Teppen!!!!!!!!!!!!!!!
35,"2,028","6,534",862,"3,639","7,059","20,122",158,223,640,1553,1808,1302,698,301,145,106,Yuurei Deco
36,"2,336","6,362",470,"2,914","5,420","17,502",209,145,287,695,951,1085,906,590,396,429,Shoot! Goal to the Future
37,"2,147","7,424",441,832,"6,002","16,846",439,425,942,1480,1103,527,251,113,58,70,Shin Tennis no Oujisama: U-17 World Cup
38,"1,999","5,070",546,684,"6,856","15,155",554,418,760,1445,912,397,99,33,21,42,Yoru wa Neko to Issho
39,"1,331","5,068",419,"1,648","4,504","12,970",320,289,827,985,921,631,309,186,100,91,Extreme Hearts
40,864,"2,111",218,902,"6,574","10,669",71,25,48,132,242,441,379,270,181,189,Musashino!
41,463,500,171,540,"6,666","8,340",34,7,9,27,53,93,75,63,59,72,KJ File
42,"1,273","2,556",192,428,"2,734","7,183",208,184,381,562,397,183,82,47,17,64,Cardfight!! Vanguard: will+Dress
43,460,"2,917",147,508,"1,432","5,464",96,66,193,479,723,480,162,75,25,40,Hanabi-chan wa Okuregachi
44,318,355,107,175,"4,418","5,373",22,7,8,32,55,64,36,22,7,16,Nanashi Kaidan
45,418,"1,275",188,659,"1,604","4,144",107,94,220,363,251,157,48,22,19,29,Chimimo
46,102,212,44,185,415,958,21,7,15,29,35,27,16,8,14,19,5-Okunen Button
47,23,123,10,105,160,421,11,2,6,19,13,15,14,4,1,9,Iii Icecrin Double
48,34,96,18,159,97,404,16,4,3,3,9,12,5,7,4,18,Sakuretsu! Amabie-hime.
49,25,61,13,149,105,353,13,,2,2,5,8,11,2,1,5,Ganbare! Choushuu-kun
50,41,0,10,102,89,242,2,,,,,,1,,,3,Youkoso Ninchishou Sekai e
51,8,40,8,86,64,206,9,,,4,5,,3,1,,3,Bo & To's Family 2nd Season
52,4,33,3,54,33,127,6,,,,2,1,3,2,1,3,Dino Powers
53,3,27,3,44,38,115,7,,,,1,,2,1,1,1,Hero Circle 2
54,"1,765,315",51,"304,100","198,855","225,031","2,493,352",646517,293341,228717,130882,53542,28401,12433,5839,4237,13761,One Piece
55,"377,237","76,543","117,148","231,528","92,376","894,832",24549,21380,45916,84060,86955,66740,50565,27964,19103,29473,Boruto: Naruto Next Generations
56,"84,791","277,820","22,548","14,816","197,723","597,698",52017,81137,72986,29341,9170,3743,1813,689,321,451,Summertime Render
57,"167,451",3,"75,169","48,998","68,933","360,554",39190,34272,43437,29402,10512,4428,1302,541,352,793,Meitantei Conan
58,"51,432","126,209","12,970","22,340","90,216","303,167",6839,8207,21741,36889,22949,11118,4885,1842,848,837,Kakkou no Iinazuke
59,"30,373","137,169","6,549","7,008","51,164","232,263",15417,29260,43024,20569,5744,1954,697,279,126,224,Ao Ashi
60,"29,243","29,759","10,622","9,407","16,665","95,696",4444,5362,9707,11222,5246,2371,932,464,233,358,Pokemon (2019)
61,"35,302",5,"17,937","18,671","16,062","87,977",9079,6947,9809,9013,3817,1806,642,351,258,435,Crayon Shin-chan
62,"22,474","14,097","7,016","8,982","24,091","76,660",5489,3240,5532,5918,3007,1604,602,257,129,193,Dragon Quest: Dai no Daibouken (2020)
63,"8,652","37,353","1,231",825,"25,434","73,495",8817,11388,8183,2373,556,191,85,65,187,329,Kingdom 4th Season
64,"6,674","12,671","1,917","5,070","15,537","41,869",555,945,1709,3348,2871,1751,862,384,143,121,Love All Play
65,"5,871","5,800","2,026","2,809","8,282","24,788",402,541,1397,2033,1490,796,334,128,64,80,Digimon Ghost Game
66,"9,044",1,"3,495","4,226","4,626","21,392",2034,1429,2119,2202,997,478,120,72,32,97,Doraemon (2005)
67,"3,385",171,"1,447","1,401","6,992","13,396",556,220,398,637,413,242,84,36,54,82,Gudetama
68,"1,924","3,329",672,833,"4,317","11,075",355,387,764,800,536,311,147,55,18,48,Delicious Party♡Precure
69,"1,223","3,652",358,"1,352","2,414","8,999",178,115,249,546,865,824,425,229,160,148,Atasha Kawashiri Kodama da yo: Dangerous Lifehacker no Tadareta Seikatsu
70,"2,303",0,761,"1,908","3,817","8,789",266,102,185,364,359,274,110,55,48,169,Sazae-san
71,"2,226",0,"1,236","1,693","2,853","8,008",326,289,455,700,444,189,54,29,16,47,Nintama Rantarou
72,"1,691","1,459",334,793,"2,584","6,861",154,99,233,384,321,175,74,43,35,62,Shadowverse Flame
73,"2,475",0,950,"1,297","2,032","6,754",361,385,416,492,247,148,41,19,15,52,Chibi Maruko-chan (1995)
74,"2,175",0,428,856,"3,294","6,753",138,67,84,153,212,165,91,59,61,110,Yu☆Gi☆Oh! Go Rush!!
75,891,"1,045",338,725,"2,946","5,945",212,118,158,240,183,140,68,53,27,44,Waccha PriMagi!
76,"2,902",2,457,658,"1,993","6,012",586,123,181,197,128,123,53,36,23,47,Chiikawa
77,"1,594",0,553,"1,150","1,302","4,599",202,348,350,254,261,177,45,31,21,46,Sore Ike! Anpanman
78,875,0,452,890,"1,060","3,277",108,50,92,134,139,93,43,26,25,49,Bonobono (TV 2016)
79,708,0,204,669,"1,459","3,040",41,9,31,57,76,81,49,25,17,38,Ninjala (TV)
80,544,423,206,452,"1,192","2,817",125,43,92,164,164,95,28,21,16,19,Youkai Watch ♪
81,162,0,62,191,"2,018","2,433",27,1,6,6,4,8,5,3,,8,Shikaru Neko
82,655,0,256,626,686,"2,223",68,40,48,99,121,94,33,13,9,28,Ojarumaru
83,404,0,193,320,"1,144","2,061",18,9,12,41,54,25,17,10,6,11,Fushigi Dagashiya: Zenitendou
84,331,0,82,286,"1,002","1,701",26,7,4,19,22,18,12,8,5,26,Puzzle & Dragon
85,248,0,59,402,587,"1,296",18,6,4,10,10,14,7,5,5,23,Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?
86,155,177,42,211,453,"1,038",22,7,19,28,32,28,14,9,9,17,Cap Kakumei Bottleman DX
87,265,0,112,294,331,"1,002",30,4,17,25,21,36,6,5,8,19,Hanakappa
88,178,0,36,377,389,980,21,1,1,3,5,11,2,2,1,20,Shiawase Haitatsu Taneko
89,85,59,40,246,443,873,19,1,1,4,5,7,13,5,2,15,Uchuu Nanchara Kotetsu-kun
90,65,157,36,143,401,802,18,5,6,16,13,15,12,8,4,15,Duel Masters King Max
91,160,0,33,245,249,687,38,4,1,4,10,15,6,3,4,10,Shimajirou no Wow!
92,118,0,39,305,192,654,8,1,1,4,4,9,12,3,5,17,Manul no Yuube
93,57,99,17,128,307,608,15,2,9,11,16,10,5,2,1,12,Motto! Majime ni Fumajime Kaiketsu Zorori 3rd Season
94,123,0,36,203,205,567,11,,,2,4,6,9,1,9,13,Gohan Kaijuu Pap
95,108,0,26,197,196,527,12,,,2,6,6,1,2,2,10,Yowamushi Monsters
96,49,89,19,136,226,519,16,2,7,5,13,12,8,4,3,13,Insect Land
97,36,126,22,107,196,487,14,,2,8,16,14,10,2,1,16,Ehon Yose
98,84,20,21,172,137,434,13,,1,,5,4,6,,7,17,Otoppe
99,81,0,27,168,121,397,11,,1,1,2,2,4,3,1,11,Pakkororin
100,63,0,24,158,132,377,25,,,,2,2,3,1,,7,Shin Nippon History
101,62,0,20,156,128,366,5,1,,,3,2,1,,2,8,Origami Ninja Koyankinte
102,38,34,9,161,88,330,11,1,,,1,6,4,,1,10,Madtoy Chatty
103,6,55,5,81,44,191,9,,,2,4,5,2,,1,8,Agisang-eo Ollie wa William
104,2,59,8,75,47,191,13,2,,1,9,2,4,1,2,3,Beuledeu Ibalso 3
105,28,0,14,85,52,179,4,,,1,,2,1,,,1,Mukashibanashi no Oheya: Tsutaetai Nihon Mukashibanashi
106,9,40,4,45,47,145,7,,,3,2,,5,3,,3,Mecard Ball
107,3,33,4,57,35,132,6,,,,1,1,2,2,,5,Hello Carbot Season 12
108,3,36,4,45,34,122,11,,,2,3,,4,2,,4,Robocar Poli 5
