,MAL_id,Title,Score,Type
0,58939,Sakamoto_Days,,TV
1,58567,Ore_dake_Level_Up_na_Ken_Season_2__Arise_from_the_Shadow,,TV
2,34881,Aho_Girl,10.0,TV
3,5081,Bakemonogatari,9.0,TV
4,33,Kenpuu_Denki_Berserk,8.0,TV
5,32379,Berserk,4.0,TV
6,34055,Berserk_2nd_Season,6.0,TV
7,1639,Boku_no_Pico,1.0,OVA
8,34382,Citrus,7.0,TV
9,57334,Dandadan,,TV
10,35849,Darling_in_the_FranXX,9.0,TV
11,37520,Dororo,7.0,TV
12,5114,Fullmetal_Alchemist__Brotherhood,10.0,TV
13,33731,Gabriel_DropOut,8.0,TV
14,34855,Gabriel_DropOut_Specials,8.0,Special
15,37349,Goblin_Slayer,,TV
16,11617,High_School_DxD,10.0,TV
17,24703,High_School_DxD_BorN,7.0,TV
18,32215,High_School_DxD_BorN__Yomigaeranai_Fushichou,4.0,OVA
19,34281,High_School_DxD_Hero,6.0,TV
20,15451,High_School_DxD_New,7.0,TV
21,14719,JoJo_no_Kimyou_na_Bouken_TV,10.0,TV
22,31933,JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai,10.0,TV
23,37991,JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze,10.0,TV
24,20899,JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders,10.0,TV
25,26055,JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_-_Egypt-hen,10.0,TV
26,48661,JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean,10.0,ONA
27,40748,Jujutsu_Kaisen,8.0,TV
28,48561,Jujutsu_Kaisen_0_Movie,8.0,Movie
29,51009,Jujutsu_Kaisen_2nd_Season,8.0,TV
30,5680,K-On,8.0,TV
31,30831,Kono_Subarashii_Sekai_ni_Shukufuku_wo,10.0,TV
32,38040,Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu,9.0,Movie
33,32937,Kono_Subarashii_Sekai_ni_Shukufuku_wo_2,10.0,TV
34,14741,Chuunibyou_demo_Koi_ga_Shitai,8.0,TV
35,33206,Kobayashi-san_Chi_no_Maid_Dragon,9.0,TV
36,31964,Boku_no_Hero_Academia,9.0,TV
37,33486,Boku_no_Hero_Academia_2nd_Season,8.0,TV
38,36456,Boku_no_Hero_Academia_3rd_Season,6.0,TV
39,30,Shinseiki_Evangelion,9.0,TV
40,24227,Nisekoi_OVA,6.0,OVA
41,18897,Nisekoi,8.0,TV
42,27787,Nisekoi_,8.0,TV
43,32553,Nisekoi__OVA,6.0,OVA
44,14749,Ore_no_Kanojo_to_Osananajimi_ga_Shuraba_Sugiru,8.0,TV
45,31240,Re_Zero_kara_Hajimeru_Isekai_Seikatsu,7.0,TV
46,36793,3D_Kanojo__Real_Girl,3.0,TV
47,52299,Ore_dake_Level_Up_na_Ken,,TV
48,9253,Steins_Gate,10.0,TV
49,30484,Steins_Gate_0,10.0,TV
50,10863,Steins_Gate__Oukoubakko_no_Poriomania,10.0,Special
51,32188,Steins_Gate__Kyoukaimenjou_no_Missing_Link_-_Divide_By_Zero,10.0,TV Special
52,11577,Steins_Gate_Movie__Fuka_Ryouiki_no_D%C3%A9j%C3%A0_vu,10.0,Movie
53,27957,Steins_Gate__Soumei_Eichi_no_Cognitive_Computing,10.0,ONA
54,8675,Seitokai_Yakuindomo,7.0,TV
55,10620,Mirai_Nikki_TV,9.0,TV
56,13759,Sakura-sou_no_Pet_na_Kanojo,8.0,TV
57,35968,Wotaku_ni_Koi_wa_Muzukashii,8.0,TV
58,11111,Another,,TV
59,38000,Kimetsu_no_Yaiba,,TV
60,34933,Kakegurui,,TV
61,18671,Chuunibyou_demo_Koi_ga_Shitai_Ren,,TV
62,11597,Nisemonogatari,,TV
63,10119,Seitokai_Yakuindomo_OVA,,OVA
64,34902,Tsurezure_Children,,TV
65,31404,Netoge_no_Yome_wa_Onnanoko_ja_Nai_to_Omotta,4.0,TV
66,6347,Baka_to_Test_to_Shoukanjuu,,TV
67,34572,Black_Clover,,TV
68,32901,Eromanga-sensei,1.0,TV
69,37517,Happy_Sugar_Life,,TV
70,28825,Himouto_Umaru-chan,5.0,TV
71,17265,Log_Horizon,3.0,TV
72,29803,Overlord,,TV
73,10711,Plastic_Neesan,7.0,ONA
