,MAL_id,Title,Score,Type
0,298,hack__Tasogare_no_Udewa_Densetsu,9.0,TV
1,6547,Angel_Beats,8.0,TV
2,1482,DGray-man,9.0,TV
3,7054,Kaichou_wa_Maid-sama,9.0,TV
4,4081,Natsume_Yuujinchou,9.0,TV
5,5300,Zoku_Natsume_Yuujinchou,9.0,TV
6,4896,Umineko_no_Naku_Koro_ni,10.0,TV
7,6586,Yume-iro_P%C3%A2tissi%C3%A8re,9.0,TV
8,2928,hack__GU_Returner,9.0,OVA
9,3269,hack__GU_Trilogy,10.0,Movie
10,4469,hack__GU_Trilogy__Parody_Mode,8.0,Special
11,873,hack__Roots,9.0,TV
12,48,hack__Sign,9.0,TV
13,2251,Baccano,9.0,TV
14,356,Fate_stay_night,8.0,TV
15,74,Gakuen_Alice,9.0,TV
16,2001,Tengen_Toppa_Gurren_Lagann,9.0,TV
17,2026,Hayate_no_Gotoku,9.0,TV
18,489,Kamichu,9.0,TV
19,990,Kamisama_Kazoku,8.0,TV
20,1379,Kino_no_Tabi__The_Beautiful_World_-_Nanika_wo_Suru_Tame_ni_-_Life_Goes_On,10.0,Movie
21,486,Kino_no_Tabi__The_Beautiful_World,10.0,TV
22,1698,Nodame_Cantabile,9.0,TV
23,853,Ouran_Koukou_Host_Club,9.0,TV
24,561,Sakura_Taisen,9.0,TV
25,1557,Shounen_Onmyouji,10.0,TV
26,2923,Shugo_Chara,10.0,TV
27,7082,Shugo_Chara_Party,10.0,TV
28,5262,Shugo_Chara_Doki,10.0,TV
29,2966,Ookami_to_Koushinryou,10.0,TV
30,445,Tales_of_Eternia_The_Animation,10.0,TV
31,479,Ueki_no_Housoku,9.0,TV
32,3457,Vampire_Knight,8.0,TV
33,4752,Vampire_Knight_Guilty,8.0,TV
34,850,Gakuen_Heaven,7.0,TV
35,454,hack__Gift,7.0,OVA
36,1143,hack__Intermezzo,8.0,Special
37,1994,hack__Tasogare_no_Udewa_Densetsu__Offline_de_Aimashou,8.0,Special
38,299,hack__Liminality,8.0,OVA
39,1487,hack__Unison,8.0,Special
40,4565,Tengen_Toppa_Gurren_Lagann_Movie_2__Lagann-hen,8.0,Movie
41,4353,Gakuen_Heaven__Hamu_Hamu_Heaven,7.0,Special
42,934,Higurashi_no_Naku_Koro_ni,8.0,TV
43,2175,Kino_no_Tabi__The_Beautiful_World_-_Byouki_no_Kuni_-_For_You,10.0,Movie
44,3466,Kino_no_Tabi__The_Beautiful_World_-_Tou_no_Kuni_-_Free_Lance,10.0,Special
45,1964,Sakura_Taisen__Ecole_de_Paris,9.0,OVA
46,562,Sakura_Taisen__Le_Nouveau_Paris,8.0,OVA
47,2168,Sakura_Taisen__New_York,8.0,OVA
48,1999,Sakura_Taisen__Kanzaki_Sumire_Intai_Kinen_-_Su_Mi_Re,8.0,OVA
49,1165,Sakura_Taisen__Ouka_Kenran,8.0,OVA
50,1166,Sakura_Taisen__Gouka_Kenran,9.0,OVA
51,608,Sakura_Taisen__Katsudou_Shashin,8.0,Movie
52,5341,Ookami_to_Koushinryou_II,10.0,TV
53,6007,Ookami_to_Koushinryou_II__Ookami_to_Kohakuiro_no_Yuuutsu,9.0,OVA
54,3449,Kamichu_Specials,8.0,Special
55,7568,Umineko_no_Naku_Koro_ni_Specials,10.0,Special
56,8422,Vampire_Knight__Gekiai_no_Portrait,7.0,Special
57,8894,Yume-iro_P%C3%A2tissi%C3%A8re__Mune_Kyun_Tropical_Island,,Special
