,MAL_id,Title,Score,Type
0,38481,Toaru_Kagaku_no_Railgun_T,,TV
1,40815,Honzuki_no_Gekokujou__Shisho_ni_Naru_Tame_ni_wa_Shudan_wo_Erandeiraremasen_2nd_Season,,TV
2,34572,Black_Clover,,TV
3,32353,Bonobono_TV_2016,,TV
4,34566,Boruto__Naruto_Next_Generations,,TV
5,235,Meitantei_Conan,,TV
6,41074,Digimon_Adventure_,,TV
7,40902,Shokugeki_no_Souma__Gou_no_Sara,,TV
8,40417,Fruits_Basket_2nd_Season,,TV
9,40367,Go_Go_Atom,,TV
10,40942,Gundam_Build_Divers_Re_Rise_2nd_Season,,ONA
11,37962,IDOLiSH7_Second_Beat,,TV
12,40591,Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen,,TV
13,40682,Kingdom_3rd_Season,,TV
14,40504,Major_2nd_2nd_Season,,TV
15,2406,Sazae-san,,TV
16,21,One_Piece,1.0,TV
17,26123,Seitokai_Yakuindomo_OVA,,OVA
18,40314,Sekaiichi_Hatsukoi__Propose-hen,,Movie
19,18941,Shimajirou_no_Wow,,TV
20,966,Crayon_Shin-chan,,TV
21,39710,Yesterday_wo_Utatte,,TV
22,37885,Super_Dragon_Ball_Heroes,,ONA
23,40221,Kami_no_Tou,,TV
24,38349,Wotaku_ni_Koi_wa_Muzukashii_OVA,,OVA
25,2928,hack__GU_Returner,,OVA
26,3269,hack__GU_Trilogy,,Movie
27,454,hack__Gift,,OVA
28,1143,hack__Intermezzo,,Special
29,298,hack__Tasogare_no_Udewa_Densetsu,,TV
30,1994,hack__Tasogare_no_Udewa_Densetsu__Offline_de_Aimashou,,Special
31,9332,hack__Quantum,,OVA
32,873,hack__Roots,,TV
33,48,hack__Sign,,TV
34,1487,hack__Unison,,Special
35,9947,Lan_Mao,,TV
36,1689,Byousoku_5_Centimeter,,Movie
37,32998,91_Days,,TV
38,34777,91_Days__Toki_no_Asase_Subete_no_Kinou_Ashita_Mata_Ashita,,Special
39,4654,Toaru_Majutsu_no_Index,,TV
40,8937,Toaru_Majutsu_no_Index_II,,TV
41,36432,Toaru_Majutsu_no_Index_III,,TV
42,6213,Toaru_Kagaku_no_Railgun,,TV
43,16049,Toaru_Kagaku_no_Railgun_S,,TV
44,7748,Sono_Hanabira_ni_Kuchizuke_wo__Anata_to_Koibito_Tsunagi,,OVA
45,16067,Nagi_no_Asu_kara,,TV
46,35839,Sora_yori_mo_Tooi_Basho,,TV
47,28851,Koe_no_Katachi,,Movie
48,3038,Senya_Ichiya_Monogatari,,Movie
49,25397,Absolute_Duo,,TV
50,18689,Diamond_no_Ace,,TV
51,38731,Diamond_no_Ace__Act_II,,TV
52,30230,Diamond_no_Ace__Second_Season,,TV
53,312,Ace_wo_Nerae_Final_Stage,,OVA
54,1302,Sayonara_Ginga_Tetsudou_999__Andromeda_Shuuchakueki,,Movie
55,92,Kidou_Shinseiki_Gundam_X,,TV
56,6075,Ai_no_Wakakusa_Yama_Monogatari,,TV
57,15061,Aikatsu,,TV
58,311,Ace_wo_Nerae,,TV
59,314,Ace_wo_Nerae_2,,OVA
60,658,Touhai_Densetsu_Akagi__Yami_ni_Maiorita_Tensai,,TV
61,22199,Akame_ga_Kill,,TV
62,47,Akira,,Movie
63,1998,Amazing_Nuts,,Music
64,31404,Netoge_no_Yome_wa_Onnanoko_ja_Nai_to_Omotta,,TV
65,6547,Angel_Beats,,TV
66,885,Tenshi_no_Tamago,1.0,OVA
67,2832,AniKuri15,,TV Special
68,3080,Anime_Tenchou,,OVA
69,283,Akage_no_Anne,,TV
70,9989,Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai,,TV
71,15039,Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai_Movie,,Movie
72,11111,Another,,TV
73,11701,Another__The_Other_-_Inga,,OVA
74,29999,Aoki_Uru__Overture,,Special
75,937,Appleseed,,OVA
76,477,Aria_the_Animation,,TV
77,29893,Aria_the_Avvenire,,Special
78,962,Aria_the_Natural,,TV
79,3297,Aria_the_Origination,,TV
80,2563,Aria_the_OVA__Arietta,,OVA
