,MAL_id,Title,Score,Type
0,21,One_Piece,10,TV
1,6547,Angel_Beats,10,TV
2,356,Fate_stay_night,10,TV
3,6922,Fate_stay_night_Movie__Unlimited_Blade_Works,10,Movie
4,10087,Fate_Zero,10,TV
5,11741,Fate_Zero_2nd_Season,10,TV
6,2593,Kara_no_Kyoukai_Movie_1__Fukan_Fuukei,10,Movie
7,3782,Kara_no_Kyoukai_Movie_2__Satsujin_Kousatsu_Zen,10,Movie
8,3783,Kara_no_Kyoukai_Movie_3__Tsuukaku_Zanryuu,10,Movie
9,4280,Kara_no_Kyoukai_Movie_4__Garan_no_Dou,10,Movie
10,4282,Kara_no_Kyoukai_Movie_5__Mujun_Rasen,10,Movie
11,5204,Kara_no_Kyoukai_Movie_6__Boukyaku_Rokuon,10,Movie
12,5205,Kara_no_Kyoukai_Movie_7__Satsujin_Kousatsu_Go,10,Movie
13,14807,Kara_no_Kyoukai_Movie__Mirai_Fukuin,10,Movie
14,19157,Youkai_Watch,10,TV
