,MAL_id,Title,Score,Type
0,28171,Shokugeki_no_Souma,9,TV
1,23847,Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Zoku,10,TV
2,25859,Re-Kan,9,TV
3,26243,Owari_no_Seraph,9,TV
4,1689,Byousoku_5_Centimeter,9,Movie
5,11759,Accel_World,8,TV
6,9989,Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai,10,TV
7,11111,Another,7,TV
8,7674,Bakuman,10,TV
9,10030,Bakuman_2nd_Season,10,TV
10,12365,Bakuman_3rd_Season,10,TV
11,20787,Black_Bullet,9,TV
12,10800,Chihayafuru,10,TV
13,14397,Chihayafuru_2,10,TV
14,2816,Toushou_Daimos,9,TV
15,23289,Gekkan_Shoujo_Nozaki-kun,10,TV
16,27633,Gekkan_Shoujo_Nozaki-kun_Specials,10,Special
17,14813,Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru,10,TV
18,11757,Sword_Art_Online,8,TV
19,21881,Sword_Art_Online_II,9,TV
20,13759,Sakura-sou_no_Pet_na_Kanojo,10,TV
21,23755,Nanatsu_no_Taizai,9,TV
