,MAL_id,Title,Score,Type
0,57181,Ao_no_Hako,9.0,TV
1,36064,Fate_Grand_Order,7.0,CM
2,44074,Shiguang_Dailiren,,ONA
3,877,Nana,,TV
4,21,One_Piece,8.0,TV
5,1689,Byousoku_5_Centimeter,,Movie
6,41457,86,7.0,TV
7,48569,86_Part_2,8.0,TV
8,42632,Yeon-ae_Halujeon,7.0,ONA
9,42629,Yeon-ae_Halujeon_2,7.0,ONA
10,42481,Yeon-ae_Halujeon_Zero,7.0,ONA
11,28851,Koe_no_Katachi,8.0,Movie
12,41168,Nakitai_Watashi_wa_Neko_wo_Kaburu,6.0,ONA
13,29785,Jitsu_wa_Watashi_wa,3.0,TV
14,34984,Koi_wa_Ameagari_no_You_ni,4.0,TV
15,49520,Aharen-san_wa_Hakarenai,6.0,TV
16,22199,Akame_ga_Kill,7.0,TV
17,6547,Angel_Beats,5.0,TV
18,10067,Angel_Beats_Another_Epilogue,6.0,Special
19,9989,Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai,5.0,TV
20,15039,Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai_Movie,8.0,Movie
21,11111,Another,7.0,TV
22,24833,Ansatsu_Kyoushitsu,8.0,TV
23,30654,Ansatsu_Kyoushitsu_2nd_Season,9.0,TV
24,16498,Shingeki_no_Kyojin,9.0,TV
25,25777,Shingeki_no_Kyojin_Season_2,9.0,TV
26,35760,Shingeki_no_Kyojin_Season_3,9.0,TV
27,38524,Shingeki_no_Kyojin_Season_3_Part_2,9.0,TV
28,40028,Shingeki_no_Kyojin__The_Final_Season,8.0,TV
29,48583,Shingeki_no_Kyojin__The_Final_Season_Part_2,8.0,TV
30,37525,Babylon,9.0,TV
31,5081,Bakemonogatari,9.0,TV
32,22789,Barakamon,1.0,TV
33,34572,Black_Clover,6.0,TV
34,269,Bleach,5.0,TV
35,41467,Bleach__Sennen_Kessen-hen,8.0,TV
36,37786,Yagate_Kimi_ni_Naru,6.0,TV
37,21995,Ao_Haru_Ride,6.0,TV
38,49665,Blue_Thermal,7.0,Movie
39,14345,Btooom,7.0,TV
