,MAL_id,Title,Score,Type
0,22729,AldnoahZero,8.0,TV
1,552,Digimon_Adventure,,TV
2,918,Gintama,,TV
3,30831,Kono_Subarashii_Sekai_ni_Shukufuku_wo,10.0,TV
4,1735,Naruto__Shippuuden,,TV
5,21,One_Piece,8.0,TV
6,33964,91_Days__Mijikai_Rousoku,,TV Special
7,22199,Akame_ga_Kill,9.0,TV
8,27655,AldnoahZero_Part_2,9.0,TV
9,9989,Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai,10.0,TV
10,11111,Another,9.0,TV
11,24833,Ansatsu_Kyoushitsu,10.0,TV
12,30654,Ansatsu_Kyoushitsu_2nd_Season,10.0,TV
13,16498,Shingeki_no_Kyojin,8.0,TV
14,5081,Bakemonogatari,8.0,TV
15,18153,Kyoukai_no_Kanata,8.0,TV
16,20787,Black_Bullet,6.0,TV
17,14345,Btooom,8.0,TV
18,9479,Coppelion,6.0,TV
19,31636,Dagashi_Kashi,8.0,TV
20,33028,Danganronpa_3__The_End_of_Kibougamine_Gakuen_-_Zetsubou-hen,8.0,TV
21,32189,Danganronpa_3__The_End_of_Kibougamine_Gakuen_-_Mirai-hen,8.0,TV
22,1535,Death_Note,10.0,TV
23,31163,Dimension_W,7.0,TV
24,6746,Durarara,8.0,TV
25,27833,Durararax2_Ketsu,7.0,TV
26,23199,Durararax2_Shou,8.0,TV
27,27831,Durararax2_Ten,9.0,TV
28,31043,Boku_dake_ga_Inai_Machi,10.0,TV
29,32901,Eromanga-sensei,6.0,TV
30,6702,Fairy_Tail,8.0,TV
31,2952,Final_Fantasy_VII__Advent_Children_Complete,9.0,OVA
32,28171,Shokugeki_no_Souma,8.0,TV
33,32282,Shokugeki_no_Souma__Ni_no_Sara,9.0,TV
34,121,Fullmetal_Alchemist,10.0,TV
35,5114,Fullmetal_Alchemist__Brotherhood,10.0,TV
36,28907,Gate__Jieitai_Kanochi_nite_Kaku_Tatakaeri,8.0,TV
37,31637,Gate__Jieitai_Kanochi_nite_Kaku_Tatakaeri_Part_2,8.0,TV
38,2001,Tengen_Toppa_Gurren_Lagann,10.0,TV
39,21855,Hanamonogatari,9.0,TV Special
40,8074,Highschool_of_the_Dead,8.0,TV
41,9515,Highschool_of_the_Dead__Drifters_of_the_Dead,10.0,OVA
42,136,Hunter_x_Hunter,9.0,TV
43,11061,Hunter_x_Hunter_2011,9.0,TV
44,28121,Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka,8.0,TV
45,14467,K,9.0,TV
46,27991,K__Return_of_Kings,6.0,TV
47,10271,Gyakkyou_Burai_Kaiji__Hakairoku-hen,9.0,TV
48,3002,Gyakkyou_Burai_Kaiji__Ultimate_Survivor,8.0,TV
49,18679,Kill_la_Kill,10.0,TV
50,32380,Kono_Subarashii_Sekai_ni_Shukufuku_wo__Kono_Subarashii_Choker_ni_Shukufuku_wo,8.0,OVA
51,32937,Kono_Subarashii_Sekai_ni_Shukufuku_wo_2,10.0,TV
52,11771,Kuroko_no_Basket,9.0,TV
53,16894,Kuroko_no_Basket_2nd_Season,9.0,TV
54,12967,Arcana_Famiglia,6.0,TV
55,17265,Log_Horizon,8.0,TV
56,17074,Monogatari_Series__Second_Season,10.0,TV
57,23289,Gekkan_Shoujo_Nozaki-kun,8.0,TV
58,31964,Boku_no_Hero_Academia,10.0,TV
59,33486,Boku_no_Hero_Academia_2nd_Season,9.0,TV
60,14227,Tonari_no_Kaibutsu-kun,8.0,TV
61,20,Naruto,9.0,TV
62,15689,Nekomonogatari__Kuro,9.0,TV Special
63,18897,Nisekoi,8.0,TV
64,11597,Nisemonogatari,7.0,TV
65,20507,Noragami,8.0,TV
66,30503,Noragami_Aragoto,7.0,TV
67,12859,One_Piece_Film__Z,8.0,Movie
68,459,One_Piece_Movie_01,6.0,Movie
69,30276,One_Punch_Man,10.0,TV
70,8769,Ore_no_Imouto_ga_Konnani_Kawaii_Wake_ga_Nai,10.0,TV
71,13659,Ore_no_Imouto_ga_Konnani_Kawaii_Wake_ga_Nai,10.0,TV
72,18857,Ore_no_Imouto_ga_Konnani_Kawaii_Wake_ga_Nai_Specials,10.0,ONA
73,10020,Ore_no_Imouto_ga_Konnani_Kawaii_Wake_ga_Nai_Specials,8.0,ONA
74,31181,Owarimonogatari,7.0,TV
75,22535,Kiseijuu__Sei_no_Kakuritsu,10.0,TV
76,15315,Mondaiji-tachi_ga_Isekai_kara_Kuru_Sou_desu_yo,7.0,TV
77,16444,Mondaiji-tachi_ga_Isekai_kara_Kuru_Sou_desu_yo__Onsen_Manyuuki,7.0,OVA
78,13601,Psycho-Pass,10.0,TV
79,9756,Mahou_Shoujo_Madoka%E2%98%85Magica,10.0,TV
80,31240,Re_Zero_kara_Hajimeru_Isekai_Seikatsu,10.0,TV
81,1604,Katekyou_Hitman_Reborn,9.0,TV
82,154,Shaman_King,9.0,TV
83,16918,Gin_no_Saji,10.0,TV
84,19363,Gin_no_Saji_2nd_Season,10.0,TV
85,3588,Soul_Eater,9.0,TV
86,21507,Soul_Eater_NOT,8.0,TV
87,9253,Steins_Gate,10.0,TV
88,11757,Sword_Art_Online,8.0,TV
89,21881,Sword_Art_Online_II,9.0,TV
90,23283,Zankyou_no_Terror,8.0,TV
91,15809,Hataraku_Maou-sama,8.0,TV
92,7311,Suzumiya_Haruhi_no_Shoushitsu,9.0,Movie
93,26351,Nagato_Yuki-chan_no_Shoushitsu,7.0,TV
94,10620,Mirai_Nikki_TV,10.0,TV
95,479,Ueki_no_Housoku,9.0,TV
96,32438,Mayoiga,6.0,TV
97,849,Suzumiya_Haruhi_no_Yuuutsu,9.0,TV
98,4382,Suzumiya_Haruhi_no_Yuuutsu_2009,10.0,TV
99,22319,Tokyo_Ghoul,8.0,TV
100,27899,Tokyo_Ghoul_%E2%88%9AA,6.0,TV
101,28025,Tsukimonogatari,10.0,TV Special
102,10163,C__The_Money_of_Soul_and_Possibility_Control,7.0,TV
103,32998,91_Days,,TV
104,9513,Beelzebub,,TV
105,15,Eyeshield_21,,TV
106,14741,Chuunibyou_demo_Koi_ga_Shitai,,TV
107,14813,Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru,,TV
108,18119,Servant_x_Service,,TV
109,13759,Sakura-sou_no_Pet_na_Kanojo,,TV
110,22043,Fairy_Tail_2014,,TV
111,32105,Sousei_no_Onmyouji,5.0,TV
112,15039,Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai_Movie,,Movie
113,23385,Kyoukai_no_Kanata__Shinonome,,Special
