,MAL_id,Title,Score,Type
0,1689,Byousoku_5_Centimeter,7.0,Movie
1,56352,Loop_7-kaime_no_Akuyaku_Reijou_wa_Moto_Tekikoku_de_Jiyuu_Kimama_na_Hanayome_Seikatsu_wo_Mankitsu_suru,7.0,TV
2,6213,Toaru_Kagaku_no_Railgun,8.0,TV
3,33337,ACCA__13-ku_Kansatsu-ka,9.0,TV
4,11759,Accel_World,8.0,TV
5,36904,Aggressive_Retsuko_ONA,10.0,ONA
6,37985,Aggressive_Retsuko_ONA_2nd_Season,10.0,ONA
7,38815,Aggressive_Retsuko__We_Wish_You_a_Metal_Christmas,8.0,ONA
8,53,Ai_Yori_Aoshi,4.0,TV
9,394,Ai_Yori_Aoshi__Enishi,4.0,TV
10,230,Air_Master,6.0,TV
11,22147,Amagi_Brilliant_Park,8.0,TV
12,6547,Angel_Beats,9.0,TV
13,35994,Satsuriku_no_Tenshi,10.0,TV
14,9989,Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai,7.0,TV
15,11701,Another__The_Other_-_Inga,8.0,OVA
16,24833,Ansatsu_Kyoushitsu,9.0,TV
17,30654,Ansatsu_Kyoushitsu_2nd_Season,10.0,TV
18,2747,Tetsuwan_Atom,8.0,TV
19,16498,Shingeki_no_Kyojin,10.0,TV
20,25777,Shingeki_no_Kyojin_Season_2,10.0,TV
21,35760,Shingeki_no_Kyojin_Season_3,9.0,TV
22,38524,Shingeki_no_Kyojin_Season_3_Part_2,10.0,TV
23,40028,Shingeki_no_Kyojin__The_Final_Season,,TV
24,25781,Shingeki_no_Kyojin__Kuinaki_Sentaku,10.0,OVA
25,66,Azumanga_Daiou_The_Animation,10.0,TV
26,2251,Baccano,10.0,TV
27,3901,Baccano_Specials,10.0,Special
28,9471,Baka_to_Test_to_Shoukanjuu__Matsuri,8.0,OVA
29,8516,Baka_to_Test_to_Shoukanjuu_Ni,8.0,TV
30,6347,Baka_to_Test_to_Shoukanjuu,7.0,TV
31,7674,Bakuman,10.0,TV
32,10030,Bakuman_2nd_Season,10.0,TV
33,12365,Bakuman_3rd_Season,10.0,TV
34,34572,Black_Clover,8.0,TV
35,33950,Black_Clover__Jump_Festa_2016_Special,10.0,OVA
36,48585,Black_Clover__Mahou_Tei_no_Ken,7.0,Movie
37,14075,Zetsuen_no_Tempest,9.0,TV
38,269,Bleach,7.0,TV
39,9919,Ao_no_Exorcist,9.0,TV
40,21995,Ao_Haru_Ride,10.0,TV
41,37475,Kishuku_Gakkou_no_Juliet,10.0,TV
42,38790,Itai_no_wa_Iya_nanode_Bougyoryoku_ni_Kyokufuri_Shitai_to_Omoimasu,10.0,TV
43,28755,Boruto__Naruto_the_Movie,8.0,Movie
44,779,Meitantei_Conan_Movie_01__Tokei_Jikake_no_Matenrou,10.0,Movie
45,780,Meitantei_Conan_Movie_02__14-banme_no_Target,10.0,Movie
46,781,Meitantei_Conan_Movie_03__Seikimatsu_no_Majutsushi,10.0,Movie
47,1363,Meitantei_Conan_Movie_04__Hitomi_no_Naka_no_Ansatsusha,10.0,Movie
