,MAL_id,Title,Score,Type
0,54744,Tokidoki_Bosotto_Russia-go_de_Dereru_Tonari_no_Alya-san,,TV
1,47917,Bocchi_the_Rock,10.0,TV
2,57719,Akuyaku_Reijou_Tensei_Ojisan,,TV
3,50854,Benriya_Saitou-san_Isekai_ni_Iku,,TV
4,42897,Horimiya,9.0,TV
5,16732,Kiniro_Mosaic,10.0,TV
6,50709,Lycoris_Recoil,10.0,TV
7,58567,Ore_dake_Level_Up_na_Ken_Season_2__Arise_from_the_Shadow,,TV
8,53262,Hoshikuzu_Telepath,10.0,TV
9,55717,Dekisokonai_to_Yobareta_Motoeiyuu_wa_Jikka_kara_Tsuihou_sareta_node_Sukikatte_ni_Ikiru_Koto_ni_Shita,,TV
10,41389,Tonikaku_Kawaii,10.0,TV
11,54726,Tsuma_Shougakusei_ni_Naru,,TV
12,42941,Uma_Musume__Pretty_Derby_Season_2,,TV
13,52741,Undead_Unluck,,TV
14,8426,Hourou_Musuko,,TV
15,58059,Tsue_to_Tsurugi_no_Wistoria,,TV
16,54041,16bit_Sensation__Another_Layer,10.0,TV
17,51705,Otonari_ni_Ginga,10.0,TV
18,57380,Isekai_Yururi_Kikou__Kosodateshinagara_Boukensha_Shimasu,10.0,TV
19,54431,Toaru_Ossan_no_VRMMO_Katsudouki,7.0,TV
20,28851,Koe_no_Katachi,10.0,Movie
21,9776,A-Channel,10.0,TV
22,11339,A-Channel_smile,10.0,OVA
23,10737,A-Channel___A-Channel,10.0,Special
24,35285,A-Channel__Nabe_wo_Tabeyou,10.0,Special
25,34800,Action_Heroine_Cheer_Fruits,10.0,TV
26,39790,Adachi_to_Shimamura,10.0,TV
27,38276,Houkago_Saikoro_Club,10.0,TV
28,49520,Aharen-san_wa_Hakarenai,10.0,TV
29,34881,Aho_Girl,9.0,TV
30,17082,Aiura,10.0,TV
31,48553,Akebi-chan_no_Sailor-fuku,10.0,TV
32,52969,Jitsu_wa_Ore_Saikyou_deshita,9.0,TV
33,53434,Maou_no_Ore_ga_Dorei_Elf_wo_Yome_ni_Shitanda_ga_Dou_Medereba_Ii,10.0,TV
34,31404,Netoge_no_Yome_wa_Onnanoko_ja_Nai_to_Omotta,9.0,TV
35,34177,Tenshi_no_3P,10.0,TV
36,37206,Anima_Yell,10.0,TV
37,35427,Animegataris,10.0,TV
38,31080,Anne_Happy%E2%99%AA,10.0,TV
39,38778,Midara_na_Ao-chan_wa_Benkyou_ga_Dekinai,8.0,TV
40,36882,Arifureta_Shokugyou_de_Sekai_Saikyou,9.0,TV
41,40507,Arifureta_Shokugyou_de_Sekai_Saikyou_2nd_Season,9.0,TV
42,40083,Arifureta_Shokugyou_de_Sekai_Saikyou_Specials,10.0,Special
43,33475,Busou_Shoujo_Machiavellianism,9.0,TV
44,52381,Aru_Asa_Dummy_Head_Mic_ni_Natteita_Ore-kun_no_Jinsei,9.0,TV
45,55265,Tensei_Kizoku_Kantei_Skill_de_Nariagaru,8.0,TV
46,40550,Assault_Lily__Bouquet,10.0,TV
47,39388,Koisuru_Asteroid,10.0,TV
48,66,Azumanga_Daiou_The_Animation,9.0,TV
49,659,Azumanga_Daiou__Gekijou_Tanpen,10.0,Special
50,34443,Baki,10.0,ONA
51,42940,Hanma_Baki__Son_of_Ogre,10.0,ONA
52,51318,Hanma_Baki__Son_of_Ogre_2nd_Season,10.0,ONA
53,287,Grappler_Baki_TV,10.0,TV
54,551,Grappler_Baki__Saidai_Tournament-hen,10.0,TV
55,39555,Baki__Dai_Raitaisai-hen,10.0,ONA
56,30795,Bakuon,10.0,TV
57,31883,Bakuon_OVA,10.0,OVA
58,33573,BanG_Dream,10.0,TV
59,44037,Shin_no_Nakama_ja_Nai_to_Yuusha_no_Party_wo_Oidasareta_node_Henkyou_de_Slow_Life_suru_Koto_ni_Shimashita,10.0,TV
60,53488,Shin_no_Nakama_ja_Nai_to_Yuusha_no_Party_wo_Oidasareta_node_Henkyou_de_Slow_Life_suru_Koto_ni_Shimashita_2nd,10.0,TV
61,22789,Barakamon,10.0,TV
62,52046,Yuusha_Party_wo_Tsuihou_sareta_Beast_Tamer_Saikyoushu_no_Nekomimi_Shoujo_to_Deau,10.0,TV
63,53439,Boushoku_no_Berserk,10.0,TV
64,34572,Black_Clover,10.0,TV
65,48585,Black_Clover__Mahou_Tei_no_Ken,9.0,Movie
66,51064,Kuro_no_Shoukanshi,10.0,TV
67,34618,Blend_S,10.0,TV
68,54309,Blue_Archive_the_Animation,10.0,TV
69,37475,Kishuku_Gakkou_no_Juliet,9.0,TV
70,38790,Itai_no_wa_Iya_nanode_Bougyoryoku_ni_Kyokufuri_Shitai_to_Omoimasu,10.0,TV
71,41514,Itai_no_wa_Iya_nanode_Bougyoryoku_ni_Kyokufuri_Shitai_to_Omoimasu_2,10.0,TV
72,10162,Usagi_Drop,10.0,TV
73,41312,Kami-tachi_ni_Hirowareta_Otoko,9.0,TV
