,MAL_id,Title,Score,Type
0,43814,Deatte_5-byou_de_Battle,,TV
1,34566,Boruto__Naruto_Next_Generations,,TV
2,40960,Cheat_Kusushi_no_Slow_Life__Isekai_ni_Tsukurou_Drugstore,,TV
3,48470,D_Cide_Traumerei_the_Animation,,TV
4,42192,Edens_Zero,7.0,TV
5,39486,Gintama__The_Final,,Movie
6,43969,Kanojo_mo_Kanojo,,TV
7,41710,Genjitsu_Shugi_Yuusha_no_Oukoku_Saikenki,,TV
8,48252,Ore_Tsushima,,TV
9,40620,Uramichi_Oniisan,,TV
10,41169,Love_Live_Superstar,,TV
11,39247,Kobayashi-san_Chi_no_Maid_Dragon_S,,TV
12,41812,Megami-ryou_no_Ryoubo-kun,,TV
13,41587,Boku_no_Hero_Academia_5th_Season,8.0,TV
14,48641,Obey_Me,,ONA
15,42627,Peach_Boy_Riverside,,TV
16,48406,Re-Main,,TV
17,40904,Bokutachi_no_Remake,,TV
18,48492,Scarlet_Nexus,,TV
19,47591,Kuro_Gal_ni_Natta_kara_Shinyuu_to_shitemita,,ONA
20,44203,Seirei_Gensouki,,TV
21,48849,Sonny_Boy,,TV
22,41487,Tensei_shitara_Slime_Datta_Ken_2nd_Season_Part_2,,TV
23,46093,Shiroi_Suna_no_Aquatope,,TV
24,48580,Vanitas_no_Karte,,TV
25,46471,Tantei_wa_Mou_Shindeiru,,TV
26,47257,Shinigami_Bocchan_to_Kuro_Maid,,TV
27,42340,Meikyuu_Black_Company,,TV
28,41491,Nanatsu_no_Taizai__Funnu_no_Shinpan,,TV
29,41025,Fumetsu_no_Anata_e,9.0,TV
30,42249,Tokyo_Revengers,7.0,TV
31,43523,Tsuki_ga_Michibiku_Isekai_Douchuu,,TV
32,37521,Vinland_Saga,,TV
33,38349,Wotaku_ni_Koi_wa_Muzukashii_OVA,7.0,OVA
34,36840,25-sai_no_Joshikousei,6.0,ONA
35,35746,6_Lovers,6.0,OVA
36,41457,86,,TV
37,32998,91_Days,8.0,TV
38,42632,Yeon-ae_Halujeon,7.0,ONA
39,28851,Koe_no_Katachi,8.0,Movie
40,41168,Nakitai_Watashi_wa_Neko_wo_Kaburu,7.0,ONA
41,22199,Akame_ga_Kill,8.0,TV
42,40295,Another_World,7.0,ONA
43,24833,Ansatsu_Kyoushitsu,7.0,TV
44,30654,Ansatsu_Kyoushitsu_2nd_Season,9.0,TV
45,33513,Ansatsu_Kyoushitsu__365-nichi_no_Jikan,8.0,Movie
46,19759,Ansatsu_Kyoushitsu__Jump_Festa_2013_Special,6.0,Special
47,28405,Ansatsu_Kyoushitsu__Deai_no_Jikan,8.0,Special
48,16498,Shingeki_no_Kyojin,9.0,TV
49,18397,Shingeki_no_Kyojin_OVA,8.0,OVA
50,25777,Shingeki_no_Kyojin_Season_2,9.0,TV
51,35760,Shingeki_no_Kyojin_Season_3,10.0,TV
52,38524,Shingeki_no_Kyojin_Season_3_Part_2,10.0,TV
53,42091,Shingeki_no_Kyojin__Chronicle,7.0,Movie
54,40028,Shingeki_no_Kyojin__The_Final_Season,10.0,TV
55,31374,Shingeki_Kyojin_Chuugakkou,8.0,TV
56,36106,Shingeki_no_Kyojin__Lost_Girls,7.0,OVA
57,25781,Shingeki_no_Kyojin__Kuinaki_Sentaku,7.0,OVA
58,39195,Beastars,7.0,TV
59,4898,Kuroshitsuji,7.0,TV
60,34572,Black_Clover,8.0,TV
