,MAL_id,Title,Score,Type
0,54744,Tokidoki_Bosotto_Russia-go_de_Dereru_Tonari_no_Alya-san,8.0,TV
1,56923,Lv2_kara_Cheat_datta_Motoyuusha_Kouho_no_Mattari_Isekai_Life,7.0,TV
2,52481,Gimai_Seikatsu,8.0,TV
3,54853,Maou_2099,7.0,TV
4,57892,Hazurewaku_no_Joutai_Ijou_Skill_de_Saikyou_ni_Natta_Ore_ga_Subete_wo_Juurin_suru_made,6.0,TV
5,52991,Sousou_no_Frieren,9.0,TV
6,57058,Ore_wa_Subete_wo_Parry_suru__Gyaku_Kanchigai_no_Sekai_Saikyou_wa_Boukensha_ni_Naritai,7.0,TV
7,53516,Tensei_shitara_Dainana_Ouji_Datta_node_Kimama_ni_Majutsu_wo_Kiwamemasu,8.0,TV
8,51297,Ragna_Crimson,8.0,TV
9,54855,Senpai_wa_Otokonoko,6.0,TV
10,52347,Shangri-La_Frontier__Kusoge_Hunter_Kamige_ni_Idoman_to_su,8.0,TV
11,58567,Ore_dake_Level_Up_na_Ken_Season_2__Arise_from_the_Shadow,,TV
12,54714,Kimi_no_Koto_ga_Daidaidaidaidaisuki_na_100-nin_no_Kanojo,8.0,TV
13,52608,Tensei_Kizoku_no_Isekai_Boukenroku__Jichou_wo_Shiranai_Kamigami_no_Shito,6.0,TV
14,54913,Shinmai_Ossan_Boukensha_Saikyou_Party_ni_Shinu_hodo_Kitaerarete_Muteki_ni_Naru,7.0,TV
15,55844,Tasogare_Out_Focus,7.0,TV
16,54284,VTuber_Nandaga_Haishin_Kiri_Wasuretara_Densetsu_ni_Natteta,7.0,TV
17,56062,Naze_Boku_no_Sekai_wo_Daremo_Oboeteinai_no_ka,7.0,TV
18,58059,Tsue_to_Tsurugi_no_Wistoria,8.0,TV
19,5525,07-Ghost,8.0,TV
20,1689,Byousoku_5_Centimeter,8.0,Movie
21,41457,86,8.0,TV
22,4654,Toaru_Majutsu_no_Index,8.0,TV
23,6213,Toaru_Kagaku_no_Railgun,9.0,TV
24,16067,Nagi_no_Asu_kara,9.0,TV
25,35839,Sora_yori_mo_Tooi_Basho,9.0,TV
26,55866,Yubisaki_to_Renren,9.0,TV
27,28851,Koe_no_Katachi,9.0,Movie
28,12119,Natsu-iro_Kiseki,6.0,TV
29,11759,Accel_World,7.0,TV
30,34984,Koi_wa_Ameagari_no_You_ni,8.0,TV
31,50,Aa_Megami-sama_TV,9.0,TV
32,3090,Aa_Megami-sama_Tatakau_Tsubasa,9.0,TV Special
33,880,Aa_Megami-sama_Sorezore_no_Tsubasa,9.0,TV
34,304,Aa_Megami-sama_Movie,9.0,Movie
35,9611,Aa_Megami-sama_2011,9.0,OVA
36,34881,Aho_Girl,8.0,TV
37,31580,Ajin,8.0,TV
38,33253,Ajin_Part_2,,TV
39,22199,Akame_ga_Kill,8.0,TV
40,32951,Rokudenashi_Majutsu_Koushi_to_Akashic_Records,7.0,TV
41,6987,Aki-Sora,7.0,OVA
42,47,Akira,9.0,Movie
43,31764,Nejimaki_Seirei_Senki__Tenkyou_no_Alderamin,7.0,TV
44,22729,AldnoahZero,8.0,TV
45,27655,AldnoahZero_Part_2,9.0,TV
46,8676,Amagami_SS,8.0,TV
47,11235,Amagami_SS__Plus,8.0,TV
48,22147,Amagi_Brilliant_Park,7.0,TV
49,6547,Angel_Beats,9.0,TV
50,9989,Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai,9.0,TV
51,11111,Another,10.0,TV
52,30205,Aoharu_x_Kikanjuu,6.0,TV
53,7647,Arakawa_Under_the_Bridge,9.0,TV
54,9074,Arakawa_Under_the_Bridge_x_Bridge,9.0,TV
55,8630,Hidan_no_Aria,7.0,TV
56,18893,Aoki_Hagane_no_Arpeggio__Ars_Nova,8.0,TV
57,55265,Tensei_Kizoku_Kantei_Skill_de_Nariagaru,8.0,TV
58,59131,Tensei_Kizoku_Kantei_Skill_de_Nariagaru_2nd_Season,8.0,TV
59,36873,Back_Street_Girls__Gokudolls,8.0,TV
60,8516,Baka_to_Test_to_Shoukanjuu_Ni,9.0,TV
61,6347,Baka_to_Test_to_Shoukanjuu,9.0,TV
62,5081,Bakemonogatari,10.0,TV
63,7674,Bakuman,9.0,TV
64,10030,Bakuman_2nd_Season,9.0,TV
65,33573,BanG_Dream,8.0,TV
66,53439,Boushoku_no_Berserk,7.0,TV
67,31904,Big_Order_TV,6.0,TV
68,20787,Black_Bullet,7.0,TV
69,4898,Kuroshitsuji,9.0,TV
70,14075,Zetsuen_no_Tempest,9.0,TV
71,269,Bleach,10.0,TV
72,4835,Bleach_Movie_3__Fade_to_Black_-_Kimi_no_Na_wo_Yobu,9.0,Movie
73,8247,Bleach_Movie_4__Jigoku-hen,9.0,Movie
74,1686,Bleach_Movie_1__Memories_of_Nobody,8.0,Movie
75,2889,Bleach_Movie_2__The_DiamondDust_Rebellion_-_Mou_Hitotsu_no_Hyourinmaru,9.0,Movie
76,762,Bleach__Memories_in_the_Rain,9.0,Special
77,834,Bleach__The_Sealed_Sword_Frenzy,7.0,Special
78,24439,Kekkai_Sensen,8.0,TV
79,11633,Blood_Lad,7.0,TV
80,37786,Yagate_Kimi_ni_Naru,5.0,TV
81,9919,Ao_no_Exorcist,7.0,TV
82,33506,Ao_no_Exorcist__Kyoto_Fujouou-hen,8.0,TV
83,8917,Mouretsu_Pirates,6.0,TV
84,38790,Itai_no_wa_Iya_nanode_Bougyoryoku_ni_Kyokufuri_Shitai_to_Omoimasu,7.0,TV
85,28755,Boruto__Naruto_the_Movie,8.0,Movie
86,21437,Buddy_Complex,6.0,TV
87,31478,Bungou_Stray_Dogs,7.0,TV
88,12293,Campione_Matsurowanu_Kamigami_to_Kamigoroshi_no_Maou,7.0,TV
89,6479,Candy_Boy_Episode__EX02_-_Shiawase_Kyouyuu_Riron,7.0,Special
90,4535,Candy_Boy__Nonchalant_Talk_of_the_Certain_Twin_Sisters_in_Daily_Life,8.0,ONA
91,28387,Joukamachi_no_Dandelion,6.0,TV
92,6166,Asobi_ni_Iku_yo,7.0,TV
93,10578,C%C2%B3,7.0,TV
94,37141,Hataraku_Saibou,8.0,TV
95,28999,Charlotte,9.0,TV
96,10800,Chihayafuru,9.0,TV
97,35821,Chio-chan_no_Tsuugakuro,7.0,TV
98,30296,Rakudai_Kishi_no_Cavalry,7.0,TV
99,6645,Chuu_Bra,7.0,TV
100,2167,Clannad,9.0,TV
101,1723,Clannad_Movie,8.0,Movie
102,4181,Clannad__After_Story,9.0,TV
103,6351,Clannad__After_Story_-_Mou_Hitotsu_no_Sekai_Kyou-hen,9.0,Special
104,4059,Clannad__Mou_Hitotsu_no_Sekai_Tomoyo-hen,9.0,Special
